date,NANYANG COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,HANG SENG BANK LTD,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD,DAH SING SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,80.98286053830878,0.0,0.0,0.0,0.0,10.46366729858005,0.0,0.0,8.553472163111167
2024-03-04,0.0,64.13217354417449,0.0,20.761746175823692,0.0,0.0,8.308244306796219,0.0,0.0,6.797835973205599
2024-03-05,0.0,64.09152820488538,0.0,20.78580487700772,0.0,0.0,8.31736684812072,0.0,0.0,6.805300069986194
2024-03-06,0.0,64.06325020728984,0.0,20.801243502810596,0.0,0.0,8.32556508224992,0.0,0.0,6.809941207649654
2024-03-07,0.0,64.0660328495038,0.0,20.8025571239802,0.0,0.0,8.32735387251758,0.0,0.0,6.804056153998425
2024-03-08,0.0,49.00539896838306,21.066853378903943,15.91825750829045,0.0,0.0,6.372147544908753,0.0,2.4308327788839916,5.206509820629799
2024-03-11,0.0,49.00392037865647,21.067464212842193,15.918719058563244,0.0,0.0,6.372332305485474,0.0,2.4309032609409393,5.206660783511682
2024-03-12,0.0,49.01623934040426,21.062375012109747,15.91487362392175,0.0,0.0,6.370792961314346,0.0,2.4303160353246476,5.205403026925253
2024-03-13,0.0,49.011293361033374,21.064817521571957,15.91478644184378,0.0,0.0,6.372498133099938,0.0,2.430597868209544,5.206006674241406
2024-03-14,0.0,44.39595815433709,19.180894260579297,14.45691925066355,9.20415878604465,0.0,5.803722598631971,0.0,2.2133198903403204,4.745027059403123
2024-03-15,0.0,44.377457100173565,19.186972638504287,14.461500612598128,9.207075561186786,0.0,5.806442054864962,0.0,2.2140212859363557,4.74653074673592
2024-03-18,0.0,44.30070055760697,19.19849078105615,14.48879430968833,9.224452397670458,0.0,5.818282688784305,0.0,2.2181998859273526,4.751079379266435
2024-03-19,0.0,44.275144872662544,19.207299340350804,14.494559651763502,9.228684716597618,0.0,5.821834542205492,0.0,2.219217629740937,4.753259246679096
2024-03-20,0.0,44.10361726700857,19.266116592608977,14.538945390554895,9.256945112157078,0.0,5.8405474028924775,0.0,2.2260133942485503,4.7678148405294545
2024-03-21,0.0,44.113768290527254,19.247534634937306,14.542291718718928,9.259075718972746,0.0,5.841891681156317,0.0,2.226525740303549,4.7689122153839
2024-03-22,0.0,44.112206290466546,19.246853109612374,14.541776798742065,9.258747869473698,0.0,5.841684828839813,0.0,2.229987747260732,4.768743355604775
2024-03-25,0.0,44.119756135827835,19.242424371152605,14.538430707523146,9.25661741352096,0.0,5.84122565326652,0.0,2.22947462272838,4.77207109598055
2024-03-26,0.0,44.11115395776897,19.248436764301214,14.535596100521744,9.254812619519633,0.0,5.854244128989576,0.0,2.2290399345215057,4.766716494377357
2024-03-27,0.0,44.09354833965527,19.238053038234042,14.527754754755385,9.249820035434972,0.0,5.8979569632139155,0.0,2.227837460764479,4.76502940794194
2024-03-28,0.0,44.082308045482776,19.240094853176057,14.529296646061807,9.250801757479387,0.0,5.899467389508815,0.0,2.2280739104616876,4.76995739782947
2024-04-02,0.0,44.04235551710173,19.21918677416353,14.530294075860564,9.240748974707234,0.0,5.981405514236135,0.0,2.2256526778367354,4.760356466094065
2024-04-03,0.0,44.022860667747146,19.23430575413262,14.532024760080162,9.241849628165747,0.0,5.982117951581206,0.0,2.2259177724003916,4.760923465892729
2024-04-08,0.0,44.02247168713054,19.2341358021577,14.531896356885415,9.241767968311928,0.0,5.982948682096578,0.0,2.2258981044629955,4.760881398954841
2024-04-09,0.0,43.986151002233385,19.24631195927385,14.541095764389715,9.24761846349251,0.0,5.987620330988083,0.0,2.2273072078052647,4.7638952718172
2024-04-10,0.0,40.94419115781325,17.915290562782,13.602960193262593,8.60807889520807,6.848235661941436,5.57353316501681,0.0,2.073272837146484,4.434437526829351
2024-04-11,0.0,40.93124502866354,18.112370128894664,13.627726066154612,8.607087184240545,6.8474466972378325,5.572891054967063,0.0,1.867307191268007,4.4339266485737365
2024-04-12,32.21562726192291,27.403407810071755,12.128643342660354,9.125577042188675,6.590159709801149,4.585277255690862,3.7317925546016104,0.0,1.2504107840610168,2.9691042390016595
2024-04-15,32.21544974000503,27.403256805546167,12.128576508635671,9.1255267563468,6.590123395195775,4.5852519888473555,3.732323033697324,0.0,1.250403893761513,2.9690878779643706
2024-04-16,32.212077195250465,27.400388035724752,12.125102861358082,9.124571430636836,6.5894334937271415,4.584771971723021,3.731932307304516,0.0,1.2634966369489684,2.968226067326213
2024-04-17,32.20870535654643,27.397519866487347,12.108958608557204,9.134634855135236,6.588743736691072,4.584292055091451,3.7315416627112366,0.0,1.277688494159367,2.967915364620657
