date,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,QUAM SECURITIES LTD,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-05,56.22535927762941,0.0,31.38751112806817,0.0,0.0,0.0,12.38712959430243,0.0,0.0
2024-03-18,56.23807706982068,0.0,31.38751112806817,0.0,0.0,0.0,12.374411802111153,0.0,0.0
2024-03-19,56.24364191251272,0.0,31.38351983723296,0.0,0.0,0.0,12.372838250254324,0.0,0.0
2024-03-21,40.56180803367188,0.0,22.58212096257663,27.953152163967427,0.0,0.0,8.90291883978406,0.0,0.0
2024-04-03,40.57095800164699,0.0,22.58212096257663,27.953152163967427,0.0,0.0,8.893768871808948,0.0,0.0
2024-04-18,36.70917522358397,0.0,20.45379264657171,25.49685326266976,0.0,0.0,8.057303742961246,0.0,9.282875124213316
2024-04-30,4.030909090909091,0.0,2.2454545454545456,2.799090909090909,0.0,0.0,0.8836363636363637,0.0,1.019090909090909
2024-05-10,36.741796486576064,0.0,20.649651972157773,25.25687769307259,0.0,0.0,8.062645011600928,0.0,9.289028836592642
2024-05-13,36.741796486576064,0.0,20.72422936692078,25.182300298309578,0.0,0.0,8.062645011600928,0.0,9.289028836592642
2024-05-16,34.9601829220216,0.0,19.719309311677048,23.961207916108176,0.0,0.0,7.671686509500907,4.849010486477963,8.838602854214303
2024-05-21,35.07498026835044,0.0,19.558011049723756,23.98579321231255,0.0,0.0,7.679558011049724,4.8539857932123125,8.847671665351223
2024-05-28,35.090894782403396,0.0,19.666325647281027,23.915951837569843,0.0,0.0,7.6650664987802,4.839852050051153,8.821909183914379
2024-06-13,35.08813345923827,0.0,19.672647151400692,23.91406987724268,0.0,0.0,7.6644633301857095,4.83947119924457,8.82121498268807
2024-06-17,35.07985209660924,0.0,19.683738494217607,23.90842577295256,0.0,0.0,7.670521595468492,4.838329006372433,8.819133034379671
2024-06-18,35.08813345923827,0.0,19.672647151400692,23.91406987724268,0.0,0.0,7.6644633301857095,4.83947119924457,8.82121498268807
2024-06-24,30.67556411667584,0.0,17.198679141441936,20.90671436433682,0.0,12.575674188222344,6.700605393505779,4.230875068794717,7.711887727022565
2024-07-23,30.67978533094812,0.0,17.262969588550984,20.90959130315123,0.0,12.58428512453557,6.708407871198569,4.142011834319527,7.712948947295996
2024-08-05,30.686119331085266,0.0,17.245888101300668,20.913908196270043,0.0,12.5868832151951,6.709792856651298,4.142866974055467,7.714541325442157
2024-08-23,30.690889072391965,0.0,17.24470134874759,20.91246903385632,0.0,12.586017065785851,6.709331131296449,4.142581888246628,7.714010459675199
2024-08-26,30.66767517018497,0.0,17.314171766485593,20.89665130990855,0.0,12.5696211235646,6.704256343257925,4.139448531939765,7.7081757546585985
2024-09-04,30.741199119911993,0.0,17.257975797579757,20.881463146314633,0.0,12.56875687568757,6.7037953795379535,4.139163916391639,7.7076457645764584
2024-09-26,30.745960811275353,0.0,17.256789274664833,20.880027500859402,0.0,12.567892746648331,6.703334479202475,4.138879339979375,7.70711584737023
