date,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,KOALA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,LUK FOOK SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-19,99.68008573490089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199142650991044
2024-03-25,93.10459313878525,6.5965976382674025,0.0,0.0,0.0,0.0,0.0,0.0,0.298809222947359
2024-04-03,93.10614807510295,6.595045663344945,0.0,0.0,0.0,0.0,0.0,0.0,0.2988062615521077
2024-04-08,90.07641272458822,6.380031063642116,0.0,3.2544917642998215,0.0,0.0,0.0,0.0,0.28906444746984716
2024-04-09,90.07689210178137,6.379551686448965,0.0,3.2544917642998215,0.0,0.0,0.0,0.0,0.28906444746984716
2024-04-11,90.0773239119284,6.379102889220194,0.0,3.254507365665882,0.0,0.0,0.0,0.0,0.2890658331855247
2024-04-17,90.08006136439906,6.37902104607124,0.0,3.25471019703725,0.0,0.0,0.0,0.0,0.2862073924924493
2024-04-18,90.0819790018697,6.378541636703582,0.0,3.25471019703725,0.0,0.0,0.0,0.0,0.2847691643894722
2024-04-26,90.08193145372,6.378572216176308,0.0,3.254725800497629,0.0,0.0,0.0,0.0,0.28477052960606747
2024-05-02,90.08174125656208,6.379173957858907,0.0,3.2547882158352714,0.0,0.0,0.0,0.0,0.28429656974374956
2024-05-03,90.08087752352736,6.380071624789656,0.0,3.2547570078672203,0.0,0.0,0.0,0.0,0.2842938438157699
2024-05-06,90.0640380393623,6.399489996452982,0.0,3.254148572085934,0.0,0.0,0.0,0.0,0.28232339209877966
2024-05-07,90.0592895795089,6.404424910250818,0.0,3.2539770031202524,0.0,0.0,0.0,0.0,0.2823085071200218
2024-05-08,89.76157149749915,6.386597174782281,0.0,3.243220002961845,0.0,0.0,0.0,0.3272360733582065,0.2813752513985162
2024-05-13,85.90480370507527,6.121786519268311,4.287079327197831,3.1038692068194598,0.0,0.0,0.0,0.31317578533971574,0.2692854562994052
2024-05-17,85.90401821432,6.123102103516223,4.2870401272807905,3.10384082586214,0.0,0.0,0.0,0.3131729217433445,0.2688258072774986
