date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GRAND CAPITAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,8.60179640718563,0.0,0.0,0.0,0.0,8.60179640718563
2024-03-06,13.58383233532934,0.0,0.0,0.0,8.57185628742515,0.0,0.0,0.0,0.0,22.15568862275449
2024-03-14,13.91317365269461,0.0,0.0,0.0,8.57185628742515,0.0,0.0,0.0,0.0,22.48502994011976
2024-03-18,14.014970059880238,0.0,0.0,0.6826257485029941,8.532934131736528,0.0,0.0,0.0,0.0,23.23052994011976
2024-03-19,14.014970059880238,0.0,0.0,0.6796317365269461,8.505988023952096,0.0,0.0,0.0,0.0,23.200589820359284
2024-03-21,14.194610778443115,0.0,0.0,0.6916077844311377,8.505988023952096,7.3053892215568865,0.0,0.0,0.0,30.697595808383234
2024-03-22,14.038922155688624,6.793413173652694,0.0,1.0928053892215568,8.332335329341317,7.272455089820359,0.0,0.0,0.0,37.529931137724546
2024-03-25,13.781437125748502,6.763473053892216,0.0,1.6916077844311377,8.140718562874252,7.266467065868263,0.0,0.0,0.0,37.64370359281437
2024-03-26,13.856287425149699,6.7185628742514965,0.0,2.0329251497005987,8.050898203592814,7.230538922155688,0.0,0.0,0.0,37.8892125748503
2024-03-27,13.766467065868262,6.610778443113772,0.0,2.1975958083832334,8.050898203592814,7.245508982035928,0.0,0.0,0.0,37.87124850299401
2024-03-28,13.766467065868262,6.610778443113772,0.0,2.2664580838323354,8.050898203592814,7.245508982035928,0.0,0.0,0.0,37.94011077844311
2024-04-02,13.646706586826346,6.5329341317365275,0.0,3.2694520958083833,7.862275449101796,7.080838323353293,0.0,0.0,0.0,38.39220658682635
2024-04-03,13.655688622754491,6.5329341317365275,0.0,3.946098802395209,7.820359281437125,7.119760479041916,0.0,0.0,0.0,39.07484131736527
2024-04-05,13.634730538922154,6.5329341317365275,0.0,3.946098802395209,7.820359281437125,7.119760479041916,0.0,0.0,0.0,39.05388323353293
2024-04-08,13.586826347305388,6.5329341317365275,0.0,3.946098802395209,7.820359281437125,7.119760479041916,0.0,0.0,0.0,39.00597904191617
2024-04-09,13.559880239520957,6.5329341317365275,0.0,3.946098802395209,7.826347305389221,7.080838323353293,0.0,0.0,0.0,38.946098802395205
2024-04-10,13.664670658682635,6.517964071856287,0.0,3.946098802395209,7.790419161676647,7.083832335329341,0.0,0.0,0.0,39.00298502994012
2024-04-12,13.895209580838324,6.517964071856287,0.0,3.946098802395209,7.925149700598802,6.8562874251497,0.0,0.0,0.0,39.140709580838326
2024-04-15,13.877245508982035,6.529940119760479,0.0,3.946098802395209,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.1766377245509
2024-04-16,13.877245508982035,6.5329341317365275,0.0,3.946098802395209,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.17963173652695
2024-04-17,13.931137724550899,6.5329341317365275,0.0,3.946098802395209,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.23352395209581
2024-04-18,13.928143712574851,6.5329341317365275,0.0,3.946098802395209,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.230529940119766
2024-04-22,13.928143712574851,6.5329341317365275,0.0,3.9431047904191616,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.227535928143716
2024-04-23,14.017964071856287,6.5329341317365275,0.0,3.9431047904191616,7.925149700598802,6.8982035928143715,0.0,0.0,0.0,39.31735628742515
2024-04-26,13.982035928143713,6.5329341317365275,0.0,3.9431047904191616,7.925149700598802,6.901197604790419,0.0,0.0,0.0,39.284422155688624
2024-04-29,13.931137724550899,6.5329341317365275,0.0,3.9431047904191616,7.92814371257485,7.020958083832335,0.0,0.0,0.0,39.35627844311377
2024-04-30,13.910179640718562,6.5329341317365275,0.0,3.9431047904191616,7.92814371257485,7.140718562874252,0.0,0.0,0.0,39.455080838323354
2024-05-02,13.877245508982035,6.5329341317365275,0.0,3.9431047904191616,7.92814371257485,7.140718562874252,0.0,0.0,0.0,39.42214670658682
2024-05-03,13.559880239520957,6.5329341317365275,0.0,3.964062874251497,7.946107784431137,7.20059880239521,0.0,0.0,0.0,39.20358383233533
2024-05-06,13.589820359281438,6.5329341317365275,0.0,3.9580748502994014,7.946107784431137,7.20059880239521,0.0,0.0,0.0,39.227535928143716
2024-05-07,13.200598802395211,6.5329341317365275,0.0,3.9580748502994014,7.946107784431137,7.20059880239521,0.0,0.0,0.0,38.83831437125749
2024-05-08,12.7874251497006,6.5329341317365275,0.0,3.9580748502994014,7.985029940119761,7.20059880239521,0.0,0.0,0.0,38.464062874251496
2024-05-10,12.733532934131736,7.008982035928144,0.0,3.967056886227545,7.985029940119761,6.901197604790419,0.0,0.0,0.0,38.5957994011976
2024-05-13,12.74251497005988,7.104790419161677,0.0,3.967056886227545,7.985029940119761,6.901197604790419,0.0,0.0,0.0,38.70058982035928
2024-05-14,12.476047904191617,7.395209580838323,0.0,3.967056886227545,7.985029940119761,6.901197604790419,0.0,0.0,0.0,38.72454191616767
2024-05-16,12.338323353293413,7.640718562874252,0.0,3.967056886227545,7.982035928143713,6.901197604790419,0.0,0.0,0.0,38.82933233532934
2024-05-17,11.392215568862275,7.640718562874252,0.0,4.386218562874252,7.982035928143713,7.000000000000001,0.0,0.0,0.0,38.40118862275449
2024-05-20,11.793413173652695,7.640718562874252,0.0,4.535919161676646,7.997005988023951,6.7185628742514965,0.0,0.0,0.0,38.68561976047904
2024-05-21,11.583832335329342,7.658682634730539,0.0,4.535919161676646,8.167664670658683,6.7185628742514965,0.0,0.0,0.0,38.6646616766467
2024-05-22,11.688622754491018,7.658682634730539,0.0,4.535919161676646,8.167664670658683,6.7185628742514965,0.0,0.0,0.0,38.76945209580838
2024-05-24,11.751497005988023,7.658682634730539,0.0,4.535919161676646,8.167664670658683,6.673652694610778,0.0,0.0,0.0,38.787416167664674
2024-05-27,11.739520958083832,7.65568862275449,0.0,4.535919161676646,8.167664670658683,6.733532934131736,0.0,0.0,0.0,38.83232634730539
2024-05-28,11.781437125748504,7.8053892215568865,0.0,4.535919161676646,8.077844311377245,6.733532934131736,0.0,0.0,0.0,38.93412275449102
2024-05-30,12.341317365269461,7.817365269461078,0.0,4.535919161676646,8.077844311377245,6.796407185628743,0.0,0.0,0.0,39.56885329341318
2024-05-31,12.404191616766468,7.817365269461078,0.0,4.535919161676646,8.077844311377245,6.826347305389222,0.0,0.0,0.0,39.66166766467066
2024-06-03,12.44311377245509,7.817365269461078,0.0,4.535919161676646,8.077844311377245,6.826347305389222,0.0,0.0,0.0,39.70058982035928
