date,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,FUNDERSTONE SECURITIES LTD,CHEER UNION SECURITIES LTD,USMART SECURITIES LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,SPRING SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD
2024-03-25,29.833064081852452,58.26602046311255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.900915455035003
2024-04-03,25.857642940490084,50.50175029171528,0.0,0.0,0.0,0.0,0.0,0.0,13.325554259043173,10.315052508751458
2024-04-10,25.918079096045197,50.35310734463276,0.0,0.0,0.0,0.0,0.0,0.0,13.32391713747646,10.404896421845574
2024-04-15,25.87461845503639,50.22305705564687,0.0,0.0,0.0,0.0,0.0,0.0,13.289504578539562,10.612819910777178
2024-04-17,25.857209957726635,50.234852043212776,0.0,0.0,0.0,0.0,0.0,0.0,13.292625645843117,10.615312353217474
2024-04-19,59.14326387990164,27.682153487770154,0.0,0.0,0.0,0.0,0.0,0.0,7.324964410508607,5.849618221819593
2024-04-23,59.18155918155919,27.700077700077703,0.0,0.0,0.0,0.0,0.0,0.0,7.32970732970733,5.788655788655789
2024-04-24,19.5988594283127,9.025393351696035,14.820963664490813,14.312665412540898,0.0,38.05499107917702,0.0,0.0,2.470879307463845,1.7162477563186915
2024-04-25,19.589301791480896,9.026950385198045,14.823520532214848,14.315134590191331,0.0,38.0572432866639,0.0,0.0,2.4713055760718965,1.7165438381790834
2024-04-26,19.617139617139618,9.141129141129142,14.847854847854848,14.338634338634337,0.0,37.67907767907768,0.0,0.0,2.4192024192024193,1.956961956961957
2024-04-29,19.6446034070096,9.089681180405103,14.855555975773818,14.346071349458908,0.0,37.564631069377434,0.0,0.0,2.420457185462129,2.0789998325130075
2024-04-30,19.63850538999811,9.086537162618539,14.857482506146487,14.347931807743224,0.0,37.56950260719207,0.0,0.0,2.4207710804311997,2.0792694458703695
