date,FUTU SECURITIES INTERNATIONAL,CAITONG INTERNATIONAL SECURITIES CO LTD,HAFOO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,FORTUNE ORIGIN SECURITIES LTD,QUAM SECURITIES LTD
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-06,60.18034634696178,0.0,22.80971411005226,0.0,0.0,17.00993954298596,0.0,0.0
2024-03-12,60.17626562820249,0.0,22.812051649928264,0.0,0.0,17.011682721869235,0.0,0.0
2024-03-27,60.172184072973245,0.0,22.81438966895562,0.0,0.0,17.013426258071128,0.0,0.0
2024-03-28,60.17626562820249,0.0,22.812051649928264,0.0,0.0,17.011682721869235,0.0,0.0
2024-04-03,61.003702180172766,0.0,22.891814068284656,0.0,0.0,16.104483751542574,0.0,0.0
2024-04-18,60.75246710526315,0.0,23.14967105263158,0.0,0.0,16.097861842105264,0.0,0.0
2024-04-19,52.77728165743882,0.0,20.378639042686196,0.0,0.0,14.41328808715842,0.0,12.430791212716557
2024-04-23,46.804466619149444,0.0,18.07238457274095,0.0,0.0,12.782133523402234,11.649639661043794,10.691375623663578
2024-04-25,46.804466619149444,0.0,18.07238457274095,0.0,0.0,12.687099073414112,11.649639661043794,10.7864100736517
2024-04-26,46.80076021539436,0.0,18.070953436807095,0.0,0.0,12.686094393411468,11.648717136522015,10.793474817865063
2024-05-03,46.789136115290205,0.0,18.069522527516035,0.0,0.0,12.68508987251564,11.647794758096444,10.808456726581678
2024-05-06,46.789136115290205,0.0,18.069522527516035,0.0,0.0,12.68508987251564,12.898883522052419,9.557367962625703
2024-05-07,46.314039116319584,0.0,18.069522527516035,0.0,0.0,12.68508987251564,12.898883522052419,10.032464961596325
2024-05-16,46.29263274511356,0.0,18.058083405871646,0.0,0.0,12.732452322544907,12.890717733639312,10.026113792830577
2024-05-17,46.29263274511356,0.0,18.058083405871646,0.0,0.0,12.732452322544907,12.558360370341063,10.358471156128827
2024-05-22,46.31312732158381,0.0,18.035248557654313,0.0,0.0,12.71635185331542,12.542480044258278,10.392792223188177
2024-05-24,46.29790596602133,0.0,18.032398261556697,0.0,0.0,12.7143421572501,12.54049782694587,10.414855788225998
2024-05-30,46.29424778761062,0.0,18.030973451327434,0.0,0.0,12.713337547408344,12.539506953223768,10.421934260429836
2024-05-31,46.156881313131315,0.0,18.008207070707073,0.0,0.0,12.697285353535353,12.523674242424242,10.61395202020202
2024-06-04,46.16112996133512,0.0,18.006786080643888,0.0,0.0,12.696283437228754,12.522686025408348,10.613114495383886
2024-06-07,46.15748777023828,0.0,18.005365314817737,0.0,0.0,12.703171847877545,12.521697964336436,10.61227710273
2024-06-11,46.17083366196073,0.0,17.99826484738544,0.0,0.0,12.706049372978942,12.516759996845177,10.608092120829719
2024-06-14,46.19205298013245,0.0,17.991169977924944,0.0,0.0,12.701040681173131,12.511825922421949,10.603910438347524
