date,HANG SENG BANK LTD,MONEYMORE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-03-05,0.0,0.0,27.522935779816514,72.47706422018348,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,16.06520120684926,42.717761843187965,41.217036949962775,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,14.824456737896375,39.41859203818201,38.03377083559316,0.0,0.0,0.0,0.0,7.723180388328451
2024-03-20,0.0,0.0,13.272474183419119,35.660872098669515,34.0519892525331,0.0,0.0,10.112977890000325,0.0,6.901686575377942
2024-03-25,0.0,0.0,13.277229325133517,35.66272859686033,34.047580514646384,0.0,0.0,10.111668554782327,0.0,6.900793008577439
2024-03-26,0.0,0.0,13.254767377861237,35.67196555185029,34.05639913232104,0.0,0.0,10.11428756434746,0.0,6.902580373619969
2024-03-27,0.0,0.0,13.2482921617509,35.67196555185029,34.05639913232104,0.0,0.0,10.11428756434746,0.0,6.909055589730308
2024-04-05,0.0,0.0,13.251255467357847,35.69739186781143,34.01587558723473,0.0,0.0,10.121496841082132,0.0,6.913980236513851
2024-04-09,0.0,0.0,13.264215130406608,35.69091203628706,34.01587558723473,0.0,0.0,10.121496841082132,0.0,6.907500404989471
2024-04-18,0.0,15.449938364607588,11.214902068209835,30.176688124914396,28.76044377482537,0.0,0.0,8.557731817559239,0.0,5.840295849883578
2024-04-22,0.0,15.442324015004244,11.220326917284998,30.709415984448157,28.22057333734907,0.0,0.0,8.564466226761219,0.0,5.842893519152315
2024-04-24,0.0,15.425430079588656,11.311982058365015,30.675819817848645,28.18969996991494,0.0,0.0,8.55509668243853,0.0,5.841971391844214
2024-04-25,0.0,15.415311449421926,11.315494574575668,30.710361603848362,28.171208352693576,0.0,0.0,8.549484789679394,0.0,5.83813922978107
2024-04-26,0.0,15.402681814457766,11.43184859491493,30.619657536117106,28.148127918726274,0.0,0.0,8.55886610044515,0.0,5.838818035338777
2024-04-29,0.0,15.401840574565117,11.327452961577324,30.61798519894044,28.255823479614406,0.0,0.0,8.558398645511893,0.0,5.838499139790819
2024-04-30,0.0,15.4060476931902,11.303231445819334,30.626348712065337,28.26354175202819,0.0,0.0,8.560736430932286,0.0,5.840093965964654
2024-05-02,0.0,15.405206085602687,11.269836934254732,30.624675643932154,28.300237633498128,0.0,0.0,8.560268771680644,0.0,5.839774931031657
2024-05-03,0.0,15.4060476931902,11.26498948346035,30.626348712065337,28.301783714387174,0.0,0.0,8.560736430932286,0.0,5.840093965964654
2024-05-06,0.0,15.421212369780987,11.215924315752057,30.656495228720644,28.27495693544418,0.0,0.0,8.569163043775463,0.0,5.862248106526673
2024-05-08,0.0,15.278342137342543,11.2420425301368,30.70838412569416,28.381416768251388,0.0,0.0,8.489773804686441,0.0,5.900040633888663
2024-05-13,0.0,14.350779878374595,10.564616676420448,28.85422762779573,26.658354749243024,6.060914480547569,0.0,7.9743517976641805,0.0,5.536754789954454
2024-05-14,0.0,14.337646490581388,10.61595952919643,28.84815822253858,26.60853649236088,6.1163789816203575,0.0,7.967053918702494,0.0,5.506266364999872
2024-05-17,0.0,14.336188708980451,10.614880150479145,28.865560102691852,26.636333595994,6.1157570981927245,0.0,7.966243867720698,0.0,5.4650364759411305
2024-05-20,0.0,14.33983371894943,10.566728534743588,28.87289923978541,26.66853118405329,6.11731204393481,0.0,7.968269304111261,0.0,5.4664259744222115
2024-05-23,0.0,14.358086606756448,10.554721111987984,28.909650976298973,26.70247702451567,6.058908887248288,0.0,7.978411954889133,0.0,5.437743438303506
2024-05-29,0.0,14.358817688841366,10.550166755772805,28.911122991929528,26.703836655719343,6.059217393518165,0.0,7.978818198019298,0.0,5.438020316199496
2024-05-31,0.0,14.35954884538025,10.545611935738473,28.912595157471294,26.705196425388905,6.059525931206559,0.0,7.979224482521577,0.0,5.438297222292944
2024-06-11,0.0,14.360280076384468,10.54105665181413,28.91406747294717,26.70655633354551,6.059834500318269,0.0,7.979630808402291,0.0,5.43857415658816
