date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,100.0
2024-03-15,0.0,0.0,100.0
2024-03-21,0.0,0.0,100.0
2024-03-22,0.0,0.0,100.0
2024-05-17,73.85947063003525,0.0,26.140529369964753
2024-05-20,73.82692636465701,0.0,26.17307363534299
2024-05-21,49.896223543594495,32.30839103352243,17.79538542288307
2024-05-31,50.42495422265713,32.650750360890164,16.92429541645272
2024-06-11,50.79403612870485,32.889735231830734,16.316228639464413
2024-06-20,50.685830312385114,32.81967069432711,16.494498993287774
2024-06-21,50.67040996135012,32.80968583584022,16.519904202809663
2024-07-03,52.17570615557929,32.79970705097167,15.024586793449037
2024-07-16,51.86024914569292,32.601398330806084,15.538352523501004
2024-09-12,52.17570615557929,32.79970705097167,15.024586793449037
2024-09-24,52.09648266110811,32.74990403723841,15.153613301653474
2024-10-08,51.14533698851893,32.47377854007777,16.380884471403313
2024-10-10,51.191581292511266,32.503140499056045,16.305278208432693
2024-10-31,51.2070146496293,32.512939621531146,16.28004572883956
2024-11-01,51.02242633099265,32.395738708731656,16.58183496027569
2024-11-18,49.347345569829145,34.6152058255451,16.03744860462576
2024-11-19,49.36168679292659,34.62526562478204,16.01304758229137
2024-11-27,49.00563886779475,34.37551212598934,16.61884900621591
2024-11-28,49.45426458670988,34.28648058788861,16.259254825401502
2024-11-29,49.95805090282251,34.1391151262026,15.902833970974891
2024-12-02,50.12997343223845,34.08180761639728,15.788218951364264
2024-12-05,50.272461502241185,33.984429465157156,15.743109032601666
2024-12-16,50.61532413090038,33.64156683649796,15.743109032601666
2025-01-10,50.70224365359033,33.69933805464541,15.598418291764263
2025-02-19,50.70224365359033,33.0124352307879,16.285321115621773
2025-02-24,50.35634450122003,32.78721889831106,16.85643660046891
2025-04-15,46.29040822128571,30.03534935447187,23.674242424242426
2025-04-16,46.41168432127901,30.114038875079117,23.474276803641867
