date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-03-01,31.872554077695646,0.0,3.857231265722893,2.6027149608390183,1.5755306220709142,1.639076961037273,5.430945029143534,0.5776446784715512,0.6560163888615
2024-03-04,31.87415441131299,0.0,3.854000532892897,2.608714893237582,1.5926372205390966,1.6393406943295177,5.429758229328434,0.5861500771464385,0.0
2024-03-05,31.82999972199214,0.0,3.845099534279643,2.6154400921898184,1.6155625007007475,1.6448790934666537,5.459428224705947,0.5824578110550146,0.0
2024-03-06,31.87007788581477,34.66816600801529,3.8714069301810383,2.641681554768153,1.5279022356245915,1.6597800244784717,5.467867690057774,0.5826556110241979,0.6566757220921114
2024-03-07,31.96818667052974,0.0,3.8763519294106237,2.65018695344304,1.4641296134934867,1.6659118235231574,5.471625889472258,0.5835127442239929,0.6567416554151726
2024-03-08,31.994834480178103,0.0,3.88650566116204,2.650714420027529,1.4222314921544077,1.666571156753769,5.467340223473284,0.5826556110241979,0.6547636557233384
2024-03-11,31.992724613840146,34.66910727213532,3.8914506603916252,2.652164953134874,1.4259202637797093,1.6639997571543843,5.463977623997166,0.58219407776277,0.0
2024-03-12,31.989230147717905,34.66818420561246,3.8772090626104188,2.6565165524569094,1.4084940864946498,1.6597140911554102,5.466878690211856,0.5829852776395037,0.0
2024-03-13,31.92846157965211,34.66838200558164,3.884263928177961,2.655725352580176,1.4032303655813865,1.6581316914019428,5.466812756888795,0.5836446108701151,0.0
2024-03-14,31.989186170191424,34.67912913724061,3.771979479004837,2.6377255553844843,1.4468625992502966,1.6505212716542876,5.468592956611446,0.5840402108084819,0.654104322492727
2024-03-15,31.976658838809808,34.68011813708653,3.774287145311977,2.6459012874440657,1.4322538847262856,1.655334404237751,5.46826328999614,0.5908313430837795,0.6547636557233384
2024-03-18,31.984079172787077,34.680381870378774,3.787407876601144,2.6414178214759083,1.4551400004940385,1.6732023347873202,5.470505022980219,0.5911610096990852,0.0
2024-03-19,32.06075929784057,34.678403870686935,3.801517607736228,2.659945085256089,1.3817034652685392,1.6780154673707834,5.474329155717765,0.5926774761294914,0.0
2024-03-20,32.07835690176559,34.67721707087183,3.7993418080752104,2.6587582854409884,1.3784836114368484,1.6766308675864996,5.473010489256542,0.592479676160308,0.0
2024-03-21,32.09338890822365,34.67464567127245,3.7995396080443937,2.658164885533438,1.3770990116525643,1.6772902008171109,5.472483022672053,0.0,0.655093322338644
2024-03-22,32.105980590528574,34.67485052610721,3.798550608198477,2.66001101857915,1.3560678639958137,1.672081468295281,5.473208289225726,0.591952209575819,0.0
2024-03-25,32.109626703293856,34.66944399361619,3.806001073704386,2.6546044860881364,1.3480899319054156,1.674389134602421,5.470966556241647,0.5929412094217361,0.0
2024-03-26,32.09406940605097,34.671356059984966,3.823077804377222,2.6453078875365152,1.3284124613044332,1.682301133369758,5.470439089657158,0.5932049427139806,0.0
2024-03-27,32.11196568792945,34.66943397175108,3.7975616083525603,2.6565165524569094,1.3109244385623422,1.6855977995228149,5.4747247556561325,0.593402742683164,0.6562801221537445
2024-03-28,32.05989009884266,34.6712801047968,3.822352537823549,2.6706922169150547,1.3100084269050538,1.684213199738531,5.476109355440416,0.5928093427756137,0.0
2024-04-02,32.07893401614234,34.66943397175108,3.8290777367757856,2.672076816699339,1.3456755195482397,1.6794000671550675,5.477428021901639,0.0,0.0
2024-04-03,32.03293312784246,34.670027371658634,3.842791867972503,2.6834832815889165,1.3305562173704433,1.679070400539762,5.48092248802388,0.587798410222967,0.0
2024-04-05,32.00723759317907,34.739850760780385,3.7655180133448454,2.6336376893546936,1.3752807024691842,1.6703012685726302,5.46186775765921,0.5837105441931763,0.6554229889539498
2024-04-08,31.917570185882287,34.94038036953854,3.762419147160972,2.629813556617147,1.3066490581617656,1.6569168039912183,5.460219424582681,0.5828534109933814,0.0
2024-04-09,31.89072747733096,35.023949669718725,0.0,2.636670622215506,1.3335354145729608,1.6569827373142794,5.458505158183091,0.5832490109317482,0.6553570556308886
2024-04-10,31.890713960999733,35.07717289422672,3.7604411474691375,2.629549823324903,1.3353682950207375,1.6546750710071396,5.4592963580598255,0.5830512109625648,0.0
