date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,8.57316270072442,7.191484577854452,11.375694065707536,7.6699952229053485,6.939063603564478,7.0584826679900265,2.500024881210006,2.0306963386471732,2.6871799266738616,1.7621069566857186,57.78789094196303
2024-03-04,8.662171831449692,7.224106066145134,11.346946786106068,7.669018531639161,6.920799476886762,7.058515224365566,2.49888540806612,2.0304358876428563,2.716413403187638,1.7604465815331989,57.88773919702219
2024-03-05,8.71794090274903,7.228338394965282,11.463303272284605,7.716648509053598,6.93577540963498,6.77436317865592,2.504387435532313,2.032389270175232,2.709804458953099,1.7602186869044218,57.843169518908475
2024-03-06,8.730735558336095,7.13682242332346,11.469358758134971,7.728075796867998,6.950295553125642,6.7728655853810995,2.5069593891999413,2.0339845325766728,2.734528421665384,1.7605768070353571,57.82420282564662
2024-03-07,8.76381283588433,7.145352193714836,11.308627932095956,7.715736930538489,7.009743494860955,6.773256261887574,2.5102801395049807,2.036279171037455,2.7954383725570535,1.7594698902670107,57.81799722234864
2024-03-08,8.767426593569226,7.134445807909069,11.264448930488717,7.712578962111147,7.0279099524120525,6.7760235538084395,2.506796607322243,2.0463065347036524,2.8668429362166656,1.7611302654195304,57.86391014396074
2024-03-11,8.773189072039736,7.165895266680325,11.197415353252676,7.725243392196053,7.045197387823582,6.779637311493336,2.5094011173654116,2.055259537977043,2.8592898570914778,1.7610651526684513,57.87159344858809
2024-03-12,8.768790705704335,7.05266419255359,11.095351115936024,7.755683603325581,7.050341295158839,6.779474529615638,2.509694124745268,2.0528503661871125,3.0678423850404832,1.7622046258123372,57.89489694407921
2024-03-13,8.831136164862672,7.050059682510421,11.037205429222295,7.719546026476622,7.038222184364222,6.782795279920677,2.4958902215164764,2.0470553313410633,3.087466196186236,1.7663392855058666,57.85571580190655
2024-03-14,8.645695700916612,7.070928319231307,11.149590037585002,7.726545647217637,7.084289455752758,6.782795279920677,2.5013271362315903,2.050506307148261,3.132541474812081,1.7612930472972286,57.90551240611315
2024-03-15,8.699638457217304,7.233254407671762,11.188169342599428,7.686273410675149,7.102514905456335,6.779507085991178,2.499308640948135,2.044613603175593,2.947585612515926,1.7667299620123418,57.947595428263156
2024-03-18,8.7705065243644,7.130506486468778,11.085323752269826,7.676083265131253,7.113388734886561,6.78009310075089,2.499747728785038,2.0543805158374737,2.963450008752619,1.7611758443452858,57.83465596159212
2024-03-19,8.79255747841938,7.156909707031395,11.06699451284103,7.714467231892444,7.113974749646274,6.7816232504012515,2.508863513936126,2.06043600168784,2.940948311678292,1.7678499013309041,57.90462465886493
2024-03-20,8.801118209923892,7.1442418585270575,11.144283348372046,7.735791657870883,7.119737228116783,6.781493024899094,2.5093518595692204,2.0580919426489883,3.0484473149892723,1.7631942094032391,58.105750654320474
2024-03-21,8.880197515884085,7.2004992754594905,11.106062163488554,7.7582881133687485,7.143210374880837,6.7816232504012515,2.517197946074264,2.0633009627353247,2.965275542398251,1.7653429301888526,58.18099807487965
2024-03-22,8.951158824490726,7.205545513668128,11.095872017944657,7.750604808741403,7.111948115268935,6.781362799396935,2.5192815541087987,2.062389384220216,2.787778182956341,1.77048683752411,58.036428038320246
2024-03-25,8.848899248920835,7.280392621033674,11.142460191341828,7.7539906717975215,7.126142695004201,6.782046483283266,2.515830578301601,2.071277274742527,2.817800598118569,1.7713658596636792,58.11020622220771
2024-03-26,8.812370995565402,7.327789006453614,11.036456632584885,7.768120138781709,7.129756452689097,6.782469716165282,2.5238720030598825,2.09556433089507,2.3087926706118247,1.7746866099687186,57.55987855677548
2024-03-27,8.794660327271858,7.338239603001827,10.984171093468282,7.774110511880996,7.0937816577178365,6.791552944940831,2.523188319173551,2.1022058315051493,2.3294659690794717,1.772277438178788,57.50365369621859
2024-03-28,8.811058615511024,7.413412274122767,10.827770265376035,7.788825993624895,7.092218951691935,6.791552944940831,2.520095463497289,2.111223947529619,2.315818694573401,1.7727006710608026,57.4446778219286
2024-04-02,8.574904434259414,7.540610033355994,10.650761251567218,7.845441530688263,7.053672203053046,6.792204072451622,2.5306437291721195,2.1196560487943756,2.561278790209252,1.777356460657595,57.446528554208896
2024-04-03,8.433186531535526,7.738487683885693,10.416160009428847,7.860743027191876,7.012065155113436,6.79643640127177,2.5314901949361492,2.114642366961277,2.6938091860867375,1.7795378680442502,57.37655842445556
2024-04-05,7.588970413055661,8.968728002776173,10.42403865230943,8.12047779124682,7.373896712860571,6.7940272294818405,2.6213132350499113,2.2862795788060586,2.387646230664024,1.7923454159560273,58.35772326220652
2024-04-08,7.536134671192442,9.312783779478687,9.840856297268541,8.245950062576448,7.3597989883425345,6.794613244241552,2.642539991901732,2.404361552888195,2.22339830681909,1.8099909714984916,58.17042786620771
2024-04-09,7.450185839767892,9.312783779478687,9.840856297268541,8.287133877634043,7.353059818605838,6.794971364372489,2.6549114146067807,2.4122727521443186,2.505063045437511,1.8088834036026342,58.420121592918726
2024-04-10,7.3126419899519375,9.443855747401125,9.883049359967865,8.30630958282687,7.385323186765583,6.795003920748028,2.671515166131978,2.4224954540637533,2.7155907361341285,1.8104786660040748,58.746263809995334
2024-04-11,7.324344476808774,9.444116198405442,9.869473351367851,8.319494914920407,7.3693819574826165,6.795915499263137,2.679035688881626,2.4203141769026,2.627661695723758,1.8044362027039247,58.65417416246014
2024-04-12,7.503735933623203,9.356832555583768,9.89577890280385,8.341893701291655,7.4352435051992325,6.796664295900548,2.7145546945953316,2.4142261346766944,2.6580805824273077,1.809837565856949,58.92684787195853
2024-04-15,7.477733156479722,9.337819632268642,9.915638291883006,8.437446663500385,7.41487949229921,6.796664295900548,2.718689354288861,2.4158865098292144,2.5950789820763447,1.7932071181038096,58.90304349662975
2024-04-16,7.537213654590574,9.295659125944857,9.90792243088012,8.516070310428523,7.4401432397179414,6.796338732145152,2.730800325989593,2.418100343365907,2.533872996061893,1.794737267754171,58.970858426878735
2024-04-17,7.546453512088845,9.394663063960786,9.871296508398068,8.542310749113444,7.456063307356807,6.796403844896232,2.776762765848892,2.424839513102605,2.446843292969429,1.7933049825686818,59.04894154030379
2024-04-18,7.513734354671545,9.568969898599814,9.868691998354901,8.56379795696958,7.154754051737791,6.82179781781712,2.7920317059769655,2.372130741103989,2.666967919491235,1.7982859126879875,59.12116235741093
2024-04-19,7.461282517588688,9.693563147789872,9.831284722859898,8.617971765867479,7.166344121429889,6.8234256365941,2.787669151654659,2.3730748759946376,2.4741104620697407,1.79809057443475,59.02681697628371
2024-04-22,7.380985082281306,9.928522510059178,10.398579566637462,8.623799357089066,6.9519115539383005,6.855689004753845,2.788190053663292,2.383395247040691,2.257847477476189,1.7890399020347405,59.357959754974075
2024-04-23,7.479959719559251,10.381121242810726,10.521089207792985,8.70300901877692,6.420656617883076,6.742132366871714,2.8150816198590034,2.488877903789002,2.1086719509201957,1.8126758306764916,59.47327547893937
2024-04-24,7.277708510652311,10.156091575080998,10.515815074955569,8.725603143401402,6.254423764377869,6.742132366871714,2.815862972871954,2.484645574968854,1.9055903916551185,1.8020950086261212,58.67996838346191
2024-04-25,7.3141047804613075,10.027982237332663,10.465548031122424,8.73006336685033,6.1167428522208915,6.97474767010217,2.827973944572686,2.4831479816940316,2.315960217137872,1.796701491559602,59.05297257305398
2024-04-26,7.2686821253084535,10.056534178680893,10.627092766549929,8.765680041690652,6.147248176101498,7.246072503849213,2.8280390573237653,2.5015748902494463,5.837992006882392,1.7995664526070865,63.07848219924333
2024-04-29,7.3172627488886475,10.081439805968689,10.807096966908388,8.790650781729527,6.17836555984225,7.246463180355689,2.834941008938161,2.5121882686753567,6.061318032036509,1.8092682525178883,63.63899460586111
2024-04-30,7.819025027124425,9.616469650512094,10.831221241183233,8.811226411070557,6.72964266685433,7.283870455850691,2.847377544394289,2.5247224732581035,6.466118633693956,1.8576730716701684,64.78734717561184
2024-05-02,7.816118784592757,9.778372506070534,11.193410919061305,9.030363374827617,6.936717493473969,7.480576076860966,2.88901714870944,2.5525256179689237,4.938361486258317,1.8724992450909033,64.48796265291473
2024-05-03,7.373717298160777,9.793165807448318,11.104958216197412,9.049689940869426,6.730197583365674,7.417240370972957,2.8846616441489155,2.555175081742971,5.275244009544008,1.8764664739867618,64.06051642643722
2024-05-06,7.326890474659613,9.793165807448318,11.104958216197412,9.068634434345158,6.149189790319194,7.502701808093327,2.8962298082610265,2.5507557830934005,4.788577324398608,1.8595756545893591,63.040679101405416
2024-05-07,7.660946169436254,9.793165807448318,11.104958216197412,9.184816496048647,6.44401550096297,6.9818094746182116,2.950918629049462,2.586532605249115,4.357454269381904,1.8910305001503227,62.95564766854261
2024-05-08,7.863584010456269,10.128285123426412,11.195326374612529,9.401947037051812,6.550205398440408,6.939533683860187,3.01594080991557,2.668452104481228,3.8773074470228694,1.9701877752522388,63.610769764519524
2024-05-09,7.868750690495105,10.417489226229192,11.541818885644666,9.511909585802892,6.510171751850182,6.939923621976327,3.049085549787349,2.6261763137232035,3.5759177780907607,1.998425793829274,64.03966919742895
2024-05-10,7.908426893812205,10.537882619586977,11.649604279913971,9.418421922458666,6.4645814871049785,6.881270430340482,3.0756013416847723,2.639369219985892,3.374270347390896,2.0187349082372763,63.968163450516116
2024-05-13,7.986479506725944,10.31542292432992,11.598847335129932,9.375561224526436,6.579366270558971,6.942880652690377,3.070597135860994,2.704748844125127,3.8803601750495895,2.004566994210027,64.45883106320731
2024-05-14,8.105319549103248,10.272334762496605,11.641740527905176,9.458650538106964,6.559966849281077,6.934464488350386,3.1214515651740666,2.737243687136675,3.342824957829249,2.0043737798734798,64.17837070525692
2024-05-16,8.245502301855065,10.240587300874324,11.746081468815255,9.395025635490354,6.590320477107222,6.875713812185507,3.111150699939406,2.7401357281647027,2.934738114425449,2.008890563052085,63.88814610190937
2024-05-17,8.119747259400375,10.745817120017872,12.02891658238777,9.546776552354283,6.643677009332184,6.851342679926846,3.1594927579701975,2.7408181198679453,2.557189242092199,2.006453449826219,64.40023077317589
2024-05-20,8.093625564958996,10.880053316498579,12.162502882008246,9.629378443289639,6.564942004715204,6.885267296030902,3.1611426836241088,2.75245127366608,2.3193269912476664,2.006401458077401,64.4550919141168
2024-05-21,8.165436145994118,10.943580734586154,12.140796326876531,9.690956170796522,6.37632243897037,6.885332285716925,3.1044716774119694,2.7808517664581722,2.0431666108833113,2.029160846122689,64.16007500381676
2024-05-22,8.14996892566905,10.87862354340607,12.239548154788626,9.688421573041621,6.260819519485823,6.789017571030696,3.0846823180179364,2.781729127219484,2.413350039625349,2.03042976974229,64.31659054202696
2024-05-23,8.321304094477924,11.03791326384868,11.79170422840347,9.768001443576901,6.259535973186867,6.79623142617926,3.1388187264751752,2.8089273108201502,2.1010036295472343,2.0510315002116113,64.07447159672728
2024-05-24,8.331604959712585,11.0179939250826,11.664421928327236,9.817621068855535,6.1852202672194565,6.797011302411537,3.164132209181172,2.8178633926483254,2.1270940639496363,2.0541315082349128,63.977094625622996
2024-05-27,8.183006042620775,10.888729439582661,11.667216484826229,9.843259499991646,6.176641628664408,6.797011302411537,3.1695588479641006,2.8130541558826168,2.4561582583861172,2.059168208901703,64.0538038692318
2024-05-28,8.2267762712089,10.837257608252369,11.56352544077638,9.911141227042771,6.000812033128922,6.7861255300026695,3.1778450329320447,2.741662985786246,2.8439547044114892,2.057998394553287,64.14709922809507
2024-05-29,8.227328683540097,10.710852668937447,11.66513681487349,9.91006889722339,5.9976519096460486,6.8558919579484625,3.1902255681194447,2.7568055826296267,2.7942050997608088,2.06771435261374,64.17588153529256
2024-05-30,8.216374931919649,10.78542833364895,11.715568811227413,9.97028184132379,6.044639452640746,6.800910683572924,3.1954247430012925,2.7588527577393545,2.69662308619713,2.0748632180762807,64.25896785934752
2024-05-31,8.262680083211105,10.779026849575676,11.7326935934945,9.968299655900084,5.977107045151997,6.790512333809227,3.202378639405764,2.759762613343678,2.5692757964348734,2.0804003393254487,64.12213694965236
2024-06-03,8.264587920433998,10.813211424423825,11.751150664325058,9.970834253654985,5.979995024324649,6.790739797710309,3.2029960414229834,2.7622322214125554,2.4093556435429972,2.0758835561468434,64.02098654739821
2024-06-04,8.29211105246478,10.870954760455346,11.726454583636281,10.020096435660491,5.956070696157396,6.790707302867297,3.2075453194445998,2.7609324276920937,2.211229061578277,2.073381453234954,63.90948309319151
2024-06-05,8.274225273469206,10.849930597026873,11.697761637257084,10.022631033415392,5.999987476487504,6.791259715198493,3.1995190932207476,2.7557007579672343,2.267127795351404,2.0750061953855314,63.93314957477947
2024-06-06,8.275577611350817,10.90107747992705,11.706795203614295,9.996765138378201,5.993171683165832,6.823592083994984,3.1910704340377447,2.7508265315155023,2.339643481985033,2.0765009581640625,64.05502060613351
2024-06-07,8.278697116279925,10.972143701593305,11.667151495140207,10.002679199806302,6.045260916513342,6.791292210041505,3.200558928197117,2.7548558920489343,2.3674131848845854,2.079782937308229,64.15983558181345
2024-06-11,8.248249448378106,10.953914094663828,11.607328489155947,9.999852148464297,6.064692832634249,6.791909612058725,3.197666887169089,2.76736640660838,2.3455766503808255,2.077930731256571,64.05448730077
2024-06-12,8.285163590039224,10.988748566372207,11.425812296093438,10.02467820852512,6.094295634617769,6.792039591430771,3.2076103091306227,2.773053004135401,2.3537003611337126,2.083779802998649,64.02888136447692
2024-06-13,8.237331181126226,10.928730591329877,11.422107883990122,10.061722329558286,6.0168929185642614,6.792039591430771,3.208000247246762,2.7726630660192626,2.344267270681675,2.081505163987841,63.86526024393508
2024-06-14,8.222448543026935,10.955116403855254,11.40969485395971,10.092007523245048,6.0019452907789494,6.792039591430771,3.214011793203898,2.780396838656011,2.4053317421431917,2.048847846761235,63.92184042706101
2024-06-17,8.330147890951947,10.9428658480399,11.420060708880394,10.108352429279858,5.96891428285771,6.791714643000655,3.2225254420729237,2.778154694488214,2.2837758782715105,2.048132960214981,63.894644778058094
2024-06-18,8.176642252565394,10.852887627740925,12.49779061875767,10.057725463867865,5.908376390327196,6.778651716110012,3.201267965671629,2.779811931481803,2.5796796703218807,2.037533142424614,64.87036677926898
2024-06-19,8.18976509994655,10.917422385961858,12.57733799444994,10.05909024727435,5.961635438023124,6.778651716110012,3.2210248302226505,2.7864733742991703,2.2819945434724604,2.0362983383901754,64.8096939681503
2024-06-20,8.217970623680573,11.032616604437797,12.629882155599612,10.057303030908713,5.931220264964314,6.778651716110012,3.218360253095703,2.7919974976111335,2.1578479957468413,2.038800441302065,64.85465058345676
2024-06-21,8.383856797254527,10.96447491864258,12.580847437495187,10.029162496860714,5.9040545762066605,6.779724045929394,3.194606522854262,2.7817941169055076,2.0739392922049333,2.038930420674111,64.73139062502787
