date,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUBON SECURITIES (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD
2024-03-11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,72.1264981051692,0.0,0.0,27.8735018948308,0.0,0.0,0.0,0.0
2024-03-21,0.0,72.26433682112025,0.0,0.0,27.735663178879737,0.0,0.0,0.0,0.0
2024-03-22,0.0,72.12446761049169,0.0,0.0,27.87553238950831,0.0,0.0,0.0,0.0
2024-03-25,0.0,53.095008858350255,26.669561066710262,0.0,20.235430074939483,0.0,0.0,0.0,0.0
2024-03-27,0.0,47.34833269541395,23.78301232788404,0.0,18.04527197611226,0.0,0.0,10.823383000589747,0.0
2024-04-03,0.0,46.256292541779516,23.260524191258707,2.2487427260809345,17.648836049505856,0.0,0.0,10.585604491374989,0.0
2024-04-12,0.0,46.34601474320361,23.172683351931035,2.2486039381042193,17.64774679806847,0.0,0.0,10.584951168692664,0.0
2024-05-02,0.0,46.37687375946754,23.141824335667096,2.2486039381042193,17.64774679806847,0.0,0.0,10.584951168692664,0.0
2024-05-03,0.0,46.40773277573148,23.110965319403164,2.2486039381042193,17.64774679806847,0.0,0.0,10.584951168692664,0.0
2024-05-16,0.0,42.125457495546655,20.93663442066219,2.037050290124582,15.987407620285127,0.0,0.0,9.589095475532584,9.324354697848863
2024-05-17,0.0,42.14902363133286,20.948346947931853,2.0381898719023104,15.9404086729151,0.0,0.0,9.594459878425234,9.329570997492647
2024-05-23,0.0,42.13488078687263,20.974872241689976,2.0375059698838234,15.935059967273293,0.0,0.0,9.591240516692746,9.32644051758753
