date,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA CITIC BANK INTERNATIONAL LTD,THE HONGKONG AND SHANGHAI BANKING,"INDUSTRIAL BANK CO., LTD.",RUIBANG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,USMART SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,36.71564970101967,0.0,42.93584628193899,17.450611476952023,0.8596360333473902,0.0,2.0382565067419254,0.0
2024-03-04,0.0,0.0,36.683115605592995,0.0,42.92308274374787,17.469746023338395,0.8539755806223213,0.013512271845289893,2.056567774853122,0.0
2024-03-05,0.008116575670834979,0.0,36.697744133068554,0.0,42.97185712662399,17.511241457304106,0.6682647302320799,0.013527626118058298,2.058904695168473,0.07034365581390314
2024-03-06,0.00812955254942768,0.0,36.75641692681235,0.0,43.040561047519944,17.373937738466875,0.6530740548040236,0.013549254249046133,2.1055541103017688,0.04877731529656607
2024-03-07,0.008147214738854611,0.0,36.83627357260798,0.0,43.1340705657426,17.19442513252803,0.6544929173546538,0.01357869123142435,2.110128617363344,0.04888328843312766
2024-03-08,0.00543827019501637,0.0,36.855157111625935,0.0,43.18802275372249,17.131638768340565,0.633558477719407,0.013595675487540924,2.1127679707638594,0.059820972145180056
2024-03-11,0.005447157128694534,0.0,36.8718066041333,0.0,43.258598337527644,17.047967665675284,0.6264230697998714,0.013617892821736336,2.1162205444978266,0.059918728415639874
2024-03-12,0.002723652745169602,0.0,36.88915278057709,0.0,43.24343463505777,17.056602951350115,0.6291637841341781,0.013618263725848009,2.1162781829967803,0.04902574941305283
2024-03-13,0.002728111001380424,0.0,36.96044784670199,0.0,43.314218368917,16.863545343932955,0.6220093083147367,0.013640555006902122,2.174304468100198,0.04910599802484763
2024-03-14,0.0027238011189374997,0.0,36.89660995712737,0.0,43.24579036537068,17.013951309331198,0.6046838484041249,0.005447602237874999,2.1817646962689374,0.049028420140874995
2024-03-15,0.002723578564347267,0.0,36.75196914730202,0.0,43.24225686614156,17.260406793694372,0.4929677201468553,0.005447157128694534,2.1843100086065084,0.059918728415639874
2024-03-18,0.0027242463372507994,0.0,36.76915281387404,0.0,43.22289238682119,17.264638737693218,0.5148825577404011,0.0027242463372507994,2.1848455624751413,0.0381394487215112
2024-03-19,0.0027198006930052167,0.0,36.70914995349141,0.0,43.149637994527765,17.407812355510586,0.5031631282059651,0.0027198006930052167,2.1812801557901835,0.04351681108808347
2024-03-20,0.0027172879292635607,0.0,36.680669757128804,0.0,43.109772997766385,17.440640845185236,0.5108501307015494,0.0027172879292635607,2.1819822071986392,0.07064948616085258
