date,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,REALINK FINANCIAL TRADE LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA CONSTRUCTION BANK (ASIA),HSBC BROKING SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,0.0,0.0,66.83756071235834,0.0,0.0,0.0,16.918510523475444,16.243928764166217
2024-03-25,0.0,52.77025520119795,31.567209354191228,0.0,0.0,0.0,7.990569343995922,7.671966100614905
2024-05-09,0.0,36.33591470504355,21.73617357348134,16.63778162911612,14.514182919070706,0.0,5.4932760020182965,5.282671171269991
2024-05-17,0.0,35.991655620504574,21.53023751059345,16.48014950346596,14.376670505660705,0.0,5.441230795975575,6.180056063799735
2024-06-26,0.0,35.99478430946431,21.53210909486037,16.481582092795826,14.377920243398892,0.0,5.44170379224166,6.1719004672389435
2024-06-28,0.0,36.25320112942412,21.739225600280168,16.599908070129356,14.481143432486265,0.0,5.480771335390811,5.445750432289272
2024-07-02,0.0,36.24050937575214,21.731614992451263,16.594096667614817,14.511082423473296,0.0,5.478852591733585,5.443843948974903
2024-07-10,86.60219334374992,4.855433377403458,2.9115597599692777,2.2232449878782723,1.9441667668260423,0.0,0.7340460772214128,0.7293556869516274
2024-07-24,86.59102433705488,4.854807176544038,2.921736275782828,2.22295825797923,1.9462609220704232,0.0,0.7339514079614968,0.7292616226071102
2024-07-31,74.24179977683733,4.162436293086983,2.513093215653555,1.905929894751656,1.6686938951939605,0.0,0.6292785411996502,0.6252575920546044
2024-08-01,86.6580816243917,4.858566806393608,2.9521594119148262,2.2246797476114906,1.9477681334573178,0.0,0.7345197900869163,0.6242244861441524
2024-08-02,86.69673750040351,4.860734084419415,2.9534762920725104,2.22567211835035,1.9509847366552115,0.0,0.734847439919472,0.5775478281795211
2024-08-20,86.68452665647493,4.86004947197615,2.9530603082755524,2.2253586424842795,1.9624470729080776,0.0,0.7370913647047087,0.5774664831763003
2024-08-21,86.68045713950384,4.859821310681748,2.957616302099379,2.2252541701509614,1.9623549432976835,0.0,0.7370567609993691,0.5774393732670217
2024-09-12,86.69217126189115,4.855547249461326,2.9550151708368144,2.223297128534365,1.9606291133488707,0.0,0.7364085425736189,0.5769315333538543
2024-09-13,85.31459251117208,4.7783903549389395,2.9080586112289146,2.1879679074960405,1.9317817917449218,1.5867383295395863,0.7247066697824438,0.5677638240970738
2024-09-16,85.31262351030347,4.778280073045977,2.907991495278841,2.1879174107336046,2.0009751003228216,1.5197717457469182,0.7246899440615525,0.5677507205068213
2024-09-17,85.31163904395113,4.778224934008395,2.907957938465533,2.1878921632264485,2.002105961602262,1.5197542083171058,0.724681581490617,0.5677441689385088
2024-10-08,85.32148473001631,4.767235534269103,2.9082935414532813,2.1881446645219924,2.0023370215958107,1.5199296008309409,0.7247652158859764,0.567809691426593
2024-10-15,85.27227901209649,4.764486223849825,2.9066163006963768,2.1868827405239406,2.0011822546461167,1.5190530428639397,0.7243472368402082,0.6251531884831096
2024-10-17,85.29293849921116,4.765640547891471,2.907320506127582,2.1874125712769423,2.001667094496569,1.5194210740357241,0.7245227293048101,0.6010769776557421
2024-11-11,85.28309939985753,4.765090800026532,2.906985127656445,2.1871602389034206,2.0014361890809256,1.519245798858547,0.7255927163872635,0.6113897292293318
2024-11-13,85.28309939985753,4.765090800026532,2.906985127656445,2.1871602389034206,2.0014361890809256,1.519245798858547,0.7267462819141113,0.6102361637024839
2025-01-22,85.28309939985753,4.765090800026532,2.906985127656445,2.1871602389034206,2.0014361890809256,1.519245798858547,0.727899847440959,0.6090825981756361
2025-02-04,85.28211561477124,4.766189384435697,2.906951594064974,2.1871350088679327,2.0014131014693373,1.519228273564909,0.7278914507361105,0.6090755720898041
2025-03-03,85.28506703812334,4.766354331594293,2.907052197160433,2.1837499242955154,2.0014823659021235,1.5192808506588453,0.7279166414318385,0.6090966508336145
2025-03-05,85.2870347671853,4.766464302709562,2.907119269759326,2.1814930710773357,2.001528544854139,1.5193159040766002,0.7279334361976726,0.6091107041400493
2025-03-14,85.29097049772294,4.762069572189583,2.907253424242686,2.181593740175762,2.0016209091512147,1.5193860157649277,0.7279670280544187,0.6091388126984677
2025-04-09,85.29195448711478,4.7621245114863795,2.907286964798177,2.181618908902124,1.9428060510794167,1.5194035446980951,0.7279754265030356,0.6668301054179946
2025-04-25,85.24474859256227,4.759488854361544,2.905677890616217,2.1804114647441533,1.9417307808721072,1.5185626118815707,0.7275725194360448,0.721807285526092
2025-04-28,85.23197265382942,4.75877553255572,2.9052424061632642,2.180084678593148,1.9564271282774044,1.5183350194115155,0.7274634755115157,0.7216991056580173
