date,CITIBANK N.A.,HUNG SING SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FOUNDER SECURITIES (HONG KONG) LTD,SUNHIGH FINANCIAL HOLDINGS LTD,SILVERBRICKS SECURITIES CO LTD
2024-11-07,95663000.0,52000.0,2448000.0,21749100.0,3296000.0,0.0,0.0,0.0
2024-11-08,95599000.0,48000.0,2408000.0,21933100.0,3256000.0,0.0,0.0,0.0
2024-11-11,95579000.0,0.0,2216000.0,21861100.0,3056000.0,12828000.0,0.0,0.0
2025-01-22,87311000.0,0.0,2260000.0,21689100.0,3104000.0,7804000.0,0.0,0.0
2025-01-23,79507000.0,0.0,14072000.0,21741100.0,4052000.0,7756000.0,0.0,0.0
2025-01-27,78243000.0,0.0,12360000.0,20841100.0,5476000.0,7556000.0,0.0,1744000.0
2025-02-04,71027000.0,0.0,10320000.0,23477100.0,4880000.0,7456000.0,0.0,0.0
2025-02-06,67415000.0,0.0,10408000.0,22953100.0,5028000.0,7396000.0,0.0,0.0
2025-02-27,60091000.0,0.0,18704000.0,22441100.0,6192000.0,0.0,0.0,6288000.0
2025-03-04,60439000.0,0.0,16112000.0,22249100.0,6776000.0,0.0,0.0,17592000.0
2025-03-11,60067000.0,50000000.0,16196000.0,22253100.0,6876000.0,0.0,0.0,0.0
2025-03-27,59927000.0,49860000.0,0.0,21937100.0,6924000.0,7316000.0,0.0,0.0
2025-03-31,59939000.0,45528000.0,17332000.0,21921100.0,0.0,7296000.0,0.0,0.0
2025-04-01,60963000.0,40212000.0,17868000.0,22589100.0,7620000.0,0.0,0.0,0.0
2025-04-02,60971000.0,38872000.0,18232000.0,22993100.0,7820000.0,7276000.0,0.0,0.0
2025-04-03,61035000.0,38044000.0,18632000.0,22873100.0,7860000.0,7256000.0,0.0,0.0
2025-04-07,61067000.0,37904000.0,18692000.0,22877100.0,7888000.0,7236000.0,0.0,0.0
2025-04-08,61079000.0,0.0,18028000.0,22961100.0,7692000.0,7216000.0,0.0,0.0
2025-04-09,61007000.0,0.0,17564000.0,22881100.0,7624000.0,7196000.0,0.0,0.0
2025-04-11,61055000.0,37740000.0,17696000.0,22929100.0,7524000.0,7156000.0,0.0,0.0
2025-04-15,58519096.0,33940000.0,18684000.0,23989100.0,7644000.0,7116000.0,400000.0,13412000.0
2025-04-16,58499096.0,33760000.0,19992000.0,23965100.0,0.0,7096000.0,0.0,0.0
2025-04-17,58179096.0,0.0,20640000.0,24625100.0,7432000.0,6916000.0,896000.0,0.0
2025-04-22,58043096.0,33968000.0,20844000.0,24569100.0,7172000.0,6872000.0,496000.0,0.0
2025-04-24,57222626.0,34796000.0,20888000.0,24637100.0,7240000.0,6752000.0,436000.0,0.0
2025-04-25,57090626.0,34016000.0,21488000.0,24437100.0,7260000.0,6732000.0,0.0,0.0
2025-04-28,55458626.0,33872000.0,22240000.0,25045100.0,7084000.0,6712000.0,0.0,0.0
2025-04-29,54242626.0,33544000.0,23112000.0,25001100.0,7056000.0,0.0,572000.0,0.0
2025-04-30,53570626.0,33400000.0,28088000.0,24997100.0,0.0,6672000.0,632000.0,0.0
2025-05-02,52654626.0,32384000.0,28248000.0,25169100.0,7240000.0,6632000.0,5376000.0,0.0
