date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,MERRILL LYNCH FAR EAST LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS
2024-03-01,38.54719539593045,11.660723853205672,10.590893055076895,10.952368763112212,10.618312771747028,6.661331235761747,3.821801649820774,3.60791226117727,2.5753935028083093,0.9640675113596389
2024-03-04,38.55365265208661,11.68935023765329,10.678422771799259,10.930369263319214,10.639672017018244,6.645766452943966,3.8187673186403974,3.503712818760616,2.647962861025889,0.8923236067525147
2024-03-05,38.78949187725742,11.645602653524909,10.26084439430455,10.991531698226478,10.86698763293427,6.5478908053867135,3.8174359192882936,3.4877620384703585,2.7131622827805217,0.8792906978264872
2024-03-06,38.81036178693987,11.625924186046184,10.151929638463711,11.128659043624207,10.945000714497407,6.53273864061482,3.815125530164085,3.5067927431851684,2.628093092246528,0.855374624218014
2024-03-07,38.93331267277012,11.68152969670097,10.049866049489065,11.217125402784585,10.920080769137138,6.475712491090156,3.8156876669314768,3.5127365618321202,2.541800922578647,0.8521477666857199
2024-03-08,38.94947819735429,11.637654800153534,10.113286230394806,11.26085425645026,10.950316452671867,6.416677318778777,3.8197244835841353,3.488167716761782,2.5793718982636324,0.7844686455869212
2024-03-11,38.97034116859334,11.602587612779438,10.210378670309328,11.255517782058977,10.858008717443404,6.410230651572806,3.8155818515990028,3.4909959332228846,2.602302330784549,0.7840552816362697
2024-03-12,38.99343841580145,11.627186866690693,10.21027750469618,11.261554377516061,10.82970091615004,6.367021073724718,3.815428770691582,3.4813566473004256,2.593725253416885,0.8203101740119642
2024-03-13,39.10897914804304,11.623706980084826,10.151357979495828,11.28053529162547,10.785561059949433,6.368238566313121,3.8140679459219036,3.4878247694664597,2.6027468054876928,0.7769814536122269
2024-03-14,39.25800277606251,11.611358815252029,9.859274306371208,11.298879296089408,10.807237343919427,6.383814294359742,3.813555548613612,3.561260423986407,2.609451884358177,0.7971653109874769
2024-03-15,39.488186236000075,11.59420761529336,9.725197434237593,11.270176997323759,10.75075785870559,6.379393255350275,3.8060959840665807,3.599253385869161,2.5854831423950806,0.8012480907585275
2024-03-18,39.54590652026814,11.562631245804344,9.776222159083668,11.227470308254121,10.691861554023582,6.515132635493306,3.8008963572146213,3.5855505412487068,2.5590570191553,0.7352716594542121
2024-03-19,39.58118753542871,11.590404187807689,9.818932207505407,11.21993991098468,10.586916270980876,6.528315457494073,3.805110528313138,3.5742167155000426,2.554932464217356,0.7400447217680314
2024-03-20,39.7038750697393,11.587936624795848,9.88339063747072,11.242674622531332,10.529118883139292,6.427408428273113,3.80349222163464,3.5313077562208286,2.57686825619988,0.7139274999950483
2024-03-21,39.7758901023768,11.580491477095723,9.8971919351197,11.232539962948833,10.519552687447629,6.4207832715413495,3.8013569401449754,3.487992625350959,2.5682567254399,0.7159442725341318
2024-03-22,39.779786989327846,11.577066412968177,9.913871779596064,11.20715878153143,10.543531716789886,6.395607826172202,3.80077654067018,3.484765958490098,2.5591950767298153,0.7382389177242987
2024-03-25,39.75127507301304,11.581281923602797,9.874446791854503,11.227703622043563,10.5425428835352,6.362067630410652,3.7998050597257746,3.480950754054102,2.554120763039581,0.8258054987207877
2024-03-26,39.96315996768832,11.62893516067574,9.311525372908893,11.285932435767075,10.695928838897728,6.411414304009526,3.811548972743415,3.469031840146195,2.563002839557117,0.859520267605998
2024-03-27,40.13897056976318,11.642207337692344,9.339932301052581,11.184685974138214,10.630122898290045,6.417244849977285,3.8181941272071174,3.466222636906709,2.596363237514788,0.7660560674577335
