date,SUNHIGH FINANCIAL HOLDINGS LTD,SUNFUND SECURITIES LTD,GAOYU SECURITIES LIMITED,WEALTH LINK SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,51.98533299853916,0.0,0.0,0.0,48.01466700146084
2024-03-04,0.0,0.0,0.0,0.0,0.0,52.22638610607802,0.0,0.0,0.0,47.773613893921976
2024-03-05,0.0,0.0,0.0,0.0,0.0,52.473380449536336,0.0,0.0,0.0,47.526619550463664
2024-03-08,0.0,0.0,0.0,0.0,0.0,52.03249730665951,0.0,0.0,0.0,47.96750269334049
2024-03-11,0.0,0.0,0.0,0.0,0.0,52.27231930087601,0.0,0.0,0.0,47.727680699123994
2024-03-12,0.0,0.0,96.26367747923284,0.0,1.6638506741482169,1.1077829873484264,0.0,0.0,0.0,0.9646888592705121
2024-03-13,0.0,0.0,96.24385826885539,0.0,1.6635081128892755,1.1380416724797726,0.0,0.0,0.0,0.9545919457755667
2024-03-14,0.0,0.0,96.29510875565214,0.0,1.6728161660288725,1.0967242274026732,0.0,0.0,0.0,0.9353508509163215
2024-03-15,0.0,0.0,93.91231563361964,0.0,1.6314228397598016,1.0491088179356878,2.0271563728856696,0.0,0.46779045665818353,0.9122058791410047
2024-03-18,0.0,0.0,93.87858330243756,0.0,1.6377889071894942,1.08426472785006,2.0264282393105715,0.0,0.46762243117077695,0.9053123920415456
2024-03-19,0.0,0.0,93.8658946142317,0.0,1.637953715834227,1.1026544925455843,2.0261543459986395,0.0,0.467559227029657,0.8997836043601907
2024-03-20,0.0,0.0,93.91542673528802,0.0,1.6387843375305209,1.0568493726454211,2.0271818278765203,0.0,0.46151783359193854,0.9002398930675736
2024-03-21,0.0,0.0,93.88531899841477,0.0,1.6382589703002208,1.088568914876701,2.0265319468166174,0.0,0.4613698785862581,0.899951291005426
2024-03-22,0.0,0.0,93.84845822812137,0.0,1.6374810332191452,1.1606316157549046,2.0255696359878694,0.0,0.46115079433697254,0.8667086925797433
2024-03-25,0.0,0.0,20.03053010220825,73.82208135148419,1.6267304564655045,1.2659433232448525,2.024202068649445,0.0,0.4608394474678157,0.7696732504799434
2024-03-26,0.0,0.0,20.027980252474773,73.81268393596407,1.6265233766628386,1.2785119875197186,2.02394439143976,0.0,0.46078078345162116,0.76957527248722
