date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,HANG SENG SECURITIES LTD,HAFOO SECURITIES LTD
2024-10-31,99.43890336994673,0.0,0.2561289804649525,0.008038284693621904,0.009621583193880765,0.025941736965779786,0.25162266934883115,0.00024358438465520927,0.0012179219232760464,0.008281869078277115
2024-11-04,99.41396121072205,0.0,0.24230567019803234,0.051018128549233946,0.04261657516045795,0.0008523315032091589,0.22063209768785658,0.0007305698598935648,0.01290673419145298,0.014976682127818079
2024-11-05,99.43333267630126,0.0,0.21215011345007423,0.059065904146547644,0.04591308425412054,0.008159619748079779,0.21909187950441075,0.002192136648737851,0.01668459560428253,0.0034099903424811015
2024-11-06,99.35371580162857,0.0,0.2422805194798557,0.07994892079269976,0.038696737917927736,0.0065711441747424455,0.25992525846759007,0.0020686935364929923,0.014845918320714415,0.0019470056814051692
2024-11-07,97.06428412332363,0.0,2.5472037083367582,0.06966589065086065,0.034119642690779876,0.005230885987436637,0.2643975099104336,0.002258791676393093,0.011293958381965464,0.0015454890417426425
2024-11-08,97.04501720349478,0.0,2.561674479316217,0.07214812587903413,0.03363742936370125,0.005348707849351789,0.26921829508404005,0.0022583433141707553,0.009152233431113061,0.001545182267590517
2024-11-11,97.07807562770677,0.0,2.5299683327699523,0.0804957496609295,0.03376778863176362,0.005588331217228487,0.2557553286863506,0.0046371259036576806,0.009928205460395292,0.0017835099629452617
2024-11-12,97.05816864346927,0.0,2.5540569238720865,0.07845834627673154,0.031621091075167564,0.005587185265161185,0.2553462542460899,0.004755051289498881,0.01057998911913501,0.0014265153868496644
2024-11-13,99.34622047997017,0.0,0.26148747227695884,0.08030792540846574,0.03200149148852498,0.005232183019036403,0.2519965356377766,0.003772038920700663,0.017521729180028887,0.0014601440983357406
2024-11-14,99.33207916292656,0.0,0.27738788862066005,0.07324013550422692,0.02713048208877509,0.005231438250301922,0.2560971515554778,0.0043798087676946325,0.022993996030396823,0.001459936255898211
2024-11-15,99.34416550867974,0.0,0.2811936010094838,0.07191060934513412,0.023483498483267147,0.005232074791608743,0.2521129992607748,0.004502017843942406,0.016061252848659394,0.001338437737388283
2024-11-18,99.36060765978759,0.0,0.27332988125563,0.07240929623646476,0.02433925923914782,0.005232940736416781,0.24327089609528246,0.003529192589676434,0.01606391109783756,0.001216962961957391
2024-11-19,99.38431327732617,0.0,0.256840447774176,0.07632178234806081,0.02519714345462295,0.005234189220042448,0.2256787631153186,0.0035300345902611863,0.021667108864361764,0.0012172533069866158
2024-11-20,99.38987847960614,0.0,0.2822968487217385,0.07425660962495062,0.02580721514834349,0.005234482317824388,0.19586702440417303,0.003530232260858308,0.02191178644670674,0.0012173214692614855
2024-11-21,99.41190343607836,0.0,0.26348674209656514,0.08328324010815644,0.02203840125669052,0.0052356422875010624,0.18458683041515372,0.004748605795640499,0.02349951073227221,0.00121759122965141
