date,USMART SECURITIES LTD,VALUABLE CAPITAL LTD,BANK OF CHINA (HONG KONG) LTD,RUISEN PORT SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,PINESTONE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA CITIC BANK INTERNATIONAL LTD
2024-03-01,45.67931182154226,45.36687740695885,0.0,0.0,0.0,0.0,8.953810771498896,0.0,0.0
2024-03-04,45.400253423735,45.606102619963906,0.0,0.0,0.0,0.0,8.993643956301094,0.0,0.0
2024-03-05,45.42682767578927,45.620342525990445,0.0,0.0,0.0,0.0,8.952829798220282,0.0,0.0
2024-03-06,45.425194196958564,45.626921165560944,0.0,0.0,0.0,0.0,8.947884637480497,0.0,0.0
2024-03-07,35.20732661616941,35.36407737202657,22.483401532267983,0.0,0.0,0.0,6.945194479536034,0.0,0.0
2024-03-08,35.20718643956067,35.364334717451726,22.48331201547467,0.0,0.0,0.0,6.945166827512926,0.0,0.0
2024-03-11,35.20690608969182,35.36803454583907,22.483132984026483,0.0,0.0,0.0,6.941926380442627,0.0,0.0
2024-03-13,35.210001571506666,35.36634484249021,22.48166073127042,0.0,0.0,0.0,6.941992854732707,0.0,0.0
2024-03-14,34.31348352330926,34.47632162374292,21.873537260301422,0.0,0.0,0.0,6.741180450256558,2.595477142389847,0.0
2024-03-19,34.30008551865822,34.44384309885543,21.86301887989746,0.0,0.0,0.0,6.798823453526998,2.594229049061888,0.0
2024-03-21,34.26766844364978,34.459210885983424,21.87277348884621,0.0,0.0,0.0,6.804960666967033,2.5953865145535526,0.0
2024-03-22,34.243188578114236,34.48053581755857,21.874980085259008,0.0,0.0,0.0,6.8056471734955535,2.595648345572639,0.0
2024-03-25,34.24357659060311,34.48053581755857,21.874980085259008,0.0,0.0,0.0,6.8052591610066795,2.595648345572639,0.0
2024-03-26,33.31390138160298,34.4710645944078,21.87968408239292,0.0,0.0,0.0,7.507289138947012,2.8280608026492797,0.0
2024-03-27,33.28027009465686,34.476414758872,21.867559230924837,0.0,0.0,0.0,7.547256176920225,2.828499738626075,0.0
2024-03-28,33.27910793276485,34.4752108270742,21.866795605992188,0.0,0.0,0.0,7.546992623364525,2.8318930108042406,0.0
2024-04-02,33.278978808675994,34.47546506552064,21.86671076206955,0.0,0.0,0.0,7.546963340772332,2.831882022961492,0.0
2024-04-03,33.2870015016842,34.47252246479394,21.86484436233116,0.0,0.0,0.0,7.543991359199113,2.8316403119915927,0.0
2024-04-05,33.2815783502936,34.466906167148956,21.880677476637057,0.0,0.0,0.0,7.539659027584662,2.8311789783357253,0.0
2024-04-08,33.28946970872129,34.464219223515265,21.878725486506877,0.0,0.0,0.0,7.536659174324463,2.8309264069321025,0.0
2024-04-09,33.17746687596914,34.50101971695273,21.902087335747236,0.0,0.0,0.0,7.585476834025509,2.8339492373053834,0.0
2024-04-10,33.17798217872468,34.50349704035056,21.902427512590712,0.0,0.0,0.0,7.582100014954241,2.8339932533798033,0.0
2024-04-11,33.17940113704152,34.5045688701852,21.903107897979808,0.0,0.0,0.0,7.578840805162828,2.834081289630639,0.0
2024-04-12,33.17901462993918,34.50843822905024,21.90285274850526,0.0,0.0,0.0,7.5756461171097,2.8340482753956158,0.0
2024-04-15,33.1792740949914,34.508304233215284,21.9027677000014,0.0,0.0,0.0,7.575616700970376,2.8340372708215336,0.0
2024-04-16,33.17901642757802,34.50803624466718,21.902597604975124,0.0,0.0,0.0,7.576334460849926,2.8340152619297507,0.0
2024-04-18,33.183264955023304,34.497728590371885,21.90591493459011,0.0,0.0,0.0,7.578647023026744,2.8344444969879516,0.0
2024-04-19,33.19100053887889,34.510804938001485,21.910765147396294,0.0,0.0,0.0,7.55235730125054,2.8350720744727886,0.0
2024-04-24,33.186359805053605,34.5059796703924,21.907701605252143,0.0,0.0,0.0,7.565283241884275,2.8346756774175774,0.0
2024-04-25,33.20295728136751,34.511049762827966,21.903278000932055,0.0,0.0,0.0,7.548611655324492,2.8341032995479765,0.0
2024-04-26,33.26211420404226,34.4889693680129,21.901832210049072,0.0,0.0,0.0,7.544230565131742,2.8028536527640227,0.0
2024-04-29,33.262373334345476,34.48922373467479,21.90174716947049,0.0,0.0,0.0,7.543812991683876,2.8028427698253706,0.0
2024-05-02,33.248636654747216,34.49632268978761,21.9062552303432,0.0,0.0,0.0,7.5453657430655685,2.8034196820564015,0.0
2024-05-03,33.23437562961844,34.503692620528724,21.91093536930458,0.0,0.0,0.0,7.546977764829245,2.804018615719007,0.0
2024-05-06,33.22443814919818,34.51589858825562,21.90438373452592,0.0,0.0,0.0,7.552099347793567,2.8031801802267236,0.0
2024-05-07,33.225471594651985,34.514238765079476,21.90480904640475,0.0,0.0,0.0,7.552245984996496,2.8032346088672915,0.0
2024-05-08,33.22573090247084,34.51410473475104,21.90472398270768,0.0,0.0,0.0,7.552216657100358,2.8032237229700865,0.0
2024-05-09,33.22869877984896,34.51718769569384,21.907068983023805,0.0,0.0,0.0,7.543570421435243,2.8034741199981497,0.0
2024-05-10,33.22199084877678,34.50981631380443,21.925687689324167,0.0,0.0,0.0,7.539629729199756,2.8028754188948684,0.0
