date,YUANTA SECURITIES (HONG KONG) CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA CONSTRUCTION BANK (ASIA),CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-06-19,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,50.107372942018614,49.8067287043665,0.0,0.0,0.0,0.0,0.0,0.08589835361488905,0.0,0.0
2024-07-08,50.107372942018614,49.84251968503937,0.0,0.0,0.0,0.0,0.0,0.05010737294201861,0.0,0.0
2024-07-10,50.107372942018614,49.88546886184682,0.0,0.0,0.0,0.0,0.0,0.0071581961345740875,0.0,0.0
2024-07-12,50.1932712956335,49.79957050823193,0.0,0.0,0.0,0.0,0.0,0.0071581961345740875,0.0,0.0
2024-07-15,50.27916964924839,49.713672154617036,0.0,0.0,0.0,0.0,0.0,0.0071581961345740875,0.0,0.0
2024-07-16,50.365068002863275,49.620615604867574,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-17,50.45096635647817,49.53471725125269,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-19,50.536864710093056,49.4488188976378,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-22,50.62276306370794,49.362920544022906,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-23,50.70866141732283,49.27702219040802,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-24,50.79455977093772,49.191123836793125,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-25,50.88045812455261,49.10522548317824,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-26,50.966356478167505,49.01932712956335,0.0,0.0,0.0,0.0,0.0,0.014316392269148175,0.0,0.0
2024-07-29,51.059564719358534,48.92611683848797,0.0,0.0,0.0,0.0,0.0,0.014318442153493701,0.0,0.0
2024-07-30,51.152799656308176,48.83287985106688,0.0,0.0,0.0,0.0,0.0,0.014320492624946297,0.0,0.0
2024-07-31,51.23872261205785,48.7469568953172,0.0,0.0,0.0,0.0,0.0,0.014320492624946297,0.0,0.0
2024-08-01,51.324645567807536,48.661033939567524,0.0,0.0,0.0,0.0,0.0,0.014320492624946297,0.0,0.0
2024-08-02,51.41056852355721,48.575110983817844,0.0,0.0,0.0,0.0,0.0,0.014320492624946297,0.0,0.0
2024-08-05,51.4928044676738,48.48571633135247,0.0,0.007159733657907927,0.0,0.0,0.0,0.014319467315815853,0.0,0.0
2024-08-06,51.578721271568696,48.399799527457574,0.0,0.007159733657907927,0.0,0.0,0.0,0.014319467315815853,0.0,0.0
2024-08-07,51.6646380754636,48.313882723562685,0.0,0.007159733657907927,0.0,0.0,0.0,0.014319467315815853,0.0,0.0
2024-08-08,51.75055487935849,48.22796591966779,0.0,0.007159733657907927,0.0,0.0,0.0,0.014319467315815853,0.0,0.0
2024-08-09,51.8327605956472,48.14576174112257,0.0,0.0071592210767468505,0.0,0.0,0.0,0.014318442153493701,0.0,0.0
2024-08-12,51.91867124856816,48.059851088201604,0.0,0.0071592210767468505,0.0,0.0,0.0,0.014318442153493701,0.0,0.0
2024-08-13,51.92583046964491,48.059851088201604,0.0,0.0071592210767468505,0.0,0.0,0.0,0.0071592210767468505,0.0,0.0
2024-08-14,52.09049255441008,47.89518900343643,0.0,0.0071592210767468505,0.0,0.0,0.0,0.0071592210767468505,0.0,0.0
2024-08-16,52.25109154677546,47.734593085677474,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-19,52.33698375205783,47.648700880395104,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-20,52.42287595734021,47.562808675112734,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-21,52.50876816262257,47.47691646983036,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-22,52.59466036790494,47.391024264547994,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-23,52.68055257318731,47.30513205926562,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-26,52.76644477846969,47.219239853983254,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-27,52.85233698375206,47.13334764870088,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-28,52.93822918903442,47.047455443418514,0.0,0.007157683773530885,0.0,0.0,0.0,0.007157683773530885,0.0,0.0
2024-08-29,53.0241213943168,46.88998640040083,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-08-30,53.11001359959917,46.80409419511846,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-02,53.19590580488154,46.71820198983609,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-03,53.281798010163904,46.63230978455372,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-04,53.36769021544628,46.54641757927135,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-05,53.45358242072865,46.46052537398898,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-10,53.546632309784556,46.367475484933074,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-11,53.639682198840454,46.27442559587717,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-12,53.73273208789636,46.18137570682127,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-13,53.7899935580846,46.12411423663303,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-16,53.87588576336697,46.03822203135066,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
2024-09-17,54.00472407129053,45.9093837234271,0.0,0.007157683773530885,0.0,0.07157683773530886,0.0,0.007157683773530885,0.0,0.0
