date,EVERBRIGHT SECURITIES INVESTMENT,GRAND CHINA SECURITIES LTD,SHENG YUAN SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,75.26342085443062,24.736579145569383,0.0,0.0,0.0
2024-03-08,75.26640368080774,24.733596319192248,0.0,0.0,0.0
2024-03-11,72.4530556135338,23.85041132567061,0.0,3.696533060795589,0.0
2024-03-14,72.45384864514736,23.84972471121667,0.0,3.696426643635971,0.0
2024-03-25,72.44942752898336,23.854518239192856,0.0,3.6960542318237755,0.0
2024-03-28,72.4514100266966,23.852801703977146,0.0,3.6957882693262527,0.0
2024-07-12,71.0187056677189,25.093301236194065,0.0,3.8879930960870257,0.0
2024-08-16,67.50786146550669,23.852801703977146,4.943548561189905,3.6957882693262527,0.0
2024-09-19,66.27001023388537,24.761520591025555,5.1318826614077935,3.836586513681285,0.0
2024-11-01,65.66925883386438,24.537052266526928,5.085361079734524,3.8018070604827527,0.9065207593914184
2024-11-05,63.28032598794131,23.644437196057922,8.538189732014398,3.6635039652152006,0.8735431187711695
2025-02-06,63.28303437167205,23.64544917265609,8.538555164616067,3.659380784835457,0.8735805062203339
