date,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ENLIGHTEN SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CITIC BANK INTERNATIONAL LTD,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,0.0,3.0541666666666667,1.5078703703703704,0.0,0.0,0.0,0.4537037037037037,0.21574074074074073,0.0,5.231481481481481
2024-03-07,0.0,3.0652777777777778,1.5069444444444444,0.0,0.0,0.0,0.45231481481481484,0.21574074074074073,0.3277777777777778,5.5680555555555555
2024-03-08,0.0,3.0652777777777778,1.5069444444444444,0.0,0.0,0.0,0.45231481481481484,0.21574074074074073,0.3324074074074074,5.572685185185185
2024-03-13,0.0,3.0652777777777778,1.5069444444444444,0.0,0.0,0.0,0.45277777777777783,0.21574074074074073,0.3324074074074074,5.573148148148148
2024-03-14,0.0,3.071296296296296,1.5,0.0,0.0,0.0,0.45277777777777783,0.21574074074074073,0.3324074074074074,5.572222222222222
2024-03-20,0.0,3.073611111111111,1.5,0.0,0.0,0.0,0.45277777777777783,0.21574074074074073,0.3324074074074074,5.574537037037037
2024-03-25,0.0,3.0791666666666666,1.5,0.0,0.0,0.0,0.45277777777777783,0.21574074074074073,0.3287037037037037,5.576388888888889
2024-04-11,0.0,3.0791666666666666,1.5,0.0,0.0,0.0,0.45277777777777783,0.21574074074074073,0.3282407407407407,5.575925925925926
2024-04-18,0.0,3.088425925925926,1.5,0.0,0.0,0.0,0.45277777777777783,0.2064814814814815,0.3282407407407407,5.575925925925926
2024-04-24,0.0,3.0824074074074073,1.5,0.0,0.0,0.5731481481481482,0.45277777777777783,0.2064814814814815,0.3282407407407407,6.143055555555556
2024-04-26,0.0,3.0824074074074073,1.5018518518518518,0.0,0.0,0.5939814814814814,0.45277777777777783,0.2064814814814815,0.3282407407407407,6.165740740740741
2024-04-29,0.0,3.0921296296296297,1.5018518518518518,0.0,0.0,0.5939814814814814,0.45277777777777783,0.19722222222222224,0.3282407407407407,6.166203703703704
2024-05-02,0.0,3.0921296296296297,1.5018518518518518,0.0,0.0,0.5953703703703704,0.45277777777777783,0.19722222222222224,0.3268518518518519,6.166203703703704
2024-05-06,0.0,3.0921296296296297,1.5018518518518518,0.0,0.0,0.5986111111111111,0.45277777777777783,0.19722222222222224,0.3268518518518519,6.169444444444445
2024-05-07,0.0,3.089814814814815,1.5018518518518518,0.0,0.0,0.6101851851851853,0.44351851851851853,0.19722222222222224,0.3268518518518519,6.169444444444445
2024-05-08,0.0,3.089814814814815,1.5041666666666667,0.0,0.0,0.6101851851851853,0.44351851851851853,0.19722222222222224,0.324537037037037,6.169444444444445
2024-05-09,0.0,3.089814814814815,1.5041666666666667,0.0,0.0,0.612037037037037,0.44351851851851853,0.19722222222222224,0.3236111111111111,6.170370370370371
2024-05-13,0.0,3.089814814814815,1.5041666666666667,0.0,0.6064814814814814,0.625925925925926,0.44351851851851853,0.19722222222222224,0.3236111111111111,6.79074074074074
2024-05-16,0.0,3.089814814814815,1.5023148148148149,0.0,0.6078703703703703,0.6328703703703703,0.44351851851851853,0.19722222222222224,0.3236111111111111,6.7972222222222225
2024-05-17,0.0,3.0842592592592593,1.5023148148148149,0.0,0.6078703703703703,0.638425925925926,0.44351851851851853,0.19722222222222224,0.3236111111111111,6.7972222222222225
2024-05-21,0.0,3.0842592592592593,1.498148148148148,0.0,0.6078703703703703,0.6287037037037038,0.44212962962962965,0.19722222222222224,0.3259259259259259,6.784259259259259
