date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,90.7155908342742,0.0,0.0,0.0,0.0,9.284409165725807,0.0,0.0,0.0,0.0
2024-03-04,53.465456844223084,0.0,0.0,18.57116546541977,12.687531933053167,5.471994097255817,0.0,6.8744336720308485,0.0,2.929417988017314
2024-03-05,53.47193938098699,0.0,0.0,18.57341716717234,12.68907026073339,5.462737336014131,0.0,6.875267177842644,0.0,2.9275686772505107
2024-03-06,50.65376981047349,0.0,0.0,17.594529180558755,12.020309185281883,5.1748308132606855,5.322578706738568,6.512915092355433,0.0,2.721067211331184
2024-03-08,50.63262249368281,0.0,0.0,17.58718368418689,12.015290856197707,4.911740685308062,5.2765204068369975,6.802437296322841,0.0,2.7742045774646895
2024-03-13,50.62535562378958,0.0,0.0,17.5809786284461,12.016043338419658,4.912048293137849,5.267456802235477,6.858183873791381,0.0,2.7399334401799518
2024-03-14,50.62535562378958,0.0,0.0,17.5809786284461,12.016043338419658,4.913092077305537,5.240318413875599,6.858183873791381,0.0,2.7660280443721414
2024-03-15,50.62377041508754,0.0,0.0,17.580428123270014,12.015667085527616,4.91711324182771,5.240154326171941,6.857969126603475,0.0,2.764897681511697
2024-03-18,50.71428603543973,0.0,0.0,17.611862039483427,12.037151173956314,4.84016441836725,5.249523755111856,6.870231218596244,0.0,2.6767813590451843
2024-03-19,50.754088065760946,0.0,0.0,17.625684335363108,12.046598276409302,4.85024174871066,5.22120414351496,6.87562317365769,0.0,2.6265602565833346
2024-03-20,40.833859674978726,0.0,19.77016575214376,14.197062295200968,9.690011629108206,3.855971444835362,4.089551902364682,5.442214227588525,0.0,2.1211630737797673
2024-03-21,40.88513698602371,0.0,19.79499223062884,14.214890322848381,9.702179906716305,3.8608135990850756,4.053390745426691,5.3664550517734595,0.0,2.1221411574975377
2024-03-25,40.993234574795274,0.0,19.765839994929845,14.193955945693848,9.687891432533577,3.8340890693730865,4.0474212860293814,5.358551832579704,0.0,2.119015864065284
2024-03-26,40.99702967772988,0.0,19.767669891939626,14.195270004572633,9.688788325535242,3.8336023994799366,4.039379740132591,5.359047920678045,0.0,2.119212039932048
2024-03-27,40.99047494122336,0.0,19.780497694033986,14.193000419306328,9.687239251003732,3.8329894708410355,4.03873391115292,5.358191098919932,0.0,2.1188732135187105
2024-03-28,41.00393166547174,0.0,19.787833181718504,14.197659825989797,9.69041946561495,3.8342477993290562,4.006389111066222,5.359950134407852,0.0,2.11956881640188
2024-04-02,41.03185891046125,0.0,19.797835801819755,14.168358742456281,9.687076219341154,3.832924963438061,4.005006885506796,5.358100923093711,0.0,2.118837553882994
2024-04-03,41.039110933487066,0.0,19.801334896545377,14.170862876233464,9.688788325535242,3.8184531474073484,4.003189860181409,5.359047920678045,0.0,2.119212039932048
2024-04-05,39.5046656976272,0.0,19.06096642109488,13.628054262137818,9.326526211439559,3.674061533085337,3.8786261498668253,5.158674048935145,3.7284506062853704,2.0399750695278676
2024-04-08,39.51346902774037,0.0,19.065214020124454,13.630280838402015,9.32860456060664,3.667587234303827,3.8794904737581906,5.159823622277865,3.729281464638888,2.0262487581477506
2024-04-09,39.42409857256247,0.0,19.072941779491565,13.635805640290632,9.332385751376343,3.6933938050096087,3.921596253672955,5.161915068788122,3.7307930652818464,2.0270700635264545
2024-04-10,39.42282022313325,0.0,19.07232332821125,13.635363491326208,9.332083143316032,3.693274044557665,3.9247116520469567,5.161747690676236,3.7306720921370387,2.0270043345953557
2024-04-12,39.413398683519766,0.0,19.083461591255638,13.640082110268853,9.337533092701515,3.664608626895886,3.935114819253075,5.164762158423984,3.7328508097677897,2.028188107913494
2024-04-15,39.41595634715265,0.0,19.084699979147366,13.640967259561435,9.419255601226615,3.5772405443859263,3.9353701816526803,5.165097316638863,3.7330930465979546,2.0283197236365096
2024-04-16,39.3501611411788,0.0,19.09213368305919,13.646280568745716,9.422924506542696,3.580256882782154,3.97747713303643,5.16710917976323,3.734547128056611,2.029109776835172
2024-04-17,39.39459664851231,0.0,19.082822031040248,13.661690401455473,9.470935491937556,3.4494417652055978,3.997404193521937,5.172944050858843,3.7387643025606923,2.0314011149073474
2024-04-18,39.42662675991288,0.0,19.098337481571317,13.672798154871074,9.478635916480062,3.3709405137867847,4.000654316953177,5.177149956955464,3.7418041366318455,2.033052762837399
