date,ABN AMRO CLEARING HONG KONG LTD,CITIBANK N.A.,CATHAY SECURITIES (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,80.56462140992167,0.0,0.0,0.0,0.0,0.0,0.0,19.43537859007833,0.0
2024-03-04,80.72191647782454,0.0,0.0,0.0,0.0,0.0,0.0,19.278083522175464,0.0
2024-03-05,48.19329583997997,44.36429166417135,0.0,0.0,0.0,0.0,0.0,6.484208692432912,0.9582038034157787
2024-03-06,52.270827220029126,40.132988589113985,0.0,0.0,0.0,0.0,0.0,6.621746568706158,0.9744376221507388
2024-03-07,50.28994716263946,41.49536027294533,0.0,0.0,0.0,0.0,0.0,7.092685775129231,1.12200678928598
2024-03-08,30.193793978544235,61.52958818779559,0.0,0.0,0.0,0.0,0.0,7.14615295881878,1.1304648748413888
2024-03-11,42.705525606469,49.23629829290206,0.0,0.0,0.0,0.0,0.0,6.9575471698113205,1.10062893081761
2024-03-12,41.07653397844733,48.21310754343523,0.0,0.0,2.820541016054541,0.0,0.0,6.812183857488454,1.0776336045744448
2024-03-13,50.54662730950038,38.80507270143217,0.0,0.0,2.804198097736963,0.0,0.0,6.77271236470974,1.07138952662075
2024-03-15,50.715735205396804,38.60034004277957,0.0,0.0,2.8135797729391765,0.0,0.0,6.795371030549005,1.0749739483354357
2024-03-18,48.671959787513565,40.20106243216999,0.0,0.0,2.930256468841035,0.0,0.0,7.077169132347061,1.1195521791283487
2024-03-19,62.327986010796025,30.437922907321525,0.0,0.0,1.9501254466661597,0.0,0.0,4.709952102182012,0.5740135330342888
2024-03-20,62.31701103447227,30.256964037202373,0.0,0.0,2.14073324866727,0.0,0.0,4.711134094313938,0.5741575853441524
2024-03-22,54.10927283502336,39.463491138403306,0.0,0.0,1.8761111784139168,0.0,0.0,4.056722076884542,0.4944027712748716
2024-03-25,40.318173935521024,53.258796082704286,0.0,0.0,1.874883433294396,0.0,0.0,4.054067319113013,0.49407922936728405
2024-03-26,40.28104731377832,53.29192709271222,0.0,0.0,1.876049752970412,0.0,0.0,4.056589256422933,0.49438658411611214
2024-03-27,40.01644645601715,53.12107397968341,0.0,0.0,1.8698054162356543,0.3263185717688751,0.0,4.173614532923913,0.49274104337100133
2024-03-28,39.94139318451031,53.19612725119025,0.0,0.0,1.8698054162356543,0.3263185717688751,0.0,4.173614532923913,0.49274104337100133
2024-04-02,39.823573070371324,53.30048487979362,0.0,0.0,1.873473511438651,0.32695872799976455,0.0,4.1818021311169895,0.49370767927964454
2024-04-03,32.23414864581146,60.86696934705018,0.0,0.0,1.879723913499895,0.3280495486038211,0.0,4.195753726642872,0.4953548183917699
2024-04-05,35.91018558788973,57.01423554537134,0.0,0.0,2.022057630265302,0.32456783792380445,0.0,4.238855963284887,0.49009743526494476
2024-04-08,30.52387161187981,62.316451164761254,0.0,0.0,2.046091243189275,0.3284255607045385,0.0,4.289237822801272,0.4959225966638532
2024-04-12,30.574078155686337,62.4189510597632,0.0,0.0,1.8849738307734314,0.32896576453288506,0.0,4.296292884799479,0.49673830444465644
2024-04-15,30.580929105005378,62.41279155825573,0.0,0.0,1.8847878215734197,0.32893330219431405,0.0,4.295868926657741,0.4966892863134142
2024-04-17,30.532550850556955,61.84541977557738,0.0,0.0,1.9584855745403713,0.6835900783736024,0.0,4.463843211779625,0.5161105091720699
2024-04-18,25.517352258894327,67.16572662276515,0.0,0.0,1.88008780305342,0.6562261092682095,0.0,4.2851564935214075,0.4954507124974981
2024-04-19,38.3925425766768,53.17131193375202,0.0,0.0,1.8520733201242472,1.2928958604706786,0.0,4.738463328625038,0.5527129803512152
2024-04-22,24.44637030325711,66.98574645631035,0.0,0.0,1.8809950562328888,1.3130855540892767,0.0,4.8124585557372,0.5613440743731658
