date,EVERBRIGHT SECURITIES INVESTMENT,HSBC BROKING SECURITIES (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,EAST ASIA SECURITIES CO LTD,CELESTIAL SECURITIES LTD,HING WONG SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,69.81389193176152,30.186108068238475,0.0,0.0,0.0,0.0
2024-04-23,69.81389193176152,30.186108068238475,0.0,0.0,0.0,0.0
