date,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,OCBC BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CARRIER STOCK INVESTMENT CO LTD,CELETIO INVESTMENTS LTD
2024-03-01,0.0,25.54463039573148,54.51595290374085,0.0,19.93941670052767,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,25.541912337499127,54.517943056168704,0.0,19.94014460633217,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,23.2677972999058,49.66750685147274,0.0,18.166079153683313,0.0,8.89861669493815,0.0,0.0,0.0
2024-03-06,0.0,23.28549510454819,49.625623123771845,0.0,18.182860173561963,0.0,8.906021598118004,0.0,0.0,0.0
2024-03-07,0.0,23.28084559786173,49.615714179792015,0.0,18.17922953012594,0.0,8.924210692220317,0.0,0.0,0.0
2024-03-08,0.0,20.65820410670064,44.02638839372762,0.0,16.13572647887671,11.253420943828942,7.9262600768660905,0.0,0.0,0.0
2024-03-11,0.0,21.452279518693572,45.594513664337065,0.0,16.755963532656388,7.904977463120809,8.292265821192164,0.0,0.0,0.0
2024-03-12,0.0,21.45740197064874,45.58976040978083,0.0,16.754216713716897,7.904153364624657,8.294467541228883,0.0,0.0,0.0
2024-03-13,0.0,21.452367571185125,45.59535257685536,0.0,16.751671978118676,7.905122910105932,8.2954849637349,0.0,0.0,0.0
2024-03-14,0.0,21.612859391796636,45.78981897961125,0.0,16.83229050347091,7.417235721539783,8.347795403581422,0.0,0.0,0.0
2024-03-15,0.0,21.58071277742041,45.777135696401665,0.0,16.827628141568667,7.415181227694102,8.399342156915155,0.0,0.0,0.0
2024-03-18,0.0,21.58137697823663,45.772389099131836,0.0,16.828146054228082,7.418487200568203,8.399600667835248,0.0,0.0,0.0
2024-03-19,0.0,21.59323310369371,45.76816320747485,0.0,16.82197621012729,7.4178022958956396,8.398825182808514,0.0,0.0,0.0
2024-03-20,0.0,21.590487856017344,45.76886746856249,0.0,16.823773817159342,7.417916437891881,8.398954420368941,0.0,0.0,0.0
2024-03-21,0.0,21.57896337322397,45.77379790310612,0.0,16.828663998768615,7.418715530232811,8.39985919466848,0.0,0.0,0.0
2024-03-22,0.0,21.55581664942579,45.78435552907265,0.0,16.828901145852583,7.435569438558185,8.395357237090792,0.0,0.0,0.0
2024-03-25,0.0,21.54977901624585,45.78787942507434,0.0,16.830196420117677,7.436141733900382,8.396003404661759,0.0,0.0,0.0
2024-03-26,0.0,21.547746775249696,45.809739693530865,0.0,16.815130373774014,7.4396919322634645,8.387691225181957,0.0,0.0,0.0
2024-03-27,0.0,21.519810945387956,45.81256189385072,0.0,16.819246653053778,7.45247166794496,8.395908839762582,0.0,0.0,0.0
2024-03-28,0.0,21.536847872175322,45.80621243206499,0.0,16.8169155639491,7.4514387812844305,8.38858535052616,0.0,0.0,0.0
2024-04-02,0.0,21.534739940112424,45.79845436852615,0.0,16.814067332398285,7.465573758477091,8.387164600486047,0.0,0.0,0.0
2024-04-03,0.0,21.531874134029515,45.79563390602252,0.0,16.820729879654873,7.465113996872814,8.386648083420273,0.0,0.0,0.0
2024-04-05,0.0,21.526902692632014,45.785060264879725,0.0,16.824542434004723,7.463390395084595,8.400104213398945,0.0,0.0,0.0
2024-04-08,0.0,21.50608902236458,45.74079216179335,0.0,16.8067375627232,7.456174282809718,8.490206970309153,0.0,0.0,0.0
2024-04-09,0.0,21.501659451219197,45.71829492768611,0.0,16.813841363094088,7.452507024538557,8.513697233462047,0.0,0.0,0.0
2024-04-10,0.0,21.506700005958237,45.71421089326718,0.0,16.811774179724473,7.454664406951888,8.512650514098226,0.0,0.0,0.0
2024-04-11,0.0,21.511739321424255,45.70859123517659,0.0,16.80970750459348,7.4583578867243805,8.511604052081294,0.0,0.0,0.0
2024-04-12,0.0,19.827745984324384,42.06383933575397,0.0,15.50513179848328,6.874498776157649,7.845294169018422,7.8834899362623005,0.0,0.0
2024-04-15,0.0,19.835693759568,42.05966939011593,0.0,15.503594716806207,6.87381728139545,7.844516435679864,7.88270841643455,0.0,0.0
2024-04-16,0.0,19.829198607832872,42.05490475020831,0.0,15.500422389327667,6.873038595670822,7.86062021633006,7.881815440630277,0.0,0.0
2024-04-17,0.0,19.827885032976784,42.0564530251372,0.0,15.499128364621425,6.878287673282673,7.858528160330512,7.8797177436514,0.0,0.0
2024-04-18,0.0,19.80658879826071,42.12564792259084,0.0,15.481376122070579,6.870409486313828,7.845285122422135,7.870692548341912,0.0,0.0
2024-04-19,0.0,19.806308729626586,42.125052258552195,0.0,15.479743195189197,6.8703123375205495,7.848002223740499,7.870581255370969,0.0,0.0
2024-04-22,0.0,19.809416873274046,42.1270619600975,0.0,15.474305934537247,6.870409486313828,7.848113197435468,7.870692548341912,0.0,0.0
2024-04-23,0.0,19.789590595501746,42.131605489628676,0.0,15.486394031284235,6.871381125377216,7.8492231070226195,7.871805651185508,0.0,0.0
2024-04-24,0.0,19.695928399389974,42.17775675059102,0.0,15.50991624742148,6.878677187722563,7.857557446234263,7.8801639686407,0.0,0.0
2024-04-25,0.0,20.92637749420816,41.53295777693692,0.0,15.272806006188503,6.773518347318391,7.734645631025056,7.75969474432297,0.0,0.0
2024-04-26,0.0,20.92178223013664,41.468357851332314,0.0,15.300718551340307,6.779709121737127,7.762645393712145,7.766786851741468,0.0,0.0
2024-04-29,0.0,20.89985122752568,41.485949038444986,0.0,15.300733767305832,6.778479518470385,7.7696082213233515,7.765378226929768,0.0,0.0
2024-04-30,0.0,2.168102873207387,4.305177308496988,0.0,1.5881315624350565,0.7031839968610615,0.8057119742708002,0.8055626167891023,0.0,0.0
2024-05-02,0.0,20.89631108712769,41.486655018398835,0.0,15.3104196994015,6.775974400252411,7.768131413614449,7.762508381205115,0.0,0.0
2024-05-03,0.0,20.8953120079257,41.47634623022964,0.0,15.321587936498357,6.767774408690963,7.777878108898674,7.761101307756668,0.0,0.0
2024-05-06,0.0,20.89832947124987,41.47263878926437,0.0,15.320733438831294,6.767396964298945,7.780232871655901,7.7606684646996165,0.0,0.0
2024-05-07,0.0,20.905757503525507,41.47777218489727,0.0,15.319024729401537,6.716454053405376,7.821188605360859,7.759802923409456,0.0,0.0
2024-05-08,0.0,20.903615101202703,41.49297432589414,0.0,15.320519829306834,6.70316705018337,7.819163431933948,7.760560261479004,0.0,0.0
2024-05-09,0.0,19.97038196400867,39.60227094761456,0.0,14.618277226488093,6.397080099201008,7.475422554718401,7.406189527381601,0.0,4.530377680587669
2024-05-10,0.0,19.986085835736237,39.593841668639726,0.0,14.615165749950892,6.39837909577807,7.472501120846234,7.404613131983738,0.0,4.529413397065103
2024-05-13,56.61796124275599,8.66862083194035,17.168347986342614,0.0,6.354610052299679,2.775564896467179,3.240162968895129,3.2107259512235795,0.0,1.9640060700754807
2024-05-14,56.62122735043372,8.657583541427323,17.173953315118577,0.0,6.353822893739118,2.7728406710326596,3.2455416933398302,3.210911167654023,0.0,1.9641193672547463
2024-05-16,56.62666771195156,8.659378675586918,17.17753312298446,0.0,6.358908839101295,2.758623307635221,3.2434744658519836,3.21114901688711,0.0,1.9642648600014472
2024-05-17,56.62862789094304,8.655062983412561,17.18101238985294,0.0,6.363167471266397,2.7587187996652394,3.2378174367345114,3.2112601734692605,0.0,1.964332854656048
2024-05-20,56.62503433311673,8.655667535332283,17.180499005455182,0.0,6.364494356890642,2.756813054424922,3.2422271211151092,3.211056392280161,0.0,1.9642082013849687
2024-05-21,56.62274776104566,8.657048623029297,17.182112723011166,0.0,6.3642373526307,2.7567017317244655,3.2420961969387174,3.2109267268070765,0.0,1.9641288848129264
2024-05-22,56.62536100134537,8.657448161187242,17.1834826051913,0.0,6.369146250953171,2.7568289584018073,3.2324385733002647,3.2110749167740718,0.0,1.9642195328467746
