date,RAFFAELLO SECURITIES (HK) LTD,CHONG HING SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ASTRUM CAPITAL MANAGEMENT LTD,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,59.087136929460584,0.0,40.912863070539416,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,41.650362527333414,32.7770744619634,0.0,22.1199217401312,0.0,0.0,0.0,3.4526412705719878
2024-03-06,0.0,0.0,41.72753623188406,32.57971014492754,0.0,22.214492753623187,0.0,0.0,0.0,3.4782608695652173
2024-03-07,0.0,0.0,41.7226988175284,32.5875260839323,0.0,22.211917458845353,0.0,0.0,0.0,3.4778576396939487
2024-03-08,0.0,0.0,41.507009345794394,32.60514018691589,0.0,22.38317757009346,0.0,0.0,0.0,3.5046728971962615
2024-03-11,0.0,0.0,38.20840950639854,29.669856973868157,0.0,20.582858371867943,0.0,0.0,8.312721798042801,3.2261533498225616
2024-03-13,0.0,0.0,21.47365532381998,37.87047200878156,0.0,25.933040614709114,0.0,0.0,10.606476399560922,4.116355653128431
2024-03-14,0.0,0.0,21.454046639231823,37.901234567901234,0.0,25.925925925925924,0.0,0.0,10.603566529492456,4.11522633744856
2024-03-15,0.0,0.0,21.512512097331673,38.26904465643578,0.0,26.213189547905436,0.0,0.0,9.857597124291443,4.14765657403567
2024-03-18,0.0,0.0,22.177879133409352,39.56670467502851,0.0,26.795895096921324,5.330672748004561,0.0,1.8529076396807298,4.275940706955531
2024-03-19,0.0,0.0,21.946647440519108,39.36553713049747,0.0,27.09444844989185,5.392934390771449,0.0,1.8745493871665464,4.325883201153569
2024-03-20,0.0,0.0,22.008348794063078,15.793135435992578,0.0,43.55287569573284,8.673469387755102,0.0,3.0148423005565865,6.957328385899815
2024-03-21,0.0,0.0,23.311225743060675,10.808155244411692,0.0,46.131171702284455,9.18693195774994,0.0,3.193318594939818,7.369196757553427
2024-03-22,0.0,0.0,23.601094255160408,9.699079830887838,0.0,46.704799801044516,9.301168863466799,0.0,3.2330266102959464,7.460830639144492
2024-03-25,0.0,72.04214866567403,10.399725117397777,3.4360325277745964,0.0,5.1998625586988885,3.9972511739777805,0.0,1.488947428702325,3.4360325277745964
2024-03-26,0.0,76.8572825024438,5.718475073313782,3.714565004887586,0.0,5.547409579667644,4.2644183773216024,0.0,1.5884652981427174,2.309384164222874
2024-03-28,0.0,76.8572825024438,5.718475073313782,3.763440860215054,0.0,5.547409579667644,4.2644183773216024,0.0,1.5395894428152492,2.309384164222874
2024-10-07,0.0,76.84977030593295,5.717916137229987,3.772847229009872,0.0,5.546867363894047,4.2640015638744995,0.0,1.5394389600234581,2.309158440035187
2024-10-24,0.0,76.75599160443208,5.7109386440181575,3.890271879728609,0.0,5.540098599111632,4.258798262312686,0.0,1.5375604041587347,2.306340606238102
2024-10-31,0.0,76.85633279562009,5.927066529794202,3.7004448355086277,0.0,5.6948721708950485,4.1306154372586406,0.0,1.478711443515667,2.2119567874077335
2024-11-01,52.291887731899855,36.6667055352791,2.9326368077985983,1.6779579985774087,0.0,2.699425133222169,1.9706386501708275,0.0,0.7054653155936986,1.0552828274583426
2024-11-04,54.02056537974187,35.26054340147344,2.8594175758866998,1.6192152861099585,0.0,2.6519696341066843,1.8950649816660874,0.0,0.6784108366319425,1.014812904383319
2024-11-05,51.19765752278631,34.498701069966096,2.834529523138567,5.249658755669059,0.0,2.69693100259786,1.8603319977103607,0.0,0.6659768394170226,0.9962132887147198
2024-11-06,51.19202236555353,34.54993726198076,2.8397208708477337,5.199550927862284,0.0,2.6966341603011426,1.860127237105686,0.0,0.6659035375437515,0.9961036388051159
2024-11-07,51.180106462540145,34.5233381725397,2.837534644318332,5.206546126435264,0.0,2.733051779508161,1.8586951739914654,0.0,0.665390875896353,0.9953367647705775
2024-11-08,51.20491866386564,34.508738547498325,2.898184097933325,5.1353402479129775,0.0,2.733202080973174,1.8587973910843718,0.0,0.6654274684059438,0.9953915023262464
2024-11-11,44.06185045475041,34.504943417391594,10.046299860330588,5.1347754841689675,0.0,2.7329014945726886,1.8585929681399775,0.0,0.665354287411057,0.9952820332347215
2024-11-12,44.0752716554485,34.50684087809599,10.057850512515948,5.135057850512516,0.0,2.705556288768642,1.8586951739914654,0.0,0.665390875896353,0.9953367647705775
2024-11-13,44.1791143278263,34.51063642563302,10.058956816331918,5.042127725102844,0.0,2.6893547748421587,1.8588996194205514,0.0,0.6654640649404933,0.9954462459027212
2024-11-14,44.17668474136319,34.508738547498325,10.047404832873216,5.085845642824932,0.0,2.661709873623775,1.8587973910843718,0.0,0.6654274684059438,0.9953915023262464
2024-11-15,44.16811492179422,34.51063642563302,10.047957410299842,5.091625052247179,0.0,2.661856259761973,1.8588996194205514,0.0,0.6654640649404933,0.9954462459027212
