date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,DBS BANK LTD
2024-03-01,64.90447284969794,0.0,35.09552715030206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,44.38121427921825,20.83445187686184,24.269049472966326,0.0,0.0,0.0,0.0,0.0,0.0,10.515284370953584
2024-03-05,35.49081393011916,16.70284998589241,19.549291594459657,0.0,7.075457304774189,7.133033604143686,0.0,5.945982628999572,0.0,8.102570951611327
2024-03-06,29.260460771862203,13.573968531553007,16.85028275417744,7.898677531043058,5.818502129139377,5.874780744196858,4.789783030242018,4.8539230739690495,4.785899267328934,6.293722166488058
2024-03-07,29.258063938118557,13.572856637038932,16.901718507206763,7.898030520834156,5.7906394280353375,5.857060955979205,4.789390681205509,4.853525470981747,4.785507236425967,6.293206624173829
2024-03-08,29.223991747143646,13.586178727512301,17.031267504775606,7.877670427606237,5.744067334128964,5.845550656493146,4.782374403566164,4.84641523828186,4.778496647887508,6.283987312604563
2024-03-11,29.37679936162833,13.569585923873959,16.99122155187976,7.856894776455317,5.728918599459504,5.839874941228512,4.769761925906094,4.833633866777641,4.765894396968956,6.267414655821922
2024-03-12,29.589118969296095,13.583591891182433,16.80972268907506,7.848103520294544,5.722508383672602,5.833340573896894,4.764424932079702,4.828225405200991,4.7605617306076216,6.2604019046940556
2024-03-13,29.635024983021886,13.586062016898035,16.781582451886308,7.842228189035787,5.7182243381961175,5.828973556039884,4.7608581372915015,4.81974960908595,4.771581542931963,6.2557151756125755
2024-03-14,29.666358274742787,13.555458878202048,16.778139741711616,7.839710977067801,5.7163888926578394,5.828074497619127,4.759329988812244,4.818202557520217,4.784628986330659,6.253707205335663
2024-03-15,29.718639444042555,13.514978393439876,16.79560503684798,7.836069503025681,5.713733682302742,5.814681084806014,4.757119323564144,4.815964546502436,4.782406569929612,6.2508024155389625
2024-03-18,29.77937150952372,13.45766278718951,16.810428502542816,7.832112940812108,5.710848722849908,5.811745155325649,4.7547173746593,4.813532885662875,4.781933840310788,6.247646281123325
2024-03-19,29.75885559170721,13.428014574490046,16.873562285094614,7.826717159192878,5.706914344885516,5.807741266729847,4.751441704759147,4.810216695962305,4.793194290238965,6.24334208693947
2024-03-20,29.72183547920165,13.249899473789304,16.985894474568912,7.817235588493576,5.700000780649669,5.8491630163541455,4.795112243393949,4.799543678044338,4.845536590937398,6.2357786745670545
2024-03-21,29.724115323275996,13.246491137645656,16.865521833849645,7.815796400677684,5.698951385172045,5.858744837814328,4.808764003329248,4.803504914525224,4.86402392133,6.314086242380178
2024-03-22,29.580800668637124,13.207695025939566,16.975135992297798,7.778112582346725,5.671473923162265,5.8343541280672895,4.819329035347181,4.792880727988949,4.890715598817281,6.449502317395821
2024-03-25,29.672658557088365,13.273375906337193,16.474026750865505,7.79743656474021,5.68556416177427,5.87978325373417,4.84096914670019,4.804788185205747,4.9115663687283355,6.659831104826007
2024-03-26,29.647535203070703,13.26734600222684,16.501165068190733,7.78652214102097,5.677605821128686,5.884102494800948,4.834193023798751,4.805785438081872,4.9066221106238155,6.689122697056685
2024-03-27,29.55453411838954,13.274291331102722,16.520941907379346,7.78719869853714,5.678099138533114,5.884613754346182,4.834613058515873,4.806203004512731,4.898359610577735,6.761145378105622
2024-03-28,29.555157061866495,13.325360240558668,16.639561091783346,7.78939841668832,5.679703080877823,5.891104522909809,4.8359787339674,4.855602925378467,4.909400273532523,6.518733652437147
2024-04-02,29.544128657784892,13.330553003502388,16.62092743289147,7.792433869293118,5.681916405782912,5.8934002288953815,4.837863267722063,4.8652237014396045,4.911313418945185,6.522240013742987
2024-04-03,28.883143176468483,13.686754982562066,16.32428076183137,7.862197056934522,5.7522792668299765,5.946161970978875,4.880200399022001,5.042317601016993,4.979650932618568,6.643013851737139
2024-04-05,28.641674786561843,13.657643628047433,16.50139466513775,7.85366891817432,5.8368936539806935,5.93406469322377,4.869473558834617,5.0458231346985505,4.979403886278932,6.67995907506209
2024-04-08,28.61829455809934,13.68536635690788,16.666733355544984,7.8472579601928425,5.856423665051612,5.938938579472618,4.865498602581322,5.046563158773603,4.980198128454495,6.494725634921306
2024-04-09,28.765207107830783,13.70719978155462,16.662845539412913,7.848630855636957,5.857448259554475,5.939977610145497,4.866349832513958,5.047446066357916,4.981069425327368,6.323825521665515
2024-04-10,28.220109687786422,13.893922754224825,16.77133545505921,7.8863456650088635,5.874682280740863,5.957454452525271,4.880667803821194,5.080818383266486,4.9957249292606605,6.43893858830621
2024-04-11,28.277288006282536,13.905407148921736,16.75413074598516,7.887883513093991,5.875827851741669,5.958616164211674,4.8825945474242936,5.081809149732158,5.0132742175027705,6.363168655104008
2024-04-12,28.294660435342372,13.946929988802673,16.702586718383795,7.881044689068991,5.870733487377319,5.953450022075837,4.878361319988844,5.072532395318481,5.008927690312599,6.390773253329092
2024-04-15,28.36902859414647,13.96243588873778,16.664592118462675,7.889806666825453,5.877260443924318,5.958118452127739,4.883784978280366,5.078171928879096,5.014496509515859,6.302304419100241
2024-04-16,28.383290549525448,13.9689750083667,16.66946965303413,7.893501751984987,5.880012980046195,5.960908857013549,4.886072233489227,5.083477326304746,5.016844981717688,6.257446658517334
2024-04-17,27.761069490582557,14.193954015162399,16.876933787812792,7.916674679691813,5.897274915240868,5.978408277974063,4.901394825625495,5.098400874342487,5.0315729173957235,6.344316216171804
2024-04-18,27.74354488950963,14.358090635136818,16.687315506010478,7.911677157329325,5.8935521699647175,5.9741942394807666,4.89830074493638,5.095182430562322,5.0283966597887675,6.409745567280795
2024-04-19,27.715356548936132,14.373787931044937,16.739724403311218,7.903638636977779,5.887564129993033,5.919276552885179,4.893323912661356,5.0900055601152046,5.023287645848795,6.45403467822636
2024-04-22,27.76686273998535,14.45064688586046,16.768043478642095,7.914699884803378,5.895803854621416,5.927509297594493,4.9001721848275,5.097129090873644,5.030317803995201,6.24881477879646
2024-04-23,27.78697934334976,14.461116125201043,16.709701451547726,7.920433945572931,5.903991381831496,5.931803673757733,4.903722273333449,5.100821871191625,5.033962180711703,6.247467753502529
