date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,43.62786374381001,21.95007363244436,7.562249526978062,5.948867224137572,5.785804157608104,7.880535951915983,4.906930540052561,0.0,1.4703283578596191,0.867346865193725
2024-03-04,43.627792563108486,21.94893566822379,7.563106568839935,5.990340537461297,5.758611803029074,7.866193330849923,4.9070401685949845,0.0,1.4705676341022897,0.8674117257902219
2024-03-05,43.6548625800502,21.926843269589305,7.560681057232781,5.985400807273407,5.7610727607372425,7.8702335335226765,4.905788976627463,0.0,1.4687988826521832,0.866318132314744
2024-03-06,43.63731498357486,21.916642611086893,7.559644612024664,6.024727699443278,5.756607397774043,7.867708904510015,4.905156263693546,0.0,1.4662005070332995,0.8659970208594051
2024-03-07,43.64150812840904,21.888372080386013,7.557750462344713,6.122067378130254,5.7534764109853676,7.807090848573488,4.903882615115109,0.0,1.466514177635523,0.8593378984204906
2024-03-08,43.652515512044694,21.847664022006406,7.558696953715298,6.141797750617051,5.752049744992641,7.815700793246809,4.90380916253505,0.0,1.4665603182491904,0.8612057425928653
2024-03-11,43.61533845637322,21.837062333951824,7.555079894124697,6.239720851663765,5.715689978842615,7.810270092564779,4.901462545112704,0.0,1.4663396071588866,0.8590362402075067
2024-03-12,42.246301224624546,21.113976487092696,7.316770326001495,6.080126688761101,5.532937130530264,7.561816620789571,4.747916395368771,3.149085692668495,1.416555600378975,0.8345138337840856
2024-03-13,42.29030982365945,21.07507976695276,7.316042431041686,6.071240270821962,5.575289909239053,7.552942572382149,4.747444057949417,3.148772411876346,1.4137517998353761,0.8091269562417989
2024-03-14,42.25228243988497,21.0689260539618,7.312765832535534,6.115609867981459,5.591858276829069,7.549808744356634,4.746570388073254,3.14819294478425,1.4114104397200498,0.8025750118729821
2024-03-15,42.227162256764814,21.032624038854962,7.30885570143978,6.194430581932911,5.586783648479898,7.547281963404752,4.744032399999027,3.1461503779971944,1.4105227113042245,0.8021563198224372
2024-03-18,42.20324621851894,21.04184613289222,7.302244131877191,6.251660546391734,5.568079753886628,7.538738050043743,4.743168787055046,3.145178574747757,1.4102659369889265,0.7955718675978111
2024-03-19,42.22530986513043,21.05095798738926,7.303389436676216,6.25457502289439,5.530085160866147,7.539877366548457,4.743434444352632,3.145098935258033,1.4117200580688885,0.7955517228155459
2024-03-20,42.23710221445807,21.0300438713043,7.304450653949966,6.249974169344466,5.53978695772153,7.542223019068284,4.744910124714011,3.1460773741482093,1.4124918984885004,0.7929397168026591
2024-03-21,42.29607224602019,20.9864632762689,7.2996066160975985,6.241264367732256,5.542642571368552,7.536334256623428,4.7418412202285065,3.1440425598500457,1.4139054079563236,0.7978274778542034
2024-03-22,42.33632447552869,20.970856490848252,7.299851938605256,6.213470290576081,5.552219304259247,7.535283477549656,4.7411800728648545,3.1440695418052402,1.4149048857171667,0.7918395222455554
2024-03-25,42.34560707388756,20.92978563802761,7.305433399833845,6.199012017640688,5.567619346000847,7.556250404526368,4.742771890159705,3.1450986811718713,1.4155010234122674,0.7929205253392371
2024-03-26,42.430331694396834,20.911320495035714,7.306532040304403,6.203426932048091,5.496978637640608,7.56065561038628,4.742990377691622,3.1451994677357202,1.416716829338664,0.7858479154220653
2024-03-27,42.47038861654522,20.938791633502948,7.312773916269674,6.1474969299367315,5.491852685642505,7.544076287476498,4.742097272800539,3.1474051006741486,1.4191744125441923,0.7859431446075448
2024-03-28,42.48432986686076,20.969661670588547,7.317490596199811,6.106325955652791,5.490705346010469,7.53197349052758,4.739628313543578,3.148638573323624,1.4250033523323422,0.7862428349605018
2024-04-02,42.466710510696544,20.924809945641247,7.315905346762448,6.088142878380379,5.485316215472875,7.6170170580262,4.73754982161633,3.1468984368245674,1.4311661407947767,0.7864836457846328
