date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-07,0.0,0.0,8.109969257795345,0.0,0.0,1.3088992693735777,0.0,0.0,9.418868527168922
2024-03-08,0.0,0.0,8.109969257795345,0.0,0.0,1.3098574679602348,0.0,0.0,9.41982672575558
2024-03-13,0.0,0.0,8.110927456382,0.0,0.0,1.3092186689024632,0.0,0.0,9.420146125284464
2024-04-12,0.0,0.0,8.110927456382,0.0,0.0,1.310815666546892,0.0,0.0,9.421743122928895
2024-04-17,0.0,0.0,8.110927456382,2.4046951730746198,0.0,1.310815666546892,0.0,0.0,11.826438296003513
2024-04-25,60.09644268774703,0.0,8.110927456382,2.4091667664790197,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-04-26,60.09356809198706,0.0,8.110927456382,2.4120413622389907,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-05-06,60.0929292929293,0.0,8.110927456382,2.4120413622389907,0.0,1.3088992693735777,0.0,0.0,71.92479738092386
2024-05-07,60.0929292929293,0.0,8.111566255439772,2.4120413622389907,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-05-09,60.08973529764043,0.0,8.111566255439772,2.4152353575278473,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-05-10,60.086541302351584,0.0,8.111566255439772,2.418429352816705,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-06-07,60.086541302351584,0.0,8.112524454026431,2.4174711542300473,0.0,1.3088992693735777,0.0,0.0,71.92543617998165
2024-06-17,60.082708508004956,0.0,8.114121451670858,2.4174711542300473,0.0,1.3111350660757775,0.0,0.0,71.92543617998165
2024-06-18,60.082708508004956,0.0,8.114440851199745,2.4174711542300473,0.0,1.3111350660757775,0.0,0.0,71.92575557951052
2024-06-27,60.082708508004956,0.0,8.138395815866172,2.4174711542300473,1.3739369984429273,1.3111350660757775,0.0,0.0,73.32364754261988
2024-07-02,60.07152952449395,0.0,8.149574799377172,2.4174711542300473,1.3739369984429273,1.3111350660757775,0.0,0.0,73.32364754261988
2024-07-03,60.06514153391623,0.0,8.155962789954884,2.4174711542300473,1.3739369984429273,1.3111350660757775,0.0,0.0,73.32364754261988
2024-07-08,60.06194753862738,0.0,8.159156785243741,2.4174711542300473,1.3739369984429273,1.3111350660757775,0.0,0.0,73.32364754261988
2024-07-10,60.039589571605376,6.270132151555076,8.159156785243741,2.4174711542300473,1.3739369984429273,1.3111350660757775,1.186154030422805,0.0,80.75757575757576
2024-07-12,60.039589571605376,6.765201421327903,7.664087515470914,2.4174711542300473,1.3739369984429273,1.3111350660757775,1.186154030422805,0.0,80.75757575757576
2024-07-18,60.039589571605376,7.324150596877869,7.1051383399209485,2.4174711542300473,1.3739369984429273,1.3111350660757775,1.186154030422805,0.0,80.75757575757576
2024-07-19,59.72019004271969,7.643550125763565,7.1051383399209485,2.4174711542300473,1.3739369984429273,1.3111350660757775,1.186154030422805,0.0,80.75757575757576
2024-07-24,59.72019004271969,7.823691460055096,6.929468599033816,2.4174711542300473,1.3739369984429273,1.3111350660757775,1.186154030422805,0.0,80.76204735098015
