date,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG BANK LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,62.066864201882844,0.0,18.773383212710872,19.159752585406288,0.0,0.0
2024-03-26,62.081793560991116,0.0,18.77789890048186,19.140307538527026,0.0,0.0
2024-04-12,62.05691528427712,0.0,18.81044734650028,19.132637369222607,0.0,0.0
2024-04-29,62.081793560991116,0.0,18.77789890048186,19.140307538527026,0.0,0.0
2024-05-21,62.211482819341235,0.0,18.8171260497327,18.97139113092607,0.0,0.0
2024-05-23,62.241488095011775,0.0,18.826201754552166,18.932310150436063,0.0,0.0
2024-06-12,62.868142551094195,0.0,19.015746117671952,18.116111331233846,0.0,0.0
2024-06-19,62.94992152467853,0.0,18.910401679451798,18.13967679586967,0.0,0.0
2024-08-12,62.95293345464164,0.0,18.908864387014734,18.138202158343628,0.0,0.0
2024-09-30,3.9787559819712306,0.0,1.1950794532287283,1.1412340849147253,0.0,0.0
2024-10-03,63.00620218903729,0.0,18.92486445594688,18.068933355015837,0.0,0.0
2024-10-07,55.40898238110296,0.0,16.474062735197137,15.89020088704213,12.226753996657777,0.0
2024-10-08,38.64512066300162,32.97339082388485,10.605528221608385,9.378077411613742,8.397882879891402,0.0
2024-10-09,38.72988708958738,33.08603818661042,10.641760005923706,9.115742057067962,8.426572660810528,0.0
2024-10-10,36.37510974851329,31.095749448575788,9.990501898359602,8.475780067516343,7.919672663523185,6.1431861735117925
2024-10-14,36.32603534131181,31.053797534719717,9.97240323140794,8.617738374361606,7.895127243249577,6.134898274949349
2024-10-18,36.414173495290314,31.01081255014394,9.958599328725626,8.605809612647812,7.884198727263876,6.1264062859284305
2024-10-21,36.44780665901604,31.039455016405093,9.967797373595303,8.521395345514295,7.891480796886423,6.132064808582846
2024-10-22,36.46296186073592,31.052361395284073,9.971942039454435,8.483358030414303,7.89476211870818,6.134614555403084
2024-10-24,36.4622850931681,31.051788985122137,9.973606210361494,8.483201650669711,7.894616588968742,6.134501471709823
2024-10-25,36.454874583257116,31.04547809184049,9.99190296498681,8.48147754452144,7.893012105477746,6.1332547099164
2024-10-30,36.447467084923616,31.039169763260105,10.010192283943733,8.479754139037405,7.8914082740372065,6.13200845479793
2024-11-01,36.41810433342888,31.05351058315441,10.014817226097348,8.483671983096489,7.895054288593443,6.134841585629434
2024-11-04,36.41776781627769,31.05322363689218,10.015648723450406,8.483593590736984,7.894981335285567,6.13478489735718
2024-11-05,36.42113326767467,31.056093338170875,10.016574293055825,8.47513634483024,7.8957109290404075,6.135351827227983
2024-11-18,36.97098113050128,30.78751153689987,9.92994815058197,8.401840989850285,7.827426607488914,6.082291584677678
2024-12-04,36.82629258933791,30.858186921194648,9.952743201774348,8.421128139447601,7.845395139400317,6.096254008845178
2024-12-13,36.81040631523808,30.844875192503395,9.991588149306432,8.417495399346803,7.842010761314914,6.093624182290367
2024-12-17,36.82730707239937,30.859036996120402,9.95026259864193,8.421360122936981,7.84561126271656,6.096421947184758
2025-01-24,36.8023533747987,30.871226552109913,9.954193028586058,8.42468662469202,7.848710339261652,6.098830080551662
2025-01-27,36.77331264711003,30.885412569020193,9.9587672022229,8.428557956034165,7.852316996658589,6.101632628954122
2025-02-03,36.71747956724649,30.912686300711368,9.967561410299004,8.436000894596916,7.859251078773966,6.107020748372256
2025-02-04,36.686030104635435,30.928048953231734,9.972514981170596,8.440193327087076,7.863156884378145,6.110055749497014
2025-02-05,36.75678974539463,30.872780599777215,9.967744788129012,8.436156095600882,7.859395669045245,6.107133102053015
2025-02-10,36.78877021544169,30.85716902611949,9.9627043551347,8.43189014774274,7.855421374148292,6.104044881413087
2025-02-11,36.65439977616147,30.816086821850114,10.080740635751518,8.507891677827995,7.8449629284872,6.095918159921709
2025-02-14,36.76851372085159,30.72805911678657,10.05194449208032,8.550424411288652,7.822553396514643,6.0785048624782245
2025-02-17,36.808171627237236,30.684794661632004,10.037791567548352,8.587756279623068,7.811539407335196,6.069946456624149
2025-02-18,36.8462798120241,30.666290024953113,10.031738221320548,8.582577385268596,7.806828614897783,6.066285941535854
2025-02-19,36.863121108179406,30.680306638704337,10.036323418936146,8.540793305685437,7.810396875069717,6.06905865342496
2025-03-11,36.57321687790521,30.82118073379398,10.08240698636327,8.580009880097645,7.846259704115839,6.09692581772405
2025-03-12,36.57623991172559,30.823728321337434,10.083240368272559,8.580719078310459,7.838642548793724,6.097429771560236
2025-03-13,36.60531542973073,30.858303880894194,10.094550929871202,8.49012508301582,7.847435302527618,6.104269373960436
2025-03-18,36.5760577174277,30.83363961106049,10.086482608004085,8.563266635322533,7.841163043930674,6.0993903842545185
2025-03-19,36.57139593393731,30.83590594372469,10.08722398415331,8.56389605212615,7.841739384711587,6.099838701346951
2025-03-20,36.62787387961656,30.808449110226572,10.078242142338881,8.556270608319585,7.834756961914778,6.0944072975836265
2025-04-09,36.67442430453177,30.848376731016675,10.091303501872119,8.438679064640489,7.844910774066721,6.102305623872228
2025-04-23,36.67408721614052,30.848093192014165,10.092129886428564,8.438601501575652,7.844838668548981,6.102249535292116
2025-04-29,36.67292309030172,30.848660275231506,10.092315410942195,8.438756629131174,7.844982880909984,6.102361713483421
2025-05-02,36.66419078205808,30.852914064030422,10.093707062244624,8.439920267620025,7.846064642646436,6.103203181400412
