date,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LUK FOOK SECURITIES (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,KGI ASIA LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,64.98678534981602,0.0,0.0,0.0,0.0,0.0,35.013214650184
2024-03-05,0.0,0.0,0.0,42.59709425308809,0.0,34.46031123207236,0.0,0.0,0.0,22.942594514839563
2024-03-06,0.0,0.0,0.0,42.60209533733813,0.0,34.4573089638507,0.0,0.0,0.0,22.940595698811165
2024-03-08,5.230341557014074,0.0,0.0,30.319748395078218,0.0,24.523135068424175,0.0,23.615541902742198,0.0,16.311233076741335
2024-03-12,5.227370440769852,0.0,0.0,30.359330538077494,0.0,24.50920460438721,0.0,23.60212700059891,0.0,16.301967416166534
2024-03-13,5.227154491255751,0.0,0.0,30.362207485273483,0.0,24.50819209706918,0.0,23.601151965843812,0.0,16.301293960557768
2024-03-19,5.226344839461369,0.0,0.0,30.35750457935919,0.0,24.504395939572465,0.0,23.597496302887873,0.0,16.314258338719107
2024-03-22,5.211259093108865,0.0,0.0,30.35985585018995,0.0,24.50629387130949,0.0,23.599323992795348,0.0,16.323267192596347
2024-03-25,5.2112586036659065,0.0,0.0,30.35985600695348,0.0,24.506293997848076,0.0,23.59932411465078,0.0,16.32326727688176
2024-03-27,5.2111778797014345,0.0,0.0,30.36093475374712,0.0,24.505914387977125,0.0,23.598958554016335,0.0,16.323014424557986
2024-03-28,5.305707335113459,0.0,0.0,30.37235223967366,0.0,24.46561620685969,0.0,23.56015179533203,0.0,16.29617242302116
2024-04-02,5.305365474420003,0.0,0.0,30.376838532347506,0.0,24.464039822789847,0.0,23.558633752718297,0.0,16.295122417724347
2024-04-03,4.549956707455742,0.0,0.0,26.231997167809073,0.0,21.001112020618713,0.0,20.22386776989576,14.004547113224014,13.988519220996693
2024-04-05,4.5497654481408345,0.0,0.0,26.23531927538698,0.0,21.00000799115348,0.0,20.223017651236805,14.003958426285065,13.98793120779683
2024-04-08,4.550137915324311,0.0,0.0,26.23990086193549,0.0,21.0017271597389,0.0,20.224673211399587,13.992050691390045,13.99151016021167
2024-04-10,4.549755382306512,0.0,0.0,26.242119627267584,0.0,20.99996153104392,0.0,20.222972910129272,13.99087437069916,13.994316178553548
2024-04-11,4.549654726412881,0.0,0.0,26.24375139968992,0.0,20.99949694125469,0.0,20.22252550994199,13.990564845495248,13.99400657720527
2024-04-18,4.549151513742748,0.0,0.0,26.251909178912534,0.0,20.9971743006231,0.0,20.22028880591264,13.98901742488513,13.992458775923847
2024-04-19,4.549151543932169,0.0,0.0,26.251908689499913,0.0,20.997174439966127,0.0,20.22028894010004,13.989017517720098,13.992458868781652
2024-04-22,4.586889137599552,0.0,0.0,26.245537124101737,0.0,20.987656982483696,0.0,20.211123624032393,13.982676670296723,13.986116461485897
2024-04-23,4.588106503029194,0.0,0.0,26.225962608412896,0.0,20.99322712976505,0.0,20.21648767850505,13.986387688087135,13.989828392200678
2024-04-24,3.9214697225969126,0.0,0.0,20.777448504724045,0.0,17.94298029363986,16.167639026736758,17.279098529244983,11.954211570965995,11.95715235209145
2024-04-26,3.9569233552351544,0.0,0.0,20.777185694296918,0.0,17.934594913050546,16.160083325050014,17.2710234037621,11.948624950904707,11.95156435770056
