date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UOB KAY HIAN (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,46.86014789380397,0.0,12.43368352009491,15.22681770707606,8.54913663810106,2.5193725150650264,8.15862170603637,1.5993808801451144,2.119067770265346,2.5337713694121446
2024-03-04,46.9403817704647,0.0,12.22916746479969,15.272745553713712,8.565985152585933,2.533038530708558,8.173155516084458,1.6101705358694773,2.1360391980723743,2.5393162777011025
2024-03-05,46.889610668382886,0.0,12.22784655059012,15.319840604575393,8.559512438358201,2.5559793637614647,8.16359528631277,1.6247905653302,2.1433155111138453,2.5155090115751193
2024-03-06,46.9263213854954,0.0,12.233475801433215,15.273586643648798,8.555250825109127,2.5473353271062473,8.164603313358173,1.6301404128329102,2.153672637453534,2.5156136535625966
2024-03-07,46.8985198711073,0.0,12.221238469102842,15.29331603002094,8.537873457966677,2.63342553685029,8.156096747465417,1.6331958169692886,2.1688739583968952,2.4574601121203545
2024-03-08,46.813568455926,0.0,12.189930102258014,15.22812357125314,8.523644224527589,2.679167950502059,8.301744713552651,1.64880394599008,2.1625099133156014,2.4525071226748634
2024-03-11,46.7947883220102,0.0,12.1811290687879,15.206311220775953,8.535382688382276,2.705607756546866,8.30187262434578,1.6633125883921782,2.159667128594995,2.4519286021638513
2024-03-12,46.743894948795244,0.0,12.190815409490202,15.219501483322539,8.519095554432761,2.7161589109872377,8.300215154740034,1.6554835908805374,2.2033958729504746,2.4514390744009673
2024-03-13,37.435100153706244,19.875772103946723,9.752825507348955,12.227802478332755,6.827352184539056,2.1887427552025,6.648710066895093,1.3273234265504303,1.752537693805058,1.9638336296731866
2024-03-14,37.429190758323095,19.879385956178123,9.758819211942548,12.243873645340013,6.82612488406088,2.1830513475948377,6.648355461848467,1.3195004634404908,1.7480835948860014,1.9636146763855455
