date,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUBON SECURITIES (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,39.75535168195719,60.24464831804281,0.0,0.0,0.0,0.0
2024-03-11,54.85232067510548,45.14767932489451,0.0,0.0,0.0,0.0
2024-06-03,51.38339920948617,44.66403162055336,0.0,0.0,0.0,3.9525691699604746
2024-07-16,51.38339920948617,44.66403162055336,0.0,0.0,0.0,3.9525691699604746
2024-07-18,52.87356321839081,43.29501915708812,0.0,0.0,0.0,3.8314176245210727
2024-07-24,79.88505747126436,17.24137931034483,0.0,0.0,0.0,2.8735632183908044
2024-08-07,82.75862068965517,14.367816091954023,0.0,0.0,0.0,2.8735632183908044
2024-09-27,95.36423841059603,1.3245033112582782,0.0,0.0,0.0,3.3112582781456954
2024-09-30,96.33333333333334,0.33333333333333337,0.0,0.0,0.0,3.3333333333333335
2024-10-03,96.0,0.6666666666666667,0.0,0.0,0.0,3.3333333333333335
2024-10-04,72.66666666666667,24.0,0.0,0.0,0.0,3.3333333333333335
2024-10-09,76.76056338028168,19.718309859154928,0.0,0.0,0.0,3.5211267605633805
2024-10-10,65.01128668171557,32.731376975169304,0.0,0.0,0.0,2.2573363431151243
2024-11-13,49.20993227990971,48.53273137697517,0.0,0.0,0.0,2.2573363431151243
2024-11-14,49.20993227990971,48.53273137697517,0.0,0.0,0.0,2.2573363431151243
2024-12-30,52.74725274725275,39.37728937728938,6.043956043956044,0.0,0.0,1.8315018315018317
2025-02-14,77.21179624664879,11.26005361930295,8.847184986595174,0.0,0.0,2.680965147453083
2025-02-18,70.24793388429752,24.675324675324674,3.896103896103896,0.0,0.0,1.1806375442739079
2025-02-19,47.89227166276346,47.07259953161593,3.864168618266979,0.0,0.0,1.1709601873536302
2025-02-28,46.487119437939114,48.47775175644028,3.864168618266979,0.0,0.0,1.1709601873536302
2025-03-05,46.424384525205156,48.53458382180539,3.8686987104337636,0.0,0.0,1.1723329425556859
2025-03-07,46.37002341920375,48.594847775175644,3.864168618266979,0.0,0.0,1.1709601873536302
2025-03-19,45.08196721311475,49.88290398126464,3.864168618266979,0.0,0.0,1.1709601873536302
2025-03-25,57.81010719754976,38.89739663093415,2.5267993874425727,0.0,0.0,0.7656967840735069
2025-03-31,42.84232365145228,51.244813278008294,3.423236514522822,1.4522821576763485,0.0,1.0373443983402488
2025-04-03,42.7536231884058,51.13871635610766,3.4161490683229814,1.6563146997929608,0.0,1.0351966873706004
2025-04-08,42.7536231884058,49.68944099378882,3.4161490683229814,3.1055900621118013,0.0,1.0351966873706004
2025-04-09,64.4927536231884,27.95031055900621,3.4161490683229814,3.1055900621118013,0.0,1.0351966873706004
2025-04-14,64.4927536231884,27.95031055900621,3.4161490683229814,3.1055900621118013,0.0,1.0351966873706004
2025-04-15,46.409335727109514,47.03770197486535,2.96229802513465,2.6929982046678633,0.0,0.8976660682226212
2025-04-16,46.22980251346499,47.217235188509875,2.96229802513465,2.6929982046678633,0.0,0.8976660682226212
2025-05-02,50.86505190311419,42.07612456747405,2.283737024221453,2.283737024221453,1.799307958477509,0.6920415224913495
