date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS
2024-03-01,67.80150872662833,10.110505882396563,7.002445117394311,6.250159067714326,3.646488540387468,1.888809211929765,1.8392621876747957,1.2437032932405276,0.0,0.21711797263390792
2024-03-04,67.8729689919126,10.137288336618651,6.8923534957156365,6.334355483455218,3.586119043199594,1.8602552773798287,1.827368447074245,1.2402874549997813,0.0,0.24900346964444536
2024-03-05,67.8453098234703,10.121285493655098,6.8945846915329785,6.405196559256435,3.6237108772613684,1.858314272284596,1.790274548457941,1.2405563580134913,0.0,0.22076737606778876
2024-03-06,67.75782712994514,10.038165826115474,7.036446753217966,6.430062388514066,3.5942814694603054,1.846194107082185,1.7571678947668188,1.2315635465853574,0.0,0.30829088431269447
2024-03-07,67.7366801921863,10.00148265042499,7.09276868220973,6.462386137918791,3.5943300685699975,1.8460080373658336,1.7449158949429915,1.23078906086043,0.0,0.29063927552094215
2024-03-08,67.70181658797092,10.002183741588642,7.160863186396177,6.458280154062472,3.576883329925766,1.84427807162185,1.7331000655668363,1.2301555821813939,0.0,0.29243928068593156
2024-03-11,67.68107393837258,9.954682096129293,7.292370478225026,6.408356102338683,3.572669038973896,1.8400489011364782,1.7317894749397755,1.2282194857728903,0.0,0.2907904841113892
2024-03-12,67.65074817043339,9.931909343865986,7.3491052331906115,6.406653593581741,3.576133361908425,1.835328183699734,1.7314031392742135,1.2276691591167586,0.0,0.2910498149291373
2024-03-13,67.65259330996936,9.962182168683787,7.305276859531262,6.411893593883143,3.5750619924765665,1.8373264190687324,1.7446979709865293,1.2257544654327908,0.0,0.28521321996783205
2024-03-14,67.60263285055629,10.010903565953583,7.337084537101155,6.410017903693861,3.578518364301887,1.8402116991380861,1.749747219226457,1.2262494512524942,0.0,0.24463440877618928
