date,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,CHIEF SECURITIES LTD
2024-03-01,93.43065693430657,0.0,0.0,0.0,0.0,0.0,1.4598540145985401,0.0,5.109489051094891,0.0
2024-03-04,81.0126582278481,0.0,0.0,13.291139240506327,0.0,0.0,1.2658227848101267,0.0,4.430379746835443,0.0
2024-03-05,82.5,0.0,0.0,13.125,0.0,0.0,1.25,0.0,3.125,0.0
2024-03-06,46.29986881703835,0.0,38.76860721910494,7.716644802839726,3.540286397759968,0.0,1.837296381628506,0.0,1.837296381628506,0.0
2024-03-07,45.983301601054954,0.0,40.094588791475225,6.460463861305242,3.661372886573256,0.0,1.9001364297956593,0.0,1.9001364297956593,0.0
2024-03-11,16.213315764618685,63.695169075287694,13.576014072128666,2.1875108571310924,1.2397396090017359,0.0,0.6433855462150272,1.801479529402076,0.6433855462150272,0.0
2024-03-12,16.027699936016404,62.965964034350165,13.420591015074942,2.162467451684753,1.2255466272503972,0.0,0.7632238064769716,2.2896714194309147,1.1448357097154573,0.0
2024-03-13,14.920823986563606,63.1265630200768,13.454821147781196,2.678096612972955,1.2286724675089493,0.0,0.7651704608494158,2.295511382548247,1.5303409216988315,0.0
2024-03-14,14.264803589075989,63.613313302636165,13.55856729967268,2.698746624960322,1.238146398008582,0.0,0.7710704642743778,2.313211392823133,1.5421409285487555,0.0
2024-03-15,14.13762403854604,63.04616125297559,13.437684282655681,2.6746856289141157,1.2271075567510974,0.0,0.7641958939754617,2.292587681926385,2.4199536642556287,0.0
2024-03-18,14.622459347688338,62.114207656419694,13.185771472206703,2.9994788405514545,1.2041032870538744,0.0,0.7498697101378636,2.7495222705054996,2.374587415436568,0.0
2024-03-19,13.622837879570648,56.33851597652947,20.729572237118195,2.7707466873703015,1.1122816233112156,0.0,0.6926866718425754,2.5398511300894433,2.193507794168155,0.0
