date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,0.0,0.0,0.0,43.23374697955942,0.0,28.089685239936262,0.0,28.67656778050432,0.0
2024-03-04,0.0,0.0,0.0,34.226747170564224,0.0,22.224211189272793,0.0,22.682004210931982,20.867037429230997
2024-03-05,0.0,0.0,0.0,25.86272378057736,0.0,16.519629928418546,25.206177626420217,16.812501821181687,15.59896684340218
2024-03-06,71.19149943519305,0.0,0.0,7.454183600694152,0.0,4.758427689823001,7.260560562910697,4.842788521762558,4.492540189616546
2024-03-07,71.17065377142958,0.0,0.0,7.454191781355053,0.0,4.776544984819171,7.2617506220971935,4.843582290359163,4.493276549939835
2024-03-08,71.17373868214435,0.0,0.0,7.450527121051384,0.0,4.776578644365868,7.262065384588684,4.843792236708024,4.4932979311416865
2024-03-11,71.16695223154915,0.0,0.0,7.492637746242371,0.0,4.744744217050216,7.25963929791724,4.843157014242165,4.4928694929988575
2024-03-12,71.16201744393501,0.0,0.0,7.500092414217366,0.0,4.744415211742832,7.259135907270781,4.842474479894483,4.4918645429395285
2024-03-13,71.0780226757246,0.0,0.0,7.528360791556948,0.0,4.758603643926526,7.281110787552554,4.850700175608394,4.50320192563098
2024-03-14,71.0572658665053,0.0,0.05527682554271605,7.519035409242812,0.0,4.755301904534169,7.262818631527552,4.848588326870824,4.501713035776628
2024-03-15,71.06764275549861,0.0,0.05528489792596306,7.52847834618851,0.0,4.75165005079639,7.251014222314678,4.842690021826269,4.503239705449574
2024-03-18,71.03343520482402,0.0,0.05525828720870811,7.557175489122551,0.0,4.752838265464468,7.243874902105079,4.837926296746748,4.519491554528429
2024-03-19,71.03639773287549,0.0,0.05526059181674882,7.552624957005348,0.0,4.753036487845871,7.244177015927068,4.837954292372725,4.520548922156753
2024-03-20,71.07666322792684,0.0,0.055291915126451256,7.523696080498017,0.0,4.751557672357262,7.228809343969217,4.840348837596677,4.523632922525532
2024-03-21,71.06158920195872,0.0,0.055280188749232746,7.5443515909565315,0.0,4.749854607888477,7.21215242398795,4.849752514767059,4.527019471692034
2024-03-22,71.06863118871145,0.0,0.055285666847333735,7.542839107311586,0.0,4.750325303993106,7.21286712629617,4.842583521326042,4.527468085514312
2024-03-25,71.0677663081466,0.0,0.0552849940399647,7.5450073919514065,0.0,4.749745937636037,7.2127793482077225,4.842524588766048,4.526891431252209
2024-03-26,71.05010264010754,0.0,0.05527125312994327,7.561208237380063,0.0,4.748565403339397,7.210986634764424,4.848968589402465,4.5248972418761735
