date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,BANK OF CHINA (HONG KONG) LTD
2024-03-01,30.069504367655487,24.89281395102912,15.610066430519772,2.9235213266844244,15.328844328993174,0.0,7.847304178449963,0.7784771249679806,0.0,2.5494682917000833
2024-03-04,28.573277571728262,23.421099740459653,14.82744325629111,2.7402877741871245,14.54192076071649,5.236086591408202,7.496478990565354,0.7387671332009258,0.0,2.4246381814428832
2024-03-05,28.58298036628589,23.446165159946876,14.826268476357363,2.7388203931133286,14.518466450197742,5.238885746076319,7.482547066623776,0.7383318771039166,0.0,2.4275344642947854
2024-03-06,28.68125712043571,23.504284304256736,14.798610910527762,2.735147446930886,14.486954786531708,5.2392788294921155,7.386739901473642,0.7396973686368626,0.0,2.4280293317145767
2024-03-07,28.774200706642784,23.51213612322556,14.751979346141923,2.759870786195483,14.510952340466021,5.3046313361471285,7.152285650134051,0.8082480742093276,0.0,2.425695636837721
2024-03-08,28.71662800641977,23.412676678277556,14.767704834980913,2.7318644704997337,14.54715136169299,5.307748128375451,7.253648774266158,0.8351340632666473,0.0,2.4274436822207828
2024-03-11,28.866332146435496,23.491606524809054,14.736856543575405,2.757392212254867,14.589882708421356,5.304207588950873,6.990124292958639,0.8316443776062034,0.0,2.431953604988103
2024-03-12,28.87826498978517,23.38407823911961,14.768395751860963,2.7573371275002496,14.56117412288811,5.31131052907936,7.087122661426126,0.8321413719857663,0.0,2.4201752063546462
2024-03-13,29.187101078368038,23.265292134070787,14.802994144903407,2.742482230416877,14.345769545025465,5.324145206116724,7.118784795544532,0.8284710159783661,0.0,2.3849598495758038
2024-03-14,29.235965691487674,23.30329700688466,14.80769069780767,2.7687821379279716,14.352735577890721,5.299333309409719,6.992392476160127,0.82967612637137,0.0,2.4101269760600896
2024-03-15,28.526284056694724,22.70630632781633,14.31949211032052,2.651869395082295,13.903347212297156,5.126687724398726,6.481847170832135,0.8045833983147427,3.1494273246086877,2.3301552796346914
2024-03-18,28.733708689352248,22.778916148812364,14.292156912677049,2.6456755309346094,13.85703327405334,5.079188752518506,6.331810777871256,0.8032441419694996,3.142071334518146,2.336194437292976
2024-03-19,28.934725004830547,22.606945010334552,14.294294808549424,2.6460344536692433,13.86146175403264,5.077035447692918,6.319141357426592,0.8035805026267183,3.120213438880096,2.336568221957269
