date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,0.0,67.27008604313332,0.0,0.0,0.0,0.0,21.153201475025142,0.0,11.576712481841547,0.0
2024-03-04,0.0,67.23252177797633,0.0,0.0,0.0,0.0,21.19723028813938,0.0,11.570247933884298,0.0
2024-03-05,0.0,67.10511648645637,0.0,0.0,0.0,0.0,21.3465611414558,0.0,11.548322372087839,0.0
2024-03-08,0.0,67.07520891364902,0.0,0.0,0.0,0.0,21.381615598885794,0.0,11.54317548746518,0.0
2024-03-11,0.0,67.06026512197839,0.0,0.0,0.0,0.0,21.399131112843932,0.0,11.540603765177677,0.0
2024-03-12,0.0,67.08268330733229,0.0,0.0,0.0,0.0,21.406284822821483,0.0,11.511031869846223,0.0
2024-03-18,0.0,67.13505074160811,0.0,0.0,0.0,0.0,21.344931415189023,0.0,11.520017843202854,0.0
2024-03-20,0.0,67.12756467439786,0.0,0.0,0.0,0.0,21.353702051739518,0.0,11.518733273862622,0.0
2024-03-21,0.0,67.08296164139162,0.0,0.0,0.0,0.0,21.398305084745765,0.0,11.518733273862622,0.0
2024-03-22,0.0,57.508842366886526,0.0,0.0,0.0,0.0,18.363445177325303,14.25293948953255,9.874772966255616,0.0
2024-03-25,0.0,47.521624076780284,17.295311821161974,0.0,0.0,0.0,15.245467830483037,11.77771633950788,8.159879932066827,0.0
2024-03-27,0.0,47.50661349547913,17.28984877798397,0.0,0.0,0.0,15.27223911240968,11.7739961306116,8.157302483515616,0.0
2024-04-05,0.0,47.482923362419555,17.28984877798397,0.0,0.0,0.0,15.295929245469262,11.7739961306116,8.157302483515616,0.0
2024-04-09,0.0,47.4716772589113,17.285753759917892,0.0,0.0,0.0,15.315990999881576,11.771207515888367,8.15537046540086,0.0
2024-04-15,0.0,36.09785381960078,13.144229326129372,23.94116764220321,0.0,0.0,11.664415428485666,8.950923007654211,6.20141077592676,0.0
2024-04-17,0.0,36.09135380090633,13.141862489120976,23.91884997449056,0.0,0.0,11.740343927253083,8.907295699408781,6.200294108820263,0.0
2024-04-22,2.7206118457541524,35.10523396678052,12.78278891905304,23.259479814344513,0.0,0.0,11.43707855328838,8.663922701929533,6.03088419884987,0.0
2024-04-24,2.7206118457541524,35.10523396678052,12.78278891905304,23.247803368654584,0.0,0.0,11.44875499897831,8.663922701929533,6.03088419884987,0.0
2024-04-25,2.7179143215420956,35.07042664255927,12.77011460733137,23.224752850602197,0.0,0.0,11.536554781137907,8.65533230293663,6.024904493890525,0.0
2024-04-26,2.717597317393206,35.066336200612334,12.76862516401808,23.222044029741944,0.0,0.0,11.546872721971132,8.654322787578364,6.024201778684939,0.0
2024-04-29,2.7172803871833,35.06224671273215,12.767136068106941,23.219335840695063,0.0,0.0,11.557188256217382,8.653313507682439,6.023499227382723,0.0
2024-05-02,2.7172803871833,35.06224671273215,12.755473920522464,23.219335840695063,0.0,0.0,11.56885040380186,8.653313507682439,6.023499227382723,0.0
2024-05-06,2.7169635308865114,35.06981896627117,12.753986531790224,23.216628283240535,0.0,0.0,11.567501384718536,8.652304463166487,6.022796839926537,0.0
2024-05-07,2.7166467484769874,35.06573002594223,12.752499489900021,23.21392135715743,0.0,0.0,11.577812108316087,8.651295653948173,6.022094616259072,0.0
2024-05-09,2.7163300399288857,35.06164203899624,12.751012794730554,23.211215062224944,0.0,0.0,11.588120427851127,8.650287079945207,6.021392556323045,0.0
2024-05-10,2.715380357194884,35.0493837951228,12.746554788334352,23.203099962124522,0.0,0.0,11.619030970486262,8.647262768406025,6.019287358331148,0.0
2024-05-13,2.7150639438342994,35.045299618376205,12.745069478835902,23.20039618958837,0.0,0.0,11.629329682174381,8.646255134442276,6.018585952748565,0.0
2024-05-14,2.7149057648052666,35.03743190888171,12.744326953887382,23.199044539602085,0.0,0.0,11.640304116053482,8.645751405517203,6.018235311252877,0.0
2024-05-16,2.2987938164715533,29.667266120729447,10.7910117457758,19.60880991518117,15.430532633733748,0.0,9.86606788185216,7.241693825279485,5.095824060976641,0.0
2024-05-17,2.298567038287246,29.664339416865875,10.789947202260409,19.60687548753606,15.429010397094473,0.0,9.874959679508725,7.240979425334071,5.095321353113144,0.0
2024-05-20,2.2984536659731765,29.662876281464985,10.789415009262497,19.60590841683128,15.428249391396845,0.0,9.87940492048127,7.240622278215929,5.095070036374016,0.0
