date,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-07,0.0,0.0,60.878451614938946,0.0,0.0,12.702159127558613,0.0,26.419389257502452,0.0,0.0
2024-03-11,0.0,40.05745784772742,32.580760081743236,0.0,0.0,6.7979061240374685,0.0,14.139055118373763,0.0,6.42482082811811
2024-03-12,0.0,30.900773278071302,25.133164574254195,22.848163193281895,0.0,5.243981200779361,0.0,10.917738744036596,0.0,4.956179009576648
2024-03-14,0.0,30.90138933768497,25.13366564675224,22.841268590241278,0.0,5.24944219808637,0.0,10.917956407777638,0.0,4.956277819457503
2024-03-18,0.0,29.165650558988265,23.77751269368046,21.558268812675973,0.0,4.954579715038286,0.0,10.304692061828344,5.561413704805364,4.677882452983303
2024-03-19,0.0,29.052554950529906,23.68531066100921,21.474672339360648,0.0,4.935367347174439,0.0,10.264733569685287,5.927618098477324,4.659743033763189
2024-03-21,0.0,29.159753784368842,23.772705304485367,21.553910115032103,0.0,4.953577987343082,0.0,9.933626170286653,5.949489969942031,4.676936668541924
2024-04-03,0.0,29.053899813700788,23.808227982404095,21.586117329023903,0.0,4.960979936474908,0.0,9.948469621988615,5.958380073667124,4.6839252427405675
2024-04-09,0.0,26.616920392633347,21.81124437547913,19.775519645102243,0.0,4.558775999042893,8.373875127129176,9.11401311544872,5.458603805574613,4.291047539589876
2024-04-11,0.0,26.612282884263454,21.81124437547913,19.775519645102243,0.0,4.558775999042893,8.373875127129176,9.118650623818612,5.458603805574613,4.291047539589876
2024-04-12,0.0,26.612195417768053,21.811270371015997,19.775543214378768,0.0,4.558781432379364,8.37388510745748,9.118661491800943,5.458610311362822,4.291052653836573
2024-04-22,0.0,26.612195417768053,21.811270371015997,19.775543214378768,0.0,4.558781432379364,8.37388510745748,9.141849061286262,5.435422741877502,4.291052653836573
2024-04-24,0.0,26.598626752635152,21.80014953640835,19.765460328713576,0.0,4.602808556598862,8.369615544533387,9.141823088705307,5.4326514022761465,4.288864790129219
2024-04-25,0.0,26.597393923694433,21.799139113745916,19.764544212564182,0.0,4.6072301539831395,8.369227618330957,9.141399371188626,5.432399602439416,4.288666004053334
2024-04-26,0.0,26.547940137696894,21.80824731334586,19.76840238292888,0.0,4.627702649027786,8.372724480993623,9.149855736737894,5.434669388398738,4.290457910870322
2024-04-30,0.0,4.33813944319277,3.5636368534141143,3.230310361613218,0.0,0.7569602267612793,1.3681681565346178,1.547438784842974,0.906251971158443,0.7010941186384523
2024-05-03,0.0,26.435169780067536,21.715610226022335,19.675195800986252,0.0,4.612662265292623,8.337158816420159,9.429574022977684,5.522396187307103,4.272232900926311
2024-05-07,0.0,26.435169780067536,21.715610226022335,19.675195800986252,0.0,4.612662265292623,8.337158816420159,9.434191197607742,5.517779012677044,4.272232900926311
2024-05-14,0.0,26.43394927846773,21.71460762466807,19.674287404779555,0.0,4.612449300453698,8.336773893011005,9.438372586093264,5.517524258946752,4.272035653579926
2024-05-17,0.0,26.433988984336253,21.71460762466807,19.674287404779555,0.0,4.612449300453698,8.336773893011005,9.438332880224735,5.517524258946752,4.272035653579926
2024-05-20,48.000377264699765,13.693731333336768,11.248926637490502,10.239804316012828,0.0,2.372667913943907,4.3187406163071484,4.9013454580012255,3.004167251867511,2.2202392083403453
2024-05-21,47.99922924428529,13.693403821679217,11.248657597992135,10.239559411596137,0.0,2.3726111670732117,4.3186373254024755,4.90122823299249,3.006487091886674,2.220186107092367
2024-05-22,48.00267347028309,13.694386403653628,11.24946475509756,10.240294159992866,0.0,2.372781415829139,4.318947212939951,4.906363648875249,2.9947435148715624,2.2203454184569535
2024-05-24,48.03902043978607,13.691111678654577,11.24677468178039,10.242627988742514,0.0,2.333953374119591,4.31791442738893,4.91475555522864,2.9940273848336894,2.219814469465591
2024-05-27,48.05157349360349,13.709220897315832,11.137293569938784,10.245304485040679,0.0,2.334563258377106,4.319042739575353,4.916039827689224,3.066567200319868,2.22039452813966
2024-05-29,48.05157349360349,13.709220897315832,11.022481653779352,10.245304485040679,0.0,2.456550919296501,4.319042739575353,4.916039827689224,3.0593914555599033,2.22039452813966
2024-05-31,15.221574939032672,4.342749218649917,3.491655284284282,3.2454643761668662,0.0,0.8084838762436853,1.3681681565346178,1.5497053707997632,0.9464101097256126,0.7033672208214996
2024-06-03,47.89120114363125,13.663466308823867,10.985694070005891,10.211110733681716,0.0,2.5437094448933295,4.304627914348693,4.875793202976775,3.3114132305612034,2.2129839510772737
2024-06-04,47.91354827491638,13.673245134370122,10.88620272458903,10.218418737978814,0.0,2.59324271695537,4.307708699594876,4.879282766316988,3.313783180584229,2.214567764694194
2024-06-05,47.96618605591104,13.688266549163691,10.898162297100598,10.248750754901774,0.0,2.5937033921570976,4.312441144493698,4.88464314197088,3.190845977454678,2.2170006868465455
2024-06-06,48.223387525664954,13.743872808475441,10.942434231500584,10.290384565147336,0.0,2.680974617791065,4.329959704618612,4.359171423393614,3.2038082476010787,2.226006875807313
2024-06-07,48.1887211262609,13.733992735577544,10.821944893575136,10.282987105125125,0.0,2.6718586316795747,4.326847021743651,4.356037741058386,3.3932040811730646,2.2244066638066142
2024-06-18,48.10173455871405,13.709201189778868,10.802409952234676,10.301422657283918,0.0,2.7818473493956377,4.319036530783834,4.3768774950387455,3.387078930533896,2.2203913362363736
2024-06-19,48.052311702002456,13.695115463094606,10.791310852293538,10.278891034958303,0.0,2.893682884183228,4.314598871195227,4.372380405874165,3.3835988249162847,2.2181099614821944
