date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,SUNCORP SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,51.95574115751293,48.04425884248707
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,51.953119500615365,48.04688049938464
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,51.95453701618965,48.04546298381035
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,52.23960344604518,47.76039655395483
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,52.226497158626586,47.773502841373414
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,52.23366407372436,47.766335926275644
2024-03-15,0.0,0.0,0.0,61.66893650845766,18.71165279383141,0.0,10.245724592701709,9.373686105009224
2024-03-19,0.0,0.0,0.0,61.66926865415624,18.711753573824392,0.0,10.245241180822182,9.373736591197181
2024-03-20,0.0,0.0,0.0,61.735769785987394,18.731931416344036,0.0,10.256289149271892,9.27600964839668
2024-03-21,0.0,0.0,0.0,61.70915212989685,18.723855059475394,0.0,10.251867103863097,9.315125706764654
2024-03-22,0.0,0.0,0.0,61.715804391877015,18.725873495717593,0.0,10.252972257692097,9.305349854713292
2024-03-25,0.0,0.0,0.0,61.719131060732714,18.726882877038435,0.0,10.248134620963164,9.305851441265684
2024-03-27,0.0,0.0,0.0,61.7201291313244,18.72718571265443,0.0,10.248300345295457,9.30438481072572
2024-04-02,0.0,0.0,0.0,61.721293587813705,18.72753903325237,0.0,10.24849369712426,9.302673681809658
2024-04-03,0.0,0.0,0.0,61.725286343661736,18.728750519380537,0.0,10.24268766437886,9.303275472578875
2024-04-05,0.0,0.0,0.0,61.73859926150692,18.732789938746198,0.0,10.244896808596199,9.283713991150687
2024-04-08,0.0,0.0,0.0,61.738932158031325,18.732890946555532,0.0,10.244952049411204,9.28322484600194
2024-04-11,0.0,0.0,0.0,61.752250963424274,18.736932152327054,0.0,10.225589388365673,9.285227495882996
2024-04-12,0.0,38.83692065098828,0.0,37.769578256560045,11.460084679898285,0.0,6.2542853515102195,5.679131061043171
2024-04-15,0.0,38.88568811418349,0.0,37.740073869095774,11.45113242799671,0.0,6.248905293520298,5.6742002952037325
2024-04-16,0.0,38.886636594281626,0.0,37.738555256369324,11.45141173824518,0.0,6.249057713667493,5.674338697436376
2024-04-18,0.0,38.88664941189711,0.0,37.73856769556007,11.451415512801308,0.0,6.2490597734501305,5.674307606291384
2024-04-19,0.0,38.88921310484468,0.0,37.74105569854607,11.45217047404466,0.0,6.2428790243261565,5.674681698238429
2024-04-24,0.0,38.88536769217386,0.0,37.73732381707545,11.451038069505373,0.0,6.255445882956652,5.670824538288666
2024-04-25,0.0,38.887033944290735,0.0,37.73894087509565,11.451528750642161,0.0,6.252417749321738,5.67007868064972
