date,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,50.70770841346211,0.0,11.960095814715023,12.614209912125204,14.424345814882383,0.0,4.846729952857301,0.0,5.446910091957986
2024-03-04,0.0,50.658608784025894,0.0,12.040089462629581,12.602746343325547,14.414131955701018,0.0,4.842787536158296,0.0,5.441635918159659
2024-03-05,0.0,50.60911422494026,0.0,12.040993271987288,12.647231054939228,14.415213976510351,0.0,4.843151068066107,0.0,5.444296403556773
2024-03-06,0.0,50.5681516937184,0.0,12.017071758857849,12.69050307036544,14.42269155132129,0.0,4.854177741861976,0.0,5.447404183875042
2024-03-07,0.0,50.54894516706108,0.0,12.003882148944124,12.717051867873238,14.421283423034767,0.0,4.8619650547339415,0.0,5.446872338352855
2024-03-08,0.0,50.596915363130215,0.0,11.994423671360801,12.709282737254124,14.395661979400776,0.0,4.858134061817608,0.0,5.445582187036485
2024-03-11,0.0,50.628751806579245,0.0,11.978370625420169,12.724069497757515,14.336433955900466,0.0,4.880778096336629,0.0,5.451596018005982
2024-03-12,0.0,46.089089847542795,0.0,10.904321759526676,11.58384092467609,13.03316640175212,8.975459645519939,4.451346520935704,0.0,4.962774900046675
2024-03-13,0.0,46.06105395706662,0.0,10.880601668989867,11.649243447729308,13.025238355722005,8.971366854728254,4.454790102525355,0.0,4.957705613238591
2024-03-14,0.0,46.05403072452428,0.0,10.888735041264033,11.628898282466338,13.029245712449649,8.972759611811155,4.467099722009427,0.0,4.959230905475118
2024-03-15,0.0,46.04841564810725,0.0,10.891537668846132,11.626512780355007,13.034236090201107,8.969356772578445,4.475650209577461,0.0,4.9542908303345925
2024-03-18,0.0,46.04143783753887,0.0,10.88995273116452,11.626512370201647,13.038070582794806,8.97131127971656,4.476966884176712,0.0,4.955748314406883
2024-03-19,43.23731008103021,26.13900820171853,0.0,6.182529849755284,6.600695297015682,7.401687844631861,5.089379460297756,2.5416989477445204,0.0,2.8076903178061587
2024-03-20,39.75341271333957,24.032826718704275,8.045119127914,5.682579616966386,6.068836471221379,6.801716933128437,4.695009817768349,2.336898550658897,0.0,2.5836000502987075
2024-03-21,39.75312878342411,24.0305123862529,8.045061667438587,5.682181916516439,6.068793125905629,6.801668353376863,4.698190309695581,2.3368818598803545,0.0,2.583581597509531
2024-03-22,39.73695147977314,24.052860480172043,8.041787776565897,5.688079862700267,6.0663234659770335,6.802470139778754,4.693065691517749,2.3359308794518783,0.0,2.5825302240632375
