date,GET NICE SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,USMART SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,22.50095392109642,0.0,36.28106230556654,29.934354081235814,0.0,0.0,0.0,11.283629692101222
2024-03-04,0.0,0.0,22.491304356470916,0.0,36.11345582341741,30.11644912791712,0.0,0.0,0.0,11.27879069219455
2024-03-05,0.0,0.0,18.272859691138944,18.567429972171343,29.528516826282054,24.467840574636302,0.0,0.0,0.0,9.163352935771357
2024-03-06,0.0,0.0,18.255788785649294,18.54686895346207,29.500563698892375,24.440745617036644,0.0,0.0,0.0,9.25603294495962
2024-03-07,0.0,0.0,18.245270265162592,18.541002738039893,29.52760643656825,24.433015219025638,0.0,0.0,0.0,9.253105341203634
2024-03-08,0.0,0.0,18.243144030103572,18.506759592362574,29.50464299617808,24.184259006488826,0.0,0.0,0.0,9.561194374866949
2024-03-11,0.0,0.0,18.219907318004694,18.512019533433318,29.51302872587315,24.191132591060928,0.0,0.0,0.0,9.563911831627909
2024-03-12,0.0,0.0,18.24890534201057,18.512604155899623,29.482380071595333,24.191896563871815,0.0,0.0,0.0,9.564213866622657
2024-03-14,0.0,0.0,18.018237439398888,18.44619417914011,29.96033879447041,24.05791223884845,0.0,0.0,0.0,9.517317348142146
2024-03-15,0.0,0.0,18.064484505771343,18.484443028285806,30.08680009877174,23.96064888355437,0.0,0.0,0.0,9.403623483616744
2024-03-18,0.0,0.0,18.05416927284684,18.49264332926085,30.1108590824874,23.944889699188945,0.0,0.0,0.0,9.397438616215966
2024-03-19,0.0,0.0,18.05795484872068,18.570270590134154,30.125011621107074,23.84490739195786,0.0,0.0,0.0,9.401855548080237
2024-03-20,0.0,0.0,18.02947151182132,18.599746766453137,30.124539655484185,23.844533816116247,0.0,0.0,0.0,9.40170825012511
2024-03-26,0.0,0.0,18.026567041072393,18.60645139207194,30.144802137660598,23.817082157983506,0.0,0.0,0.0,9.405097271211567
2024-03-27,0.0,0.0,18.12917163252752,18.599163983871993,30.132995615629348,23.737255099910502,0.0,0.0,0.0,9.401413668060634
2024-03-28,0.0,0.0,18.185144803936932,18.606743007182562,30.145274590984698,23.657592922516553,0.0,0.0,0.0,9.405244675379256
2024-04-02,0.0,0.0,18.153230188882926,18.60615978610188,30.144329699145356,23.691330454205637,0.0,0.0,0.0,9.4049498716642
2024-04-03,0.0,0.0,18.15451289627075,18.605868189271956,30.143857275438286,23.69095916228207,0.0,0.0,0.0,9.404802476736943
2024-04-05,0.0,0.0,18.19369304323266,18.764155982998073,30.143857275438286,23.49349122159404,0.0,0.0,0.0,9.404802476736943
2024-04-08,0.0,0.0,18.19227289832995,18.77239364058472,30.157090739005778,23.469311440266395,0.0,0.0,0.0,9.408931281813155
2024-04-09,0.0,0.0,18.17816311401495,18.76592058666158,30.189010577847725,23.461218805869287,0.0,0.0,0.0,9.40568691560646
2024-04-10,0.0,0.0,18.158212391707128,18.767979710454888,30.20329579706041,23.46379312955568,0.0,0.0,0.0,9.406718971221899
2024-04-11,0.0,0.0,18.158212391707128,18.767979710454888,30.206430847542403,23.460658079073685,0.0,0.0,0.0,9.406718971221899
2024-04-16,0.0,0.0,18.19455067642439,18.830975900395124,30.25079574314919,23.316811253803778,0.0,0.0,0.0,9.406866426227516
2024-04-17,0.0,0.0,18.200400935732073,18.838653837751973,30.26312987367642,23.28711347318003,0.0,0.0,0.0,9.410701879659502
2024-04-18,0.0,0.0,18.317006045883463,18.85541834117338,30.30514038072436,23.10257463736519,0.0,0.0,0.0,9.419860594853601
2024-04-19,0.0,0.0,18.328696274774966,18.872304101885558,30.335422054760286,23.035281122074426,0.0,0.0,0.0,9.428296446504763
2024-04-22,0.0,0.0,18.33129026129522,18.857194366590576,30.311134601843335,23.07963290197998,0.0,0.0,0.0,9.420747868290881
2024-04-23,0.0,0.0,18.33000815431041,18.857490403355314,30.311610452600807,23.079995226285646,0.0,0.0,0.0,9.420895763447824
2024-04-24,0.0,0.0,18.324879323793112,18.858674643368992,30.3135140050465,23.081444637277134,0.0,0.0,0.0,9.421487390514262
2024-04-25,0.0,0.0,18.390566066711088,18.987254514913804,30.390504639205577,22.8087079958419,0.0,0.0,0.0,9.422966783327633
2024-04-26,0.0,0.0,17.924762831924088,18.29524147172655,29.49519190381899,21.766284815501486,0.0,3.36327522388573,0.0,9.15524375314316
2024-04-29,0.0,0.0,17.91545630606223,18.296636227467808,29.50048993817658,21.76794418964854,0.0,3.363531626482832,0.0,9.155941712162015
2024-04-30,0.0,0.0,2.742053637471952,2.7956366737182177,4.507530812686199,3.314154124199985,0.0,0.5139312085185324,0.0,1.398983185473158
2024-05-02,0.0,0.0,17.941919626119688,18.30808125114254,29.518943264873414,21.703751261770073,0.0,3.3656356033350368,0.0,9.161668992759244
2024-05-03,0.0,0.0,17.936911567150528,18.309198605461578,29.52074482552295,21.705075856077862,0.0,3.36584101030402,0.0,9.162228135483065
2024-05-07,67.00831676044376,0.0,5.908121169060731,6.11758636402828,9.710636060307253,7.134688215016083,0.0,1.1054550720057654,0.0,3.0151963591381192
2024-05-08,66.92146057270044,0.0,6.030083073014812,6.109656747893172,9.69804913275054,7.125440231346997,0.0,1.104022181016738,0.0,3.0112880612772948
2024-05-09,66.90851025250187,0.0,6.036628473465462,6.110715961157052,9.700525059026452,7.1272593667684365,0.0,1.1043040395111374,0.0,3.0120568475695895
2024-05-10,66.90951508180088,0.0,6.038721525911192,6.107303541085678,9.700670741119183,7.127366403661147,0.0,1.1043206239045087,0.0,3.01210208251742
2024-05-13,66.86031391287302,0.0,6.178347414973138,6.094808914584465,9.718548987671948,7.034585029202408,0.0,1.1035085739964978,0.0,3.0098871666985163
2024-05-14,66.86901089246604,0.0,6.156137476951006,6.095601708181313,9.719813145993573,7.035500065923952,0.0,1.1136580271184835,0.0,3.0102786833656405
2024-05-16,66.87904868079613,0.0,6.162065289310892,6.0965167263470486,9.701257370548118,7.0365561733721655,0.0,1.1138251996756836,0.0,3.01073055994995
2024-05-17,66.86600014349833,0.0,5.967757619851949,6.095327256289391,9.699364592149918,7.247799356234588,0.0,1.1136078851362594,0.0,3.010143146839565
2024-05-20,66.87269106497814,0.0,5.958848641572132,6.099939768098022,9.700335155466862,7.244021696292985,0.0,1.1137193178958493,0.0,3.010444355696013
2024-05-21,66.88574221405553,0.0,5.960011594949846,6.101130257399539,9.702228312721319,7.2259190585587705,0.0,1.1139366759326914,0.0,3.0110318863823022
2024-05-22,66.87503320385751,0.0,5.9750682447157795,6.100153411453256,9.700674898518153,7.224762123787223,0.0,1.1137583246304912,0.0,3.0105497930375855
2024-05-23,66.92191045849482,0.0,5.999284231616913,6.104429423457971,9.687447105083997,7.1597296558899295,0.0,1.11453903351521,0.0,3.012660091941159
2024-05-24,66.62468705079654,0.0,6.3021264440346005,6.168038647353013,9.58859341731802,7.207685637351648,0.0,1.1095889792312759,0.0,2.9992798239149083
