date,CHINA CONSTRUCTION BANK (ASIA),THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA RENAISSANCE BROKING SERVICES (HONG,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,10.527679738799685,35.319376624176954,0.0,0.0,24.469745647443975,9.895002893813672,9.26297639865878,6.743212052441777,3.7820066446651555
2024-03-04,0.0,10.326147973186663,35.3745878182794,0.0,0.0,24.532474652126286,9.944850577419485,9.263821443530906,6.757995349802506,3.8001221856547516
2024-03-05,0.0,10.326690995123263,35.345599867291966,0.0,0.0,24.547615768278263,9.92745854990972,9.298888459299468,6.751845777817227,3.8019005822800898
2024-03-06,0.0,10.368756457845599,35.3325913461385,0.0,0.0,24.526530266636616,9.924069189339999,9.29869379976947,6.75032484846019,3.7990340918096264
2024-03-07,0.0,10.289104816719627,35.48117051809263,0.0,0.0,24.23013658772646,9.945454505359267,9.47105906542146,6.7662290583965525,3.8168454482840035
2024-03-08,0.0,10.205626494068538,35.50332943212806,0.0,0.0,24.371198317527824,9.949304668279687,9.38288776569587,6.7689554326401264,3.8186978896599006
2024-03-11,0.0,10.246307646582324,35.48374310059403,0.0,0.0,24.34621318415523,9.94359567644696,9.391961906304344,6.765071351031465,3.8231071348856465
2024-03-12,0.0,10.178624962639237,35.47825962097645,0.0,0.0,24.18201088708329,9.937764670533024,9.636962400049164,6.76403826335055,3.8223391953682824
2024-03-13,0.0,10.154085389934599,35.6983151526306,0.0,0.0,23.72542774485342,9.984265750636315,9.80062084396445,6.793541346694148,3.843743771286473
2024-03-14,0.0,10.150300233607181,35.752912497097086,0.0,0.0,23.778954624184728,10.00659233585269,9.651831869900832,6.81103403881744,3.848374400540042
2024-03-15,0.0,10.116499470955748,35.72119263678814,0.0,0.0,23.775808948087587,10.01192447242171,9.69556743868342,6.814663382599248,3.8643436504641464
2024-03-18,0.0,10.107380711234274,35.71174956799494,0.0,0.0,23.749992330120804,10.003665767588753,9.763072602951583,6.810117901683285,3.8540211184263518
2024-03-19,0.0,10.076327278525799,35.66370690964414,0.0,0.0,23.771914885685188,10.004377350578157,9.817827561889706,6.810602320512069,3.8552436931649385
2024-03-20,0.0,9.985755902012345,35.68871292908179,0.0,0.0,23.750522150667642,10.010932780790704,9.887708473214216,6.813830232839048,3.862537531394257
2024-03-21,0.0,10.016153444467315,35.738812863444544,0.0,0.0,23.40685267240838,10.007178070938377,10.13466364199128,6.807934112011085,3.888405194739021
2024-03-22,0.0,10.015931128475744,35.78198894249992,0.0,0.0,23.301422745702723,10.009800289402337,10.196683128532042,6.805722894014712,3.88845087137252
2024-03-25,0.0,9.94719539753233,35.85064206828829,0.0,0.0,23.200090521245663,10.013505929505168,10.280831243120176,6.806308622691409,3.9014262176169594
2024-03-26,0.0,9.939604514454563,35.87623358418103,0.0,0.0,23.087599978859686,10.01293721504294,10.36594495376752,6.796405990342668,3.921273763351597
2024-03-27,0.0,10.407198178038678,35.77564835887749,0.0,0.0,22.65710125240439,9.998831274147673,10.45428835322324,6.761738124620595,3.9451944586879346
2024-03-28,0.0,10.431885086176232,35.82032632040909,0.0,0.0,22.481672490284453,9.99757703436414,10.55862544231464,6.762762666565872,3.947150959885575
