date,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-13,84.30650994228498,0.0,0.0,0.0,0.0,15.693490057715035,0.0,0.0
2024-03-15,63.246152315003414,0.0,0.0,0.0,24.98070153977335,11.773146145223237,0.0,0.0
2024-03-21,50.08868425604681,0.0,0.0,20.80358658567022,19.783819665238745,9.323909493044225,0.0,0.0
2024-04-03,50.08846011606214,0.0,0.0,20.80368000968658,19.783908509721613,9.323951364529673,0.0,0.0
2024-04-12,50.07908955700279,0.0,0.0,20.799788053101555,19.78020733219119,9.340915057704466,0.0,0.0
2024-04-15,50.14992409303307,0.0,0.0,21.015616473615484,19.80818551273227,9.026273920619172,0.0,0.0
2024-04-17,50.172012839184546,0.0,0.0,20.98082746786528,19.816910111810433,9.030249581139742,0.0,0.0
2024-04-23,37.784194805679974,24.69069374037478,0.0,15.800515613578234,14.923977527297955,6.8006183130690525,0.0,0.0
2024-04-26,37.78606153453533,24.691913584563626,0.0,15.796355736467763,14.924714846688511,6.8009542977447754,0.0,0.0
2024-04-29,37.785622434179,24.69208785785866,0.0,15.796467225719265,14.924820183977372,6.801002298265706,0.0,0.0
2024-05-14,31.766212886593937,20.75853377494487,15.93042316047757,13.280023152256035,12.54723317272941,5.717573852998174,0.0,0.0
2024-05-21,31.81722997922482,20.791872342694777,15.956007698267097,13.301351101348288,12.567384248317795,5.5661546301472224,0.0,0.0
2024-05-22,30.307480053239633,20.024467005701975,15.385404792845483,12.73085286923472,12.103535799017994,5.340680872078936,0.0,4.107578607881258
2024-05-23,30.30808673941984,20.022977125842147,15.388838717438592,12.729905655943957,12.102635259981698,5.340283509549047,0.0,4.107272991824722
2024-05-24,30.259067961006803,19.99436865558976,15.366851420949178,12.826019959067908,12.085343231996319,5.366944177479694,0.0,4.101404593910337
2024-05-27,30.236182233259807,20.001913346511255,15.37264996084832,12.83085973960867,12.089903524993622,5.36553897360663,0.0,4.102952221171696
2024-05-30,30.23514505565909,20.00122723024385,15.372122640035126,12.833849861809107,12.089488810694235,5.36535492203569,0.0,4.102811479522907
2024-06-03,30.234972199643508,20.001112882108938,15.372034756750102,12.834348195565367,12.08941969441044,5.365324248001473,0.0,4.102788023520175
2024-06-04,30.20044067790048,19.978269505246782,15.354478274510525,12.93390054774399,12.075612304204107,5.359196482786249,0.0,4.098102207607869
2024-06-05,30.212172541825762,19.986030396612506,15.360442977200842,12.938924936721211,12.08030327682528,5.361278351874037,0.0,4.0608475189403626
2024-06-06,30.10772151627254,19.992540496681404,15.365446373017807,13.024858425931422,12.084238224467915,5.363024694588188,0.0,4.062170269040719
2024-06-12,30.108065627715487,19.99276899826213,15.365621989957804,13.02500729149153,12.084376339358146,5.363085990431023,0.0,4.061073762783883
2024-06-21,30.116637634138115,19.99276899826213,15.365621989957804,13.016435285068903,12.084376339358146,5.363085990431023,0.0,4.061073762783883
2024-06-25,30.167463207446264,19.97496154640071,15.36335507490362,13.004841616139586,12.07361285032083,5.358309118572426,0.0,4.057456586216559
2024-06-27,30.375788405411306,19.94978855639907,15.349125903843078,12.988452560910844,12.05839735491881,5.351556431637125,0.0,3.9268907868797664
2024-06-28,30.413062287817084,19.940578138359598,15.342039519658343,12.982456052354694,12.052830234234252,5.349085725155306,0.0,3.9199480424207302
2024-07-05,30.402109594595338,19.940123523254062,15.341689744297419,12.994699242382751,12.052555447883979,5.348963774068703,0.0,3.91985867351775
2024-07-10,30.4020302581585,19.94014625351702,15.341707232686682,12.994714055376791,12.052569186903918,5.348969871490969,0.0,3.9198631418661187
2024-07-11,30.403589860917517,19.94116916898839,15.342494251472102,12.990250745431501,12.053187475222083,5.349244269881426,0.0,3.9200642280869764
2024-07-15,30.404976308819155,19.942078515295094,15.343193891516524,12.986282974361444,12.053737118095162,5.349488203197434,0.0,3.920242988715185
