date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,24.568402866066037,22.30380713969596,13.708473232572004,14.318985967072791,2.6513423970216254,6.954224574733363,5.44735999970097,5.582992081187632,2.9001329278098096,1.5642788141398103
2024-03-04,24.598760159936365,22.278386778231194,13.661253047204855,14.358704856515391,2.6617813986260486,6.953224617871892,5.440920845065472,5.5808979033304835,2.8920847464703314,1.5739856467479687
2024-03-05,24.728801278177215,22.325264282025092,13.563100563219917,14.218151791852677,2.67887017898268,6.986819817115649,5.438780689298395,5.588632317842519,2.901328860452136,1.5702502210337212
2024-03-06,24.691528021151434,22.26930015481263,13.5413900791274,14.209656590464842,2.7396164745945493,6.953430245936164,5.529573140859598,5.598075576737761,2.8862884965743585,1.581141219741264
2024-03-07,24.72678603063418,22.322521932808105,13.541599469148997,14.038387637106148,2.7387572372935804,6.97406378836658,5.5973140229016565,5.592841947499895,2.878665802638386,1.5890621316024742
2024-03-08,24.702166822633863,22.279079340520752,13.610009698403507,14.013467694372908,2.7332289750001633,7.032603101990599,5.630509462392591,5.573235621602659,2.863305265607527,1.5623940174754316
2024-03-11,24.846249446463553,22.43005698673365,13.666939701191334,13.60533311600217,2.7102284880592196,7.009939011448315,5.726438077688667,5.576770088526685,2.8646691680265954,1.5633759158598122
2024-03-12,24.793658461881133,22.364034478920175,13.684660429247716,13.65262497833169,2.7076397082610613,7.037923964646095,5.783145706004957,5.567104691456055,2.8562218604144554,1.5529857208366646
2024-03-13,24.68778384246814,22.368197259831412,13.781802117563455,13.528524427403651,2.794551801807152,7.0484450131546055,5.832118351093576,5.567541162505587,2.8519970011101843,1.5390390230622384
2024-03-14,24.59811051789008,22.40762421550587,13.968982505418575,13.296525429643083,2.7907080992092848,7.055055548856211,5.947524642802646,5.551697407981428,2.861554086664893,1.5222175460279284
2024-03-15,24.55278259154866,22.462888809791657,14.100347869838783,13.183756615236133,2.8723510692064784,7.055581322615721,5.965430739628244,5.5615053506855485,2.7298620096297737,1.5154936218189987
2024-03-18,24.38524713141773,22.53764017784378,14.09440669914577,13.02548088930636,2.8477280530368327,7.047708636065328,6.120294970271212,5.5598108774178305,2.8717426917217317,1.5099398737734222
2024-03-19,24.397116336246587,22.564713111004753,14.113083220170669,12.965650624552543,2.8345969287004555,7.062510782507278,6.211735676337091,5.567763974005561,2.76261498259297,1.5202143638820913
2024-03-20,24.223945317516755,22.52436266737051,14.201789075605168,12.887071605790352,3.033953918718212,7.03457568640031,6.164050220225809,5.557804535695096,2.865573711532708,1.5068732611450821
2024-03-21,24.201260836814917,22.535114471133276,14.148057515251306,12.885968204757525,3.128144464146701,7.0400918763910205,6.153829609651688,5.5632542539410155,2.8591152368842505,1.4851635310282985
2024-03-22,24.090959711511047,22.61164126814895,14.198677702138218,12.527139832311166,3.2199035940906238,7.385003315238607,6.1682464000950965,5.581210058085998,2.728108319250336,1.4891097991299584
2024-03-25,24.19360075269694,22.634137085989593,14.355306785648638,12.411558312865125,3.180570946738988,7.035254474167201,6.197451793538271,5.596537444241973,2.8791226566208974,1.516459747492374
2024-03-26,24.119765407431927,22.67593727090742,14.355778011306903,12.740706319854242,3.1584737567853223,7.025779365916581,6.203465016285609,5.6042784296663175,2.5849378691605933,1.530878552685087
2024-03-27,24.153593558601408,22.684270208564268,14.322835297601241,12.85445754356097,3.1219906105020936,7.055347453783652,6.196479392463532,5.611599293585923,2.4413096457179857,1.5581169956189271
2024-03-28,24.142664012768464,22.66794555340443,14.347862797874564,12.840321705116747,3.093754534118647,7.051531563515205,6.182847063067166,5.6091233723376845,2.5031146338258727,1.5608347639712223
2024-04-02,24.022076146989175,22.6505502788963,14.301055631257539,12.864821621711478,3.0952185772478593,7.075400596663672,6.201140380315146,5.595141789888524,2.631641813430857,1.5629531635994496
2024-04-03,24.138440791466262,22.762524135606572,14.166970148665058,12.818279597083007,3.1018897728700536,7.041367975580694,6.191420194576958,5.588625622561889,2.63229276831757,1.558188993271935
2024-04-05,24.337052573554317,22.675130157637575,14.204865227301905,12.688234586050177,3.1141656600783882,7.046133398423768,6.177200186181347,5.566010329316846,2.640399137477327,1.5508087439783536
2024-04-08,24.424815780102694,22.653212756903454,14.163613238606201,12.602450048816896,3.1331069784593906,7.10159789533555,6.174167135896095,5.560612632589277,2.6319497490374655,1.5544737842529759
2024-04-09,24.432239708954082,22.60281077689098,14.130848890470485,12.71709013528603,3.125859236936142,7.130080823500001,6.158547576639166,5.545052128017035,2.6264771574038432,1.530993565902235
