date,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCOM INTERNATIONAL SECURITIES LTD,REALORD ASIA PACIFIC SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,69.0897843620877,0.0,0.0,30.9102156379123,0.0,0.0
2024-03-05,0.0,69.07836655418662,0.0,21.36368986894766,0.0,0.0,9.55794357686573,0.0,0.0
2024-03-06,0.0,67.23820912212513,0.0,20.812167905633274,0.0,0.0,9.334658642247707,2.6149643299938927,0.0
2024-03-07,0.0,67.21800036875672,0.0,20.8250928511915,0.0,0.0,9.3403485171234,2.61655826292838,0.0
2024-03-11,0.0,58.42719457718615,0.0,18.10817363130252,0.0,13.067906301675599,8.121585398151417,2.2751400916843125,0.0
2024-03-12,0.0,58.42707313880763,0.0,18.10834383989597,0.0,13.067879140601663,8.121568517789989,2.2751353629047495,0.0
2024-03-13,0.0,58.42653601051101,0.0,18.108929738204782,0.0,13.06785197964063,8.12155163749873,2.2751306341448436,0.0
2024-03-15,0.0,48.02961286411733,0.0,14.887553325024117,17.80751566559198,10.727602295504242,6.676665015956999,1.871050833805336,0.0
2024-03-18,0.0,45.679256831584155,0.0,14.160647620876482,16.87629253753225,10.24229263132446,6.349938670236617,1.7959030614966218,4.895668646949413
2024-03-19,0.0,45.6891457035928,0.0,14.16795957487336,16.809261703560637,10.286398078933344,6.352488501166698,1.7971119251118617,4.897634512761303
2024-03-20,0.0,45.62501014851838,0.0,14.251532481899694,16.79241777869769,10.297041200868417,6.342062693509853,1.7992089178970594,4.892726778608907
2024-03-21,0.0,45.63197651995405,0.0,14.255332849344091,16.794981771980513,10.283019807893906,6.343031047582488,1.7981841661266373,4.893473837118311
2024-03-22,0.0,45.627634796136114,0.0,14.26455756743823,16.803552279662803,10.27656606495607,6.369020212000322,1.762698094689808,4.895970985116654
2024-03-25,0.0,45.620140578930865,0.0,14.269684510658735,16.8013371833744,10.279088551849384,6.370583552313271,1.7619928722484528,4.897172750624893
2024-03-26,0.0,45.5961314743413,0.0,14.291196021930588,16.824748524810406,10.24278618213227,6.3794604592559745,1.761680761986068,4.903996575543391
2024-03-27,0.0,45.59605725177322,0.0,14.291498323549215,16.824721137047398,10.242769508658663,6.379450074604405,1.7615151116768233,4.903988592690286
2024-03-28,0.0,45.604297432327165,0.0,14.294569538326693,16.825482354943112,10.228339393907582,6.380602977368769,1.761833455047799,4.904874848078885
2024-04-02,0.0,45.603851941017936,0.0,14.295569573019593,16.825317993104765,10.195677391620135,6.380540647646921,1.7942155193979719,4.90482693419268
2024-04-03,0.0,45.604000437153935,0.0,14.295616122526994,16.825047158112433,10.195710590980104,6.380561424085564,1.794221361756905,4.904842905384069
2024-04-08,0.0,45.60392618896505,0.0,14.295755658427817,16.825019765136652,10.195693991273092,6.3805510358493285,1.7942184405726824,4.904834919775373
2024-04-09,0.0,45.602960984510005,0.0,14.295453089587745,16.824663664568334,10.195478200000608,6.380415991856407,1.7962969602483674,4.904731109228531
2024-04-10,0.0,45.5975417490486,0.0,14.294079862838302,16.81973412067285,10.218684803548067,6.379657774059688,1.7861534351419492,4.904148254690537
2024-04-11,0.0,45.60115053046555,0.0,14.296290039636641,16.82020860028172,10.219566523084142,6.38020824302913,1.7780046542276016,4.904571409275212
2024-04-15,0.0,45.60085357415847,0.0,14.29684814523084,16.820099066487675,10.219499972905048,6.380166694887114,1.7779930757983307,4.904539470532514
2024-04-16,0.0,45.59966578760494,0.0,14.297778121763471,16.819660945576896,10.219233780855992,6.380000507730175,1.7792491367471857,4.904411719721339
2024-04-17,0.0,45.602858104289794,0.0,14.29894188090574,16.820838447283165,10.219949203435117,6.380447155347399,1.7722101436202349,4.904755065118544
2024-04-18,0.0,45.5990416731602,0.0,14.303550942991672,16.815579915697505,10.22219594863628,6.381849827585998,1.7719483695028324,4.905833322425511
2024-04-19,0.0,45.60475745889618,0.0,14.310307262311998,16.817323478469635,10.187227568067168,6.384428196193246,1.7881406791207664,4.907815356940999
2024-04-22,0.0,45.60468316447795,0.0,14.31044685884152,16.81729608147569,10.177436410555266,6.384417795362171,1.7979123276369697,4.90780736165044
2024-04-23,0.0,45.60453457636766,0.0,14.310563141707448,16.817241287755582,10.177403250670386,6.384396993801681,1.798069378549769,4.907791371147472
2024-04-24,78.78801444691071,9.673611526725496,0.0,3.03558419714724,3.567264980997288,2.1588257902940353,1.3542551617758591,0.38140559546911157,1.0410383006802637
2024-04-25,78.7834951740017,9.672883878507612,0.0,3.035548292965539,3.5665074964818957,2.1651635879431828,1.3541774818304075,0.3812455014459022,1.0409785868237522
2024-04-26,78.78989309241715,9.673669402452187,0.0,3.0358984772990403,3.5667971285163738,2.1588772659962547,1.354287453050009,0.3795140567531854,1.0410631235158094
2024-04-29,78.79030150546926,9.67371954661016,0.0,3.0359833283841513,3.566815617264668,2.1588884566911366,1.3542944730959876,0.37892855254358593,1.0410685199410492
2024-04-30,78.79302436735799,9.674053854282201,0.0,3.0361228052611073,3.5669388804851767,2.158963064288625,1.3543412752624528,0.3754512555233659,1.0411044975390829
2024-05-02,78.77421323355593,9.67174425996313,0.0,3.03550160820708,3.530500715184052,2.163595594130799,1.3540179383281596,0.4295707075312353,1.040855943099621
2024-05-03,78.7718998939114,9.671460232633503,0.0,3.0355161127244714,3.529395112865562,2.167747043361494,1.353978175273125,0.4291780526476852,1.0408253765827549
2024-05-06,78.76890636193605,9.671092692616137,0.0,3.035400755413585,3.526911739209229,2.1676646634760584,1.3539267206685377,0.4353112441016851,1.0407858225787283
