date,DAIWA CAPITAL MARKETS HONG KONG LTD,BOOM SECURITIES (H.K.) LTD,FUTU SECURITIES INTERNATIONAL,KINGKEY SECURITIES GROUP LTD,THE HONGKONG AND SHANGHAI BANKING,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GLORY SUN SECURITIES LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,43.81607050862995,29.911801937894406,0.0,17.553673372766692,0.0,8.718454180708957,0.0
2024-03-05,0.0,40.732511487599446,27.833893704626174,0.0,16.31833238366187,0.0,8.10489235906931,7.010370065043209
2024-03-08,0.0,39.29987675391082,26.88983620530514,0.0,15.744387666900984,0.0,7.811101420108859,10.2547979537742
2024-03-11,0.0,39.29987675391082,26.907291180545606,0.0,15.744387666900984,0.0,7.793646444868391,10.2547979537742
2024-03-12,0.0,39.24849563993927,27.00285343449003,0.0,15.723803272140893,0.0,7.783456941253779,10.241390712176026
2024-03-13,0.0,39.224563737137345,27.04736369120026,0.0,15.714215629979073,0.0,7.778710952090527,10.2351459895928
2024-03-14,0.0,39.20407389442945,27.08547215948332,0.0,15.706006952154278,0.0,7.774647565561957,10.229799428370995
2024-03-15,0.0,40.490776627303,28.073346159938552,0.0,16.221488126949726,0.0,8.029816461954603,7.184572623854119
2024-03-19,0.0,40.61128433461779,28.18395355172963,0.0,16.035279490772915,0.0,7.963527441143128,7.205955181736535
2024-03-21,41.61446868738921,23.651388678444228,16.57147284734441,0.0,9.338700659621106,0.0,4.627331429204833,4.196637697996211
2024-03-22,41.82315554552555,23.769994878392218,16.654574920067784,0.0,9.385532066129551,0.0,4.6347003116207794,3.732042278264113
2024-03-25,41.80866160163275,23.773759716145005,16.66249231193673,0.0,9.387018604331738,0.0,4.635434383916348,3.732633382037424
2024-03-26,41.80645441397603,23.772504637723713,16.66689191506356,0.0,9.38652303927887,0.0,4.635189667315438,3.7324363266423863
2024-03-27,41.81528456317618,23.777525746682954,16.680972960934863,0.0,9.377944864781018,0.0,4.615047191339308,3.7332246730856866
2024-03-28,41.79416306573297,23.777525746682954,16.52256173011086,0.0,9.536356095605022,0.0,4.636168688782508,3.7332246730856866
2024-04-02,41.798577308451726,23.780037096646634,16.57711614129983,0.0,9.53736331257913,0.0,4.573287169819229,3.7336189712034575
2024-04-03,41.73026115941523,23.741170688672998,16.518388477804077,0.0,9.558681425397323,0.0,4.565812528623321,3.885685720087053
2024-04-05,41.73246142032981,23.737149881784564,16.519259422857616,0.0,9.559185414410354,0.0,4.566053264688013,3.885890595929636
2024-04-09,41.72366176850382,23.732144697637928,16.531590594758118,0.0,9.562441244228165,0.0,4.565090472713115,3.885071222158852
2024-04-10,41.71486582686148,23.727141623819378,16.549186923243887,0.0,9.560425345537173,0.0,4.564128086678716,3.8842521938593695
2024-04-11,41.717064464570676,23.72839219450375,16.54478853670094,0.0,9.560929240521947,0.0,4.564368645144435,3.8844569185582554
2024-04-12,41.72366176850382,23.732144697637928,16.5474049959338,0.0,9.546626843052485,0.0,4.565090472713115,3.885071222158852
2024-04-15,42.74669536450622,24.314039485913714,16.95313523436358,0.0,9.780703133938191,0.0,4.677023144114011,1.5284036371642784
2024-04-16,42.6246872538108,24.244642074119543,16.899362095571153,0.0,9.720475109681425,0.0,4.6636739307391215,1.847159536077966
2024-04-18,42.6215972519507,24.24594779230251,16.900272226737506,0.0,9.720998615083525,0.0,4.6639250973198525,1.8472590166059
