date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,FULBRIGHT SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,DBS BANK LTD
2024-03-01,28.911264774282248,25.39941997869567,18.83936214306165,10.053628092850731,6.824198140164341,0.0,4.670483915579192,3.71745591763821,1.5841870377279625,0.0
2024-03-04,27.691328957119048,26.401381082720913,18.919742145030817,10.138499967602696,6.869203523634136,0.0,4.687503633200662,3.6994485984132885,1.5928920922784398,0.0
2024-03-05,27.7068888724898,26.38810089051023,18.92606056533083,10.141507083433085,6.854012918639117,0.0,4.689069067754968,3.696518048128544,1.5978425537134286,0.0
2024-03-06,27.558314872542205,26.209895748788814,18.823714750430145,10.091436487446408,6.8115496173831165,0.0,4.664339949195859,4.247152012577937,1.5935965616355092,0.0
2024-03-07,26.582875983443632,25.14008754586458,18.161579686785736,9.732108585362079,6.630581929491982,3.635887734164213,4.510048738107787,4.0711303339713325,1.5356994628086553,0.0
2024-03-08,26.597466223036005,25.092771270659618,18.170832835908552,9.737618874890753,6.616767591971967,3.6727805610433704,4.519326828494443,4.05223197004463,1.5402038439506633,0.0
2024-03-11,26.624027748141447,25.497385356789216,18.1788053047564,9.74118111762705,6.612078093868864,3.7377809476477006,4.521735473024581,3.5490774632643816,1.5379284948803595,0.0
2024-03-12,25.2209941648726,26.83129591025689,18.208147003104717,9.756903976919402,6.63082369949457,3.7771998182806175,4.592511709231583,3.4417129127512123,1.5404108050884047,0.0
2024-03-13,25.23756406620366,26.770443020808727,18.217214242897064,9.761762691426407,6.6278095904780026,3.8033734972363966,4.596013310782968,3.443427049808937,1.5423925303578379,0.0
2024-03-14,25.233483218209678,26.67639785330017,18.21997707125262,9.762462066705337,6.637334122206857,3.817007940771952,4.59512786620958,3.51048351825234,1.5477263430914605,0.0
2024-03-15,25.23491539501502,26.736468630975065,18.221013726217585,9.76304090246976,6.635707357004159,3.817225115591526,4.599944783931504,3.4438696853187927,1.5478144034765913,0.0
2024-03-18,25.246002110132586,26.715462007423202,18.22901895172255,9.764838781737028,6.636009740051543,3.8189021763913638,4.597104421641814,3.445382716034589,1.5472790948653197,0.0
