date,BLUESTONE SECURITIES (HK) CO LTD,DBS BANK LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,KINGKEY SECURITIES GROUP LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,SINO-RICH SECURITIES & FUTURES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14968152866241,22.85031847133758
2024-03-04,0.0,0.0,0.0,0.0,57.15017573358689,10.148647478943653,0.0,25.320346916943432,7.3808298705260205
2024-03-05,0.0,0.0,0.0,0.0,57.22350158945974,10.16166858085267,0.0,25.224530072842565,7.390299756845025
2024-03-06,0.0,0.0,0.0,0.0,57.440779000979724,10.195680342708526,0.0,24.588051970388,7.7754886859237455
2024-03-07,0.0,0.0,0.0,0.0,57.455571886713116,10.172552783121763,0.0,24.594384200722107,7.777491129443012
2024-03-08,0.0,0.0,0.0,0.0,57.455571886713116,10.172552783121763,0.0,24.87767030146341,7.49420502870171
2024-03-11,0.0,0.0,0.0,0.0,58.02340324945362,10.273087758576867,0.0,24.08322340161096,7.620285590358544
2024-03-12,0.0,0.0,0.0,0.0,58.02340324945362,10.273087758576867,0.0,24.109231202260652,7.594277789708856
2024-03-13,0.0,0.0,0.0,0.0,58.008316562121905,10.270416649088881,0.0,24.102962551809508,7.618304236979704
2024-03-14,0.0,0.0,0.0,0.0,58.008316562121905,10.296417687440348,0.0,23.972957360052174,7.72230839038557
2024-03-15,0.0,0.0,0.0,0.0,58.15953739836175,10.323259233364231,0.0,23.488006811261286,8.029196557012737
2024-03-18,0.0,0.0,0.0,0.0,58.3420463950022,10.355654396204603,0.0,23.56171394078753,7.74058526800567
2024-03-19,0.0,0.0,0.0,0.0,58.098954550849314,10.364589168972058,0.0,23.489581804063683,8.046874476114944
2024-03-20,0.0,0.0,0.0,0.0,58.28108292312677,10.423203342267284,0.0,23.61546345249063,7.680250282115315
2024-03-21,0.0,0.0,0.0,0.0,58.23544386351841,10.415041084896822,0.0,23.779690434632574,7.569824616952192
2024-03-22,0.0,0.0,0.0,0.0,57.96310353578179,10.366334738481765,0.0,23.668483783548727,8.002077942187714
2024-03-25,0.0,0.0,0.0,0.0,57.97816671139769,10.36902869224086,0.0,23.674634636523216,7.97816995983823
2024-03-26,0.0,0.0,0.0,0.0,58.17707954576306,10.390630833943305,0.0,23.593748463948668,7.838541156344976
2024-03-27,0.0,0.0,0.0,0.0,58.65056060313989,10.475196214544749,0.0,23.12942877858829,7.744814403727067
2024-03-28,0.0,0.0,0.0,0.0,57.93568089109953,10.373449794252478,0.0,23.65145074873893,8.039418565909067
2024-04-02,0.0,0.0,0.0,0.0,57.99584254959485,10.384221807877609,0.0,23.520247694687974,8.099687947839568
2024-04-03,0.0,0.0,0.0,0.0,59.414889666563184,10.186176184429776,0.0,22.12765810321422,8.271276045792817
2024-04-05,0.0,0.0,0.0,0.0,59.65286651182466,10.226975285248646,0.0,21.975966490255907,8.14419171267078
