date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,SINOPAC SECURITIES (ASIA) LTD
2024-03-01,48.686283845895666,0.0,5.727916990234689,17.262575516441245,21.265395090653687,0.0,4.147383791094419,0.0,2.910444765680294,0.0
2024-03-04,42.354418143736105,0.0,5.005098768629714,14.792105454900387,18.4079272891306,0.0,3.613231414432125,4.80826904177349,2.558786449130921,8.460163438266658
2024-03-05,42.442288557511205,0.0,5.005098768629714,14.792105454900387,18.3200568753555,0.0,3.613231414432125,4.80826904177349,2.558786449130921,8.460163438266658
2024-03-06,35.77296539958676,16.073002854310275,4.229854109586635,12.42242918366738,15.38520732350978,0.0,3.034396388454334,3.872692666976738,2.1488721505785557,7.0605799233295405
2024-03-07,35.81331459172378,15.938117711916997,4.256860687247559,12.432337406163326,15.409295087207598,0.0,3.0958986816345884,3.8964602682023113,2.150586107089676,7.0071294588141635
2024-03-08,35.86170057858384,15.945183266094276,4.258747803427432,12.437848806887125,15.416126208124147,0.0,3.0233858451813065,3.8952322032736677,2.1515394870889453,7.010235801339257
2024-03-11,35.80427051973661,15.943298505858571,4.258244408867467,12.51025517344929,15.40543879760653,0.0,3.0230284734707973,3.8918167151134315,2.1542402318281635,7.009407174069142
2024-03-12,35.79982023348021,15.940001247369173,4.213046991102996,12.507667908018608,15.402252774724271,0.0,3.0844467452395006,3.8910118424141977,2.153794710037927,7.007957547613118
2024-03-13,35.8006592585824,15.939059423998241,4.2127980610020845,12.506928885871194,15.404297000845249,0.0,3.0842644990786647,3.8907819399296946,2.1536674519428605,7.00754347874961
2024-03-14,35.80784498569179,15.908442301644984,4.213295950623717,12.508407017507366,15.40611755798903,0.0,3.102356765887029,3.8912417720697303,2.153921983172994,7.008371665413364
2024-03-18,35.80361353492251,15.906562384256992,4.2127980610020845,12.506928885871194,15.404297000845249,0.0,3.113807262479801,3.8907819399296946,2.1536674519428605,7.00754347874961
2024-03-19,35.775560581293725,15.909852531320551,4.21366944507835,12.509515845539406,15.401573483455008,0.0,3.111496441562063,3.915225816780374,2.1541129210814285,7.008992933889092
2024-03-20,35.775560581293725,15.909852531320551,4.21366944507835,12.509515845539406,15.398618596046118,0.0,3.1144513289709543,3.915225816780374,2.1541129210814285,7.008992933889092
2024-03-21,35.7935407813994,15.917848557868197,4.121183245515766,12.515802919577473,15.424095919860074,0.0,3.1337548351841558,3.9171935439801944,2.155195542310613,7.021384654304122
2024-03-28,35.7797083886987,15.892008075386249,4.114493059774051,12.495485199823129,15.399056978261397,0.0,3.1286676064279004,3.9344470937437657,2.1516968727225847,7.104436725162223
2024-04-02,35.64133952934078,15.895991770994499,4.106372486220307,12.691754560172305,15.34215288272209,0.0,3.1224927083167326,3.962030842156609,2.1474501739272625,7.090415046149411
2024-04-03,35.64218541936598,15.974585820588544,4.106130573715102,12.691006870051305,15.341249053697437,0.0,3.549417031080846,3.502287842286411,2.14732366444642,7.045813724767953
2024-04-17,35.540690191281044,16.04648528540313,4.009967650673726,12.722239742148497,15.329121475766874,0.0,3.4778531750344706,3.480793034015903,2.4195039417188244,6.973345503957535
2024-04-18,35.4824616437273,16.10954484614102,4.011028918018774,12.71972550211892,15.34494098832517,0.0,3.45524851808802,3.4817142514180563,2.4201442811799496,6.975191050982795
2024-04-19,35.49213680203417,16.108597455375296,4.0107930322880305,12.718977464194925,15.338157635163505,0.0,3.4550453174035454,3.481509494302807,2.4200019542324407,6.974780845005285
2024-04-23,35.500751610418554,16.063133571392502,4.006787215540506,12.765024813146091,15.334588617075898,0.0,3.466282195262315,3.4780323043987975,2.4175849548312587,6.967814717934077
2024-04-24,35.61583635054771,16.11520631545748,3.975570487734127,12.776935396272282,15.410823047121827,0.0,3.22996683065723,3.4598367328390403,2.4254221730208947,6.990402666349407
2024-04-25,35.607441397654355,16.070158850098778,3.9746334122534264,12.832850872549889,15.413083296972852,0.0,3.229205500244444,3.4590212201523522,2.424850480566768,6.988754969507137
