date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD
2024-03-01,25.662318293941127,16.886907622787074,15.841305968413376,9.621207931095958,8.819357045801965,8.109979609537984,8.423848715148392,4.588102805429916,0.0,2.0469720078442113
2024-03-04,24.849481385258336,16.18038323241497,15.214329592906095,9.248440124344533,8.44238595721498,7.590766400769581,8.270596586141998,4.401160405693825,3.840645622960015,1.9618106922956629
2024-03-05,24.564615162199473,16.31647287040188,15.199934517592345,9.211050567484106,8.470839435001649,7.865339154913263,8.139980719402084,4.407899904871979,3.85802945771699,1.9658382104162324
2024-03-06,24.639053020714563,16.278551937194848,15.202990922871507,9.207448811561306,8.442565132935353,7.859651244249652,8.142656974739603,4.407844206152333,3.8588052309012806,1.9604325186795526
2024-03-07,24.783275121057873,16.2338104055496,15.194219237719178,9.214425698779799,8.388939858672728,7.897517498614653,8.038478716825963,4.423972574642488,3.857083680094901,1.9682772080428093
2024-03-08,24.638184672168833,16.24884257984446,15.229584130174104,9.184433614859145,8.393362951808855,7.956875188040844,8.057758225179281,4.450319672385708,3.8669425867722236,1.973696378766543
2024-03-11,24.753623555811604,16.286630450591737,15.249619357080347,9.183881645705926,8.396782361619024,7.7731520230769275,8.040232652708543,4.467077695422632,3.8718403134710955,1.977159944512163
2024-03-12,24.85747064177542,16.292617457078244,15.243913715445528,9.16453682937804,8.394030171501841,7.662740943225139,8.064617141062474,4.469731508720681,3.8703916652931563,1.9799499265194733
2024-03-13,24.597913539026003,16.27313693319538,15.255970289233787,9.126173276746059,8.425162795521638,7.989960425345542,8.01961373501829,4.4573811467784425,3.872651380261174,1.9820364788736826
2024-03-14,24.628020034134064,16.226167208508617,15.260167462800814,9.077029989477488,8.43162066195093,8.069345300397842,8.011461885569984,4.444493898415266,3.8759561491365924,1.975737409608403
2024-03-15,24.83022029157246,16.12352705908979,15.221559572183699,9.107811536441677,8.417842345228943,8.02566258173678,7.989023179602099,4.441347583696142,3.868042735097437,1.974963115350977
2024-03-18,24.921225550752364,16.13721421485898,15.217978228111374,9.139424858052005,8.413514625094033,7.9070914591529835,7.976398441627778,4.444975851536472,3.866836185889784,1.9753405849242285
2024-03-19,24.73787405927726,16.143843488028963,15.230410298546824,9.221271879935589,8.41576544251555,7.962724482748676,7.975511333957193,4.460780297349606,3.8702435650486366,1.9815751525917056
2024-03-20,24.880243631995235,16.11956581041402,15.230289493546332,9.148626464285197,8.391200569753131,8.01569958574679,7.923380738016583,4.4432242720750486,3.8704445687491846,1.9773248654184812
2024-03-21,25.038138092567163,16.133361237567204,15.206040780242994,9.19323650181617,8.377969540143711,7.863205020837174,7.904850520095893,4.446756550733311,3.8644902940736627,1.971951461922719
