date,GRANSING SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,VALUABLE CAPITAL LTD
2024-03-13,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-14,0.0,71.63019315288398,0.0,28.369806847116024,0.0,0.0,0.0
2024-03-28,0.0,71.37117293966031,0.0,28.628827060339685,0.0,0.0,0.0
2024-04-05,0.0,71.34537391113676,0.0,28.654626088863232,0.0,0.0,0.0
2024-04-08,0.0,71.63019315288398,0.0,28.369806847116024,0.0,0.0,0.0
2024-04-09,0.0,71.60420655901602,0.0,28.39579344098398,0.0,0.0,0.0
2024-04-10,0.0,71.82187952113544,0.0,28.178120478864553,0.0,0.0,0.0
2024-04-24,0.0,71.80269892723456,0.0,28.197301072765434,0.0,0.0,0.0
2024-05-09,0.0,71.89834166127368,0.0,28.10165833872632,0.0,0.0,0.0
2024-05-10,0.0,71.9135843205793,0.0,28.0864156794207,0.0,0.0,0.0
2024-06-13,0.0,71.89424737611266,0.0,28.105752623887337,0.0,0.0,0.0
2024-06-18,0.0,63.45024792644857,0.0,24.804724122303043,11.74502795124839,0.0,0.0
2024-06-27,0.0,63.45100708014238,0.0,24.803824444629498,11.745168475228116,0.0,0.0
2024-07-04,0.0,63.45079951089916,0.0,24.8039653106468,11.745235178454038,0.0,0.0
2024-07-05,0.0,63.42472865064587,0.0,24.831909568802683,11.743361780551453,0.0,0.0
2024-07-15,0.0,62.65993151339393,0.0,25.53646003073291,11.803608455873157,0.0,0.0
2024-07-16,0.0,62.64421059573873,0.0,25.547211392517173,11.808578011744101,0.0,0.0
2024-07-19,0.0,62.64672255064529,0.0,25.54422592832389,11.809051521030819,0.0,0.0
2024-07-24,0.0,62.727211611253985,0.0,25.44856449436655,11.824223894379465,0.0,0.0
2024-07-25,0.0,62.807907764043755,0.0,25.35265693087491,11.839435305081327,0.0,0.0
2024-07-29,0.0,62.86856626414217,0.0,25.280564163768016,11.850869572089811,0.0,0.0
2024-07-30,0.0,62.909070397976855,0.0,25.232424907395494,11.858504694627655,0.0,0.0
2024-08-01,0.0,62.92934204280426,0.0,25.20833201081802,11.862325946377727,0.0,0.0
2024-08-05,0.0,62.96992455140721,0.0,25.160099605852853,11.869975842739942,0.0,0.0
2024-08-06,0.0,63.030896551554974,0.0,25.087634243215085,11.881469205229946,0.0,0.0
2024-08-08,0.0,63.09198674107488,0.0,25.01502841223625,11.892984846688872,0.0,0.0
2024-08-21,0.0,63.1123764613021,0.0,24.990795182774075,11.896828355923821,0.0,0.0
2024-08-26,0.0,58.22917627642028,0.0,23.057179900014233,10.976333871568986,0.0,7.7373099519965045
2024-09-11,0.0,58.26392132173621,0.0,23.070937998818188,10.982883392653745,0.0,7.682257286791856
2024-09-12,0.0,58.142494691701266,0.0,23.23126426142881,10.95999419315973,0.0,7.6662468537101995
2024-09-23,0.0,58.22917627642028,0.0,23.116813794417038,10.976333871568986,0.0,7.6776760575936995
2024-09-25,0.0,58.24162734834598,0.0,23.109923120841813,10.973062039454305,0.0,7.675387491357899
2024-09-26,0.0,58.27636945793384,0.0,23.123708578394865,10.979607655386515,0.0,7.620314308284777
2024-09-27,58.38842212705939,24.26419085616782,0.0,9.627883196354333,4.571514975181247,0.0,3.14798884523721
2024-10-08,58.392954300067466,24.222606458350455,0.0,9.664336224857644,4.571869821159641,0.0,3.148233195564798
2024-10-09,49.24436461888595,20.427582038838775,15.929123375105386,7.835989395358471,3.85558201604823,0.0,2.707358555763184
2024-10-10,49.275330012541005,20.429946943450783,15.939139781646668,7.788515841926663,3.8580064480785805,0.0,2.7090609723562986
2024-10-14,49.271134502655066,20.436721874113616,15.937782655910318,7.787852694765533,3.8576779611016527,0.0,2.7088303114538097
2024-10-15,49.281463197033375,20.503894936013513,15.94112368890626,7.716114856419833,3.85848664507194,0.0,2.698916676555075
2024-10-16,49.245331698331015,20.562178786180034,15.929436197250885,7.710457662500743,3.8556577334251383,0.0,2.69693792231219
2024-10-18,49.258229721440095,20.651376659370765,15.933608333555,7.602473415846111,3.8566675827008234,0.0,2.697644287087207
2024-10-21,49.23759612614831,20.68461470690576,15.926933964058742,7.599288844241199,3.8550520776669153,0.0,2.696514280979076
2024-10-24,49.22728580949208,20.70122329063895,15.923598875722758,7.597697558709195,3.8542448325783214,0.0,2.6959496328586905
2024-10-28,49.21697980987743,20.759696006284514,15.920265183824483,7.5961069394657255,3.853437925492014,0.0,2.653514135055837
2024-10-29,49.19123368011345,20.79068548511421,15.911937057741108,7.623520190666551,3.851422135143838,0.0,2.631201451220849
2024-10-30,49.18608768618598,20.78851052967499,15.910272477990862,7.6436450812786685,3.8510192301252633,0.0,2.6204649947442404
2024-10-31,49.180942768811434,20.817716350079152,15.908608246474262,7.6428455478285935,3.850616409395281,0.0,2.599270677411275
2024-11-01,49.18158582462082,20.816681017598032,15.908816256373544,7.642945480362477,3.8506667573779003,0.0,2.5993046636672337
2024-11-07,49.16615712503893,20.810150640174705,15.903825519645407,7.640547820592869,3.8494587690710285,0.0,2.6298601254770637
2024-12-04,49.16872790269522,20.8060099973577,15.904657091638953,7.64094732608135,3.849660047819888,0.0,2.6299976344068865
2024-12-05,49.17387026461007,20.797727412563546,15.906320496538479,7.64174646240639,3.8500626684704407,0.0,2.6302726954110693
2024-12-10,49.1742559851157,20.797890550219584,15.906445265932298,7.641022003012374,3.8500928684142566,0.0,2.6302933273057842
2024-12-18,47.90095274624091,20.259356293445602,15.494568606685503,7.443167701613403,3.7503997338439143,2.589369606853226,2.5621853113174398
2024-12-20,47.91938216306422,20.236575508677102,15.50052998839043,7.446031386617448,3.751842662971341,2.5824672035572775,2.5631710867221793
2025-01-02,47.91938216306422,20.256959089551867,15.50052998839043,7.42564780574268,3.751842662971341,2.5824672035572775,2.5631710867221793
2025-01-07,47.91947349110255,20.256997696650973,15.500559530361402,7.4254713712061,3.75184981348988,2.5824721254000282,2.5631759717890703
2025-01-10,47.91459012718082,20.265124123593672,15.498979903799121,7.424714658405349,3.7514674710582097,2.582208951573455,2.562914764389369
2025-01-20,47.914864545836814,20.285621846154793,15.499068670273447,7.424757181574434,3.7514889566361656,2.5816510158962878,2.5425477836280614
2025-01-21,47.900220256359994,20.30998506705116,15.494331667458558,7.422487942279014,3.7503423836306733,2.5808619821556467,2.5417707010649564
2025-01-23,47.8956891746739,20.318250612091322,15.492865993979793,7.421785818176025,3.749987623097212,2.5798905136123316,2.541530264369421
2025-01-27,47.89636004859515,20.318535209404693,15.493083002231266,7.420489077057119,3.7500401490957875,2.579926650085052,2.541565863530929
2025-02-03,47.8914813941736,20.326651448929407,15.49150489905567,7.419733236700793,3.7496581753939067,2.5796638624630712,2.5413069832835533
2025-02-05,47.881727066319606,20.322511405300876,15.48834965696797,7.438589581264179,3.748894461386353,2.579138447789416,2.540789380971598
2025-02-07,47.87685139228007,20.320442015841724,15.48677251785949,7.45819761813585,3.748512721033149,2.5788758207050413,2.5303479141446763
2025-02-12,47.894530436711044,20.338132063328807,15.492491175863801,7.424025558185066,3.749896899838105,2.5798280984528543,2.521095767620318
2025-02-19,47.89636004859515,20.338908997308206,15.493083002231266,7.420489077057119,3.7500401490957875,2.579926650085052,2.521192075627419
2025-02-21,47.897274906957755,20.33929748655798,15.493378932371527,7.418720735168765,3.7501117778288897,2.579975928724772,2.5212402323903085
2025-02-25,47.90947635888449,20.34447876171378,15.49732574810568,7.405326070181201,3.751067089141818,2.5806331571856314,2.5116928147873994
2025-02-27,47.89544522518025,20.367807283620447,15.492787083395573,7.403157290054367,3.7499685230989113,2.579877373327782,2.5109572213226685
2025-03-05,47.89544522518025,20.3779939830019,15.492787083395573,7.403157290054367,3.7499685230989113,2.579877373327782,2.500770521941213
2025-03-07,47.90032468725888,20.380070039470553,15.494365447824809,7.4039115042617745,3.7503505600362126,2.58014020445403,2.4908375566937386
2025-03-10,47.89544522518025,20.398367381764814,15.492787083395573,7.403157290054367,3.7499685230989113,2.579877373327782,2.4803971231783026
2025-03-11,47.89544522518025,20.418740780527724,15.492787083395573,7.403157290054367,3.7499685230989113,2.579877373327782,2.4600237244153913
2025-03-13,47.88568928275231,20.434950885259777,15.489631319040043,7.401649322522857,3.7492046826784717,2.579351871685465,2.4595226360610827
2025-03-31,48.05699413548365,20.50805427594716,15.146422183851005,7.46901199895042,3.7626169769493867,2.588579169008311,2.46832125981007
2025-04-01,47.807784589832444,20.960948526620335,15.067877259046986,7.430279882632986,3.743105143465971,2.575155552941687,2.4148490454595852
2025-04-02,47.79806432272603,20.977018727294773,15.064813661916492,7.428769159938883,3.742344096240837,2.5746319729425324,2.4143580589404454
2025-04-03,47.75528143219522,21.049654701848652,15.049425095227686,7.422119848460443,3.7389944146152994,2.5723274821767177,2.4121970254759852
2025-04-07,47.740734512704016,21.073704069424583,15.04484083211199,7.419858968058285,3.7378554651819327,2.5715439156335833,2.4114622368856105
2025-04-09,47.76013237557825,21.04163498876925,15.050953803820635,7.422873781472399,3.7393742186845214,2.572588777149848,2.412442054525095
2025-04-14,47.76383188217558,21.03551886266692,15.052119652827406,7.4234487583235875,3.739663871139483,2.572788050239764,2.412628922627264
2025-04-29,47.7663187578741,21.03661409976587,15.05290335775854,7.4186286597999915,3.7398585807939506,2.5729220052393416,2.412754538768198
2025-04-30,47.7760261163309,21.02056668577567,15.055962499273088,7.420136318115123,3.740618617337806,2.573444889916991,2.413244873250426
