date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,0.0,80.58763141527602,19.412368584723982,0.0,0.0
2024-03-20,0.0,76.8988194128289,18.52470699842922,4.576473588741875,0.0
2024-03-21,0.0,76.90615189143189,18.526473371680847,4.567374736887272,0.0
2024-03-22,0.0,76.90659229329805,18.526120070082598,4.5672876366193496,0.0
2024-03-25,0.0,76.91612734055613,18.51658502282452,4.5672876366193496,0.0
2024-03-27,0.0,76.91759416634683,18.516938142585047,4.565467691068113,0.0
2024-04-26,0.0,75.5474649090973,18.043806558106322,4.484143243464722,1.9245852893316633
2024-05-09,0.0,75.5474649090973,18.04287002025263,4.484143243464722,1.9255218271853527
2024-07-04,0.0,75.5474649090973,18.040060406691563,4.484143243464722,1.9283314407464207
2024-11-18,58.84362640163467,31.092596902082033,7.424634658348764,1.8455107459661972,0.7936312919683376
