date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS
2024-03-01,0.0,22.073679566641296,22.610014998030177,17.43890493489428,18.473097612624546,0.0,8.711289034300487,2.4604525449416044,6.178075964208336,2.0544853443592737
2024-03-04,55.10562404400473,9.70492605015946,10.062537872202999,8.01380263691271,8.282659280984666,0.0,3.950682700876677,1.1427923862149196,2.805937031392679,0.9310379972511572
2024-03-05,55.11000109148526,9.610676496088395,10.23344511717489,7.9973633936213915,8.212032968008142,0.0,3.9536703566879794,1.1421242427183602,2.8092688896845663,0.9314174445310084
2024-03-06,54.755564032256046,9.56376692569985,10.172934022396019,8.00329893012471,8.68376053600018,0.0,3.919807722432511,1.1838295998118724,2.7909722996260102,0.9260659316528074
2024-03-07,54.71042350437221,9.541701983595843,10.183737065439477,7.994892149391763,8.773594654753927,0.0,3.9010215701216473,1.179590485785485,2.7839836979896706,0.9310548885499784
2024-03-08,54.80820401210572,9.523161711744203,10.216971176633436,8.016099034663736,8.5986980498414,0.0,3.916978152787223,1.2092840738852555,2.7846453273032177,0.9259584610358075
2024-03-11,55.02923344142216,9.542083798786381,10.345779923339137,8.062433223596774,8.154526188681055,0.0,3.924033702759648,1.2135272606173708,2.7963780368811015,0.9320044239163784
2024-03-12,54.99134038314912,8.737475771091137,10.34109993595175,8.090049988141175,8.974254914756969,0.0,3.910860422140497,1.2242575802964955,2.7931224805945134,0.9375385238783375
2024-03-13,55.375315798420345,8.690549283304062,10.528002132026847,8.090849795021782,8.397571525884858,0.0,3.9335157217155245,1.2291549110821687,2.8124378455679793,0.9426029869764355
2024-03-14,49.67709961286689,7.8992844518781595,9.588919566127137,7.253739049656274,7.59766886782674,9.992283657374838,3.5153926643973126,1.1045012111593544,2.526777672586395,0.8443332461268995
2024-03-15,49.319671861307306,8.02109648199015,9.512051804588552,7.241720414036688,8.00987366949239,9.933334938297044,3.5172098964738265,1.0979852900896336,2.5044937852253915,0.8425618584990194
2024-03-18,49.23099896406041,8.000703519580462,9.475442657429003,7.312541701571466,8.121881155297961,9.914607721604774,3.50994524870025,1.0993653444447247,2.4952565385209824,0.8392571487899643
