date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,98.96720613287904,0.0,0.0,0.0,1.032793867120954
2024-03-04,0.0,98.92317939609237,0.0,0.0,0.0,1.0768206039076376
2024-03-05,0.0,99.04587155963303,0.0,0.0,0.0,0.9541284403669725
2024-03-06,0.0,98.97170387948083,0.0,0.0,0.0,1.0282961205191816
2024-03-07,0.0,98.92787524366472,0.0,0.0,0.0,1.0721247563352825
2024-03-08,0.0,98.85918253079508,0.0,0.0,0.0,1.140817469204927
2024-03-11,0.0,98.81255918991768,0.0,0.0,0.0,1.1874408100823195
2024-03-12,0.0,98.79218998925568,0.0,0.0,0.0,1.2078100107443221
2024-03-13,0.0,98.92391483743191,0.0,0.0,0.0,1.0760851625680805
2024-03-14,0.0,98.9084577780754,0.0,0.0,0.0,1.0915422219245967
2024-03-15,0.0,98.84789369522194,0.0,0.0,0.0,1.1521063047780606
2024-03-18,0.0,98.34475755267835,0.0,0.0,0.0,1.6552424473216552
2024-03-19,36.29131362783779,62.65442080072441,0.0,0.0,0.0,1.0542655714378113
2024-03-20,36.87164620983162,62.12298772589897,0.0,0.0,0.0,1.0053660642694136
2024-03-21,36.08813763960157,62.92785994566857,0.0,0.0,0.0,0.9840024147298522
2024-03-25,34.78513863431381,64.26638736143843,0.0,0.0,0.0,0.9484740042477671
2024-03-26,34.7063775436152,64.34729600278672,0.0,0.0,0.0,0.9463264535980725
2024-03-27,34.00841961542837,65.06428490158153,0.0,0.0,0.0,0.9272954829901012
2024-03-28,33.31568534566835,65.77590771031294,0.0,0.0,0.0,0.9084069440187255
2024-04-02,33.31568534566835,66.13815587817315,0.0,0.0,0.0,0.5461587761584975
2024-04-03,34.34151946000287,65.09550481114462,0.0,0.0,0.0,0.562975728852506
2024-04-05,33.64191451644672,65.80657868820168,0.0,0.0,0.0,0.5515067953515856
2024-04-10,34.71242342420811,64.71852045408356,0.0,0.0,0.0,0.5690561217083296
2024-04-12,35.82644132805945,63.586239961644495,0.0,0.0,0.0,0.5873187102960565
2024-04-17,29.077303400815126,70.48618070867019,0.0,0.0,0.0,0.43651589051468787
2024-04-19,27.761593910140554,71.82164196559569,0.0,0.0,0.0,0.4167641242637522
2024-04-22,28.42277130728203,71.15053880483292,0.0,0.0,0.0,0.42668988788505496
2024-04-23,29.06241652568783,70.5012910693616,0.0,0.0,0.0,0.43629240495058325
2024-04-24,28.73302669512973,70.83562578401813,0.0,0.0,0.0,0.43134752085213146
2024-04-25,29.736932012299285,69.81664958432981,0.0,0.0,0.0,0.44641840337091443
2024-04-26,31.104228707564026,68.42882668254914,0.0,0.0,0.0,0.46694460988683745
2024-05-02,31.14875342955982,68.3836335440773,0.0,0.0,0.0,0.4676130263628772
2024-05-03,28.635346756152124,70.93477211913847,0.0,0.0,0.0,0.4298811247093916
2024-05-06,28.41472969443719,71.1587011404196,0.0,0.0,0.0,0.42656916514320536
2024-05-08,29.75455229152898,69.79876478497687,0.0,0.0,0.0,0.4466829234941544
2024-05-09,28.763411248925998,70.8047850895552,0.0,0.0,0.0,0.43180366151880334
2024-05-13,29.455825286526487,70.10197635592455,0.0,0.0,0.0,0.4421983575489577
2024-05-14,28.774187860889494,70.79384669634592,0.0,0.0,0.0,0.4319654427645789
2024-05-20,28.79957647681652,70.768076940045,0.0,0.0,0.0,0.4323465831384833
2024-05-21,30.433845557016316,69.1437315459385,0.0,0.0,0.0,0.422422897045195
2024-05-23,30.44040613076376,69.13707991118584,0.0,0.0,0.0,0.42251395805039993
2024-05-24,30.45353576743083,69.12376803467835,0.0,0.0,0.0,0.4226961978908322
2024-05-27,30.572214163545432,69.00344237805538,0.0,0.0,0.0,0.4243434583991859
2024-05-28,33.551928148834556,65.98236985292371,0.0,0.0,0.0,0.4657019982417373
2024-05-29,35.33430087078371,64.17525773195877,0.0,0.0,0.0,0.4904413972575318
2024-06-03,48.79687186685382,50.54809170509993,0.0,0.0,0.0,0.6550364280462535
2024-06-04,48.81318534367478,50.53155924043862,0.0,0.0,0.0,0.6552554158866006
2024-06-11,50.95801486755314,48.35793808676229,0.0,0.0,0.0,0.6840470456845705
2024-06-19,50.95801486755314,48.34048790702544,0.0,0.0,0.0,0.7014972254214219
2024-06-28,49.57389739585102,49.74365938953587,0.0,0.0,0.0,0.6824432146131124
2024-07-02,48.721970101441535,50.60731446876668,0.0,0.0,0.0,0.6707154297917779
2024-07-09,48.73823352693771,50.590827158021234,0.0,0.0,0.0,0.6709393150410575
2024-07-18,42.73776471228701,56.71511786161467,0.0,0.0,0.0,0.5471174260983178
2024-07-22,42.74940100196036,56.7033326072751,0.0,0.0,0.0,0.5472663907645393
2024-07-23,47.41785455424015,51.975114762019814,0.0,0.0,0.0,0.6070306837400339
2024-07-25,47.43217932451211,51.960606609872514,0.0,0.0,0.0,0.6072140656153707
2024-07-26,47.446512752326846,51.946089689350906,0.0,0.0,0.0,0.6073975583222531
2024-07-30,47.475205611998064,51.91702951136914,0.0,0.0,0.0,0.6077648766328011
2024-08-06,47.36778592331131,52.02582435816213,0.0,0.0,0.0,0.6063897185265634
2024-08-07,45.82761740754794,53.58570969907475,0.0,0.0,0.0,0.5866728933773095
2024-08-09,45.081543585620764,54.341334558401286,0.0,0.0,0.0,0.5771218559779487
2024-08-12,46.64032794676806,52.762595057034225,0.0,0.0,0.0,0.5970769961977186
2024-08-14,46.82113675672452,52.57947158108188,0.0,0.0,0.0,0.5993916621935945
2024-08-19,46.807178631051755,52.593608394943956,0.0,0.0,0.0,0.5992129740042929
2024-08-20,48.32415130343787,51.05721584438767,0.0,0.0,0.0,0.6186328521744483
2024-08-21,45.42795805979901,53.94667247440963,0.0,0.0,0.0,0.6253694657913568
2024-08-23,45.38559572285599,53.98961797892512,0.0,0.0,0.0,0.6247862982188929
2024-08-27,41.97941606293337,57.395603370541956,0.0,0.0,0.0,0.6249805665246727
2024-08-30,42.11035214123078,57.262717943919405,0.0,0.0,0.0,0.6269299148498175
2024-09-02,93.50370524274534,5.104231594985802,0.0,0.0,0.0,1.392063162268855
2024-09-03,93.56850786610299,5.038464204033543,0.0,0.0,0.0,1.3930279298634693
2024-09-17,93.50370524274534,5.104231594985802,0.0,0.0,0.0,1.392063162268855
2024-09-20,79.06418364956664,19.758725696884515,0.0,0.0,0.0,1.1770906535488406
2024-09-23,79.01790939950837,19.80568886807913,0.0,0.0,0.0,1.1764017324125016
2024-09-24,78.75517704019133,20.07233273056058,0.0,0.0,0.0,1.1724902292480897
2024-09-26,80.2870339821841,18.6077202243484,0.0,0.0,0.0,1.1052457934675024
2024-09-30,64.99154277575002,34.11377192201549,0.0,0.0,0.0,0.8946853022344877
2024-10-02,64.93134277281088,34.20883774650297,0.0,0.0,0.0,0.8598194806861446
2024-10-03,83.20972158831583,15.643541761752624,0.0,0.0,0.0,1.1467366499315381
2024-10-04,4.685932169375878,94.30563917318884,0.0,0.0,0.0,1.0084286574352799
2024-10-07,0.8784610252418548,98.00400311353275,0.0,0.0,0.0,1.1175358612253974
2024-10-08,85.1314380873082,12.662067324848342,0.0,0.0,1.0110622100630426,1.195432377780421
2024-10-09,89.02571835469548,8.917651001089052,0.0,0.0,1.214710563793248,0.8419200804222167
2024-10-10,70.6742326829541,27.953262145692403,0.0,0.0,0.8106446022250796,0.5618605691284173
2024-10-14,76.87400318979266,21.842235992365413,0.0,0.0,0.7582294036133552,0.525531414228567
2024-10-15,77.45856053823825,21.20940831773419,0.0,0.0,0.7867393722362389,0.5452917717913242
2024-10-16,92.71585098612125,5.849525200876552,0.0,0.0,0.8473338203067933,0.587289992695398
2024-10-17,90.23492286115007,8.330411407199625,0.0,0.0,0.8473585787751284,0.5873071528751753
2024-10-18,92.7185600748013,5.846774193548387,0.0,0.0,0.8473585787751284,0.5873071528751753
2024-10-22,85.64909879078257,12.95060460871549,0.0,0.0,0.8270590919461557,0.5732375085557837
2024-10-23,85.67353226450619,12.925771666571576,0.0,0.0,0.8272950305243338,0.5734010383979004
2024-10-24,83.65439743148721,14.938080495356038,0.0,0.0,0.8313266827198715,0.5761953904368765
2024-10-25,83.75043049018483,14.84043163815865,0.0,0.0,0.832281023992653,0.5768568476638732
2024-10-28,86.21461790204972,12.375839696847907,0.0,0.0,0.8325199517712579,0.5770224493311132
2024-10-29,86.03924939120469,12.554075347371437,0.0,0.0,0.8308265291505514,0.5758487322733132
2024-10-30,78.47631632445619,19.51107948770075,0.0,0.7648912380565156,0.7369384021142509,0.5107745476722911
2024-11-01,84.95268485915493,12.868617957746478,0.0,0.8280149647887324,0.7977552816901409,0.5529269366197183
2024-11-04,82.52795838751625,15.41222366710013,0.0,0.7828348504551365,0.7542262678803641,0.5227568270481144
2024-11-06,80.84863523573202,17.18610421836228,0.0,0.7468982630272952,0.7196029776674938,0.4987593052109181
2024-11-07,88.29810298102981,9.555555555555555,0.0,0.8157181571815717,0.7859078590785908,0.5447154471544715
2024-11-08,93.8555255764791,3.9414758977497146,0.0,0.8372507023448583,0.8066535005980362,0.5590943228282941
2024-11-11,91.3649779318188,6.490482250683708,0.0,0.8150334407408409,0.7852481654978203,0.544258211258834
2024-11-12,91.36768568411362,6.487774498388887,0.0,0.8150334407408409,0.7852481654978203,0.544258211258834
2024-11-13,97.25056928396728,0.5228978662393522,0.0,0.8461949340755109,0.8152708667172697,0.5650670490005903
2024-11-15,97.2779168189871,0.49492421472961956,0.0,0.8464328899637243,0.8155001265431231,0.5652259497764405
2024-11-18,92.1349810898631,5.7556064560805416,0.0,0.801683268523944,0.7723858733287168,0.5353433122036968
2024-11-19,89.87109146114099,8.019496084802642,0.0,0.801683268523944,0.7723858733287168,0.5353433122036968
2024-11-26,93.64471456720229,4.1573002525462766,0.0,0.8353453778480837,0.8048178059001472,0.5578219965032054
2024-11-27,93.90532379706677,3.8905741240642304,0.0,0.8376701082570339,0.8070575793838533,0.5593743912281189
2024-11-28,90.96864637532688,6.896179872213086,0.0,0.8114738629930176,0.7818186719866282,0.5418812174803871
2024-11-29,91.02999892090212,6.833387288227042,0.0,0.8120211503183339,0.7823459587784612,0.5422466817740369
2024-12-02,97.05188679245283,0.6701564657156005,0.0,0.8657386102162908,0.8341003221352968,0.5781178094799816
2024-12-06,97.25333619165013,0.6243635778980653,0.0,0.8065812744520071,0.7771048823623988,0.5386140736373868
2024-12-09,97.31450429679313,0.6104590232655628,0.0,0.7886187382100189,0.759798784321945,0.5266191574093482
