date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,IFAST SECURITIES (HK) LTD,ABN AMRO CLEARING HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,96.8716208658041,0.0,0.0,0.0,0.0,0.0,3.1283791341959057,0.0,0.0
2024-03-04,74.90390460603227,24.297404722936637,0.0,0.0,0.0,0.0,0.0,0.7986906710310965,0.0,0.0
2024-03-07,69.62013212795549,22.58344923504868,0.0,0.0,0.0,7.06710709318498,0.0,0.7293115438108484,0.0,0.0
2024-03-08,69.62013212795549,22.58344923504868,0.0,0.0,0.0,7.458275382475661,0.0,0.3381432545201669,0.0,0.0
2024-03-11,69.57477305303392,22.56873561221387,0.0,0.0,0.0,7.453416149068323,0.0,0.40307518568388134,0.0,0.0
2024-03-12,69.21401719742471,22.45171326102925,0.0,0.0,0.0,7.414769044635527,0.0,0.9195004969105129,0.0,0.0
2024-03-13,66.94467658365369,21.71151596189203,0.0,0.0,0.0,7.170315895035935,0.0,0.8766505097777035,0.0,3.296841049640648
2024-03-14,66.99481865284974,21.71151596189203,0.0,0.0,0.0,7.170315895035935,0.0,0.826508440581648,0.0,3.296841049640648
2024-03-19,55.704488128244144,18.05257342978049,9.04713264263826,8.003446526721005,0.0,5.961935335932125,0.0,0.4891844378200718,0.0,2.741239498863897
2024-03-21,55.68364220049613,18.05257342978049,9.04713264263826,8.003446526721005,0.0,5.961935335932125,0.0,0.5100303655680862,0.0,2.741239498863897
2024-03-25,55.49837486457206,18.04317026418868,9.042420201683473,7.999277717587577,0.0,5.958829902491875,0.0,0.7181153985054309,0.0,2.7398116509709145
2024-03-26,55.452063928653295,18.04505011356296,9.043362297097373,8.000111131948351,0.0,5.9594507303452735,0.0,0.7598646968528822,0.0,2.740097101539872
2024-03-27,55.33745910691587,18.04505011356296,9.043362297097373,8.000111131948351,0.0,5.9594507303452735,0.0,0.8744695185902913,0.0,2.740097101539872
2024-04-03,55.410389448021505,18.04505011356296,9.043362297097373,8.000111131948351,0.0,5.9594507303452735,0.0,0.8015391774846673,0.0,2.740097101539872
2024-04-05,55.12516050644097,17.935300371408452,8.988360694216246,8.932442321233793,0.0,6.275284079141756,0.0,0.020020158228285033,0.0,2.7234318693304984
2024-04-08,55.10951422029737,17.916747124217263,8.97906264654768,8.923202118562248,0.0,6.268792585032138,0.0,0.08206670160823148,0.0,2.7206146037350694
2024-04-12,55.05256486214641,17.898232222329387,9.114457748322472,8.913981013268666,0.0,6.262314507350814,0.0,0.04064648580128691,0.0,2.7178031607809636
2024-04-15,55.03085739475424,17.89453383292925,9.112574388362354,8.912139078686357,0.0,6.261020498126515,0.0,0.07163323782234957,0.0,2.717241569318933
2024-04-17,55.26113750959682,17.969414645280434,9.34783059780466,8.396101785183188,0.0,6.287220135704355,0.0,0.009683287337718479,0.0,2.7286120390928144
2024-04-18,55.26113750959682,17.948664743842464,9.34783059780466,8.396101785183188,0.0,6.287220135704355,0.0,0.030433188775686647,0.0,2.7286120390928144
2024-04-23,50.34131951666887,16.35686326418698,8.518805665336687,7.651482202850317,8.424257322769133,5.710719891080309,0.0,0.5099307275810122,0.0,2.486621409526691
2024-04-24,50.11035427527683,16.458008295597246,8.57148293314053,7.708309550084351,8.476349937212223,5.746032954069789,0.0,0.5035706584471759,0.0,2.4258913961718482
2024-04-25,50.081876689896795,16.470543432727826,8.578011348490042,7.714180534927707,8.482805895121674,5.769450474123158,0.0,0.47539256381938894,0.0,2.427739060893408
