date,HAITONG INTERNATIONAL SECURITIES CO LTD,SDICS INTERNATIONAL SECURITIES (HONG,ZHONGTAI INTERNATIONAL SECURITIES LTD,SOLOMON JFZ (ASIA) HOLDINGS LTD,FUTU SECURITIES INTERNATIONAL,ZHESHANG INTERNATIONAL FINANCIAL,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,CENTRAL CHINA INTERNATIONAL SECURITIES
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,55.20561862273069,0.0,0.0,44.79438137726932,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,55.173022598870055,0.0,0.0,44.826977401129945,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,55.170587456415234,0.0,0.0,44.82941254358476,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,55.162215846391526,0.0,0.0,44.837784153608474,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,55.15780180975503,0.0,0.0,44.84219819024498,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,55.15536723163842,0.0,0.0,44.84463276836158,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,55.15780180975503,0.0,0.0,44.84219819024498,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,55.16023660280746,0.0,0.0,44.83976339719255,0.0,0.0
2024-03-15,0.0,0.0,0.0,0.0,55.16419491525424,0.0,0.0,44.83580508474576,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,55.42451784526713,0.0,0.0,44.575482154732875,0.0,0.0
2024-03-19,0.0,0.0,0.0,76.98781906102712,12.752239293219889,0.0,0.0,10.259941645752994,0.0,0.0
2024-03-20,0.0,0.0,0.0,76.99174632971831,12.74880888009223,0.0,0.0,10.259444790189457,0.0,0.0
2024-03-21,0.0,0.0,0.0,76.98860448271289,12.748288632027831,0.0,0.0,10.263106885259281,0.0,0.0
2024-03-22,0.0,0.0,0.0,77.03025477707006,12.698023844520659,0.0,0.0,10.271721378409277,0.0,0.0
2024-03-25,0.0,0.0,0.0,76.92033269458149,12.511721776001957,0.0,0.0,10.567945529416562,0.0,0.0
2024-03-26,0.0,0.0,0.0,76.88820059297599,12.292534819509115,0.0,0.0,10.819264587514901,0.0,0.0
2024-03-27,0.0,0.0,0.0,76.88820059297599,12.216120388389081,0.0,0.0,10.895679018634933,0.0,0.0
2024-03-28,0.0,0.0,0.0,76.76306340213002,12.117913924462663,0.0,0.0,11.119022673407319,0.0,0.0
2024-04-02,0.0,0.0,0.0,66.24087591240875,10.43350542994481,0.0,0.0,9.915435285739719,0.0,13.410183371906712
2024-04-03,0.0,0.0,0.0,38.35978974894848,6.041304564716261,0.0,13.087130262183692,6.011898823245239,28.58920704267508,7.910669558231246
2024-04-05,0.0,0.0,0.0,38.35958832178114,5.9105229993698805,0.0,13.08706154169292,6.143142197017433,28.589056920814954,7.9106280193236715
2024-04-08,0.0,0.0,0.0,38.35978974894848,5.8417656047343245,0.0,13.087130262183692,6.211437783227175,28.58920704267508,7.910669558231246
2024-04-09,0.0,0.0,0.0,38.27918675330119,5.83211066862293,0.0,13.059631104590233,6.405889750576399,28.529134353385032,7.894047369524208
2024-04-10,0.0,0.0,0.0,38.23050716180927,5.790154016840849,0.0,13.043023188876038,6.5594532218983375,28.492853890717644,7.884008519857863
2024-04-11,0.0,27.332452029002923,0.0,25.378359972759686,4.432159596202379,0.0,9.983976284901654,5.027841204983376,21.81027921323559,6.034931698914393
2024-04-12,0.0,27.331795093656364,0.0,25.377750004005833,4.431652486019645,0.0,9.98373632008204,5.030524443589867,21.809755003284785,6.034786649361471
2024-04-15,0.0,25.517416768267598,0.0,19.953176306912106,4.13746419034654,10.378254658059884,9.320981651993748,4.696580972825802,20.361948643534067,5.634176808060257
2024-04-16,0.0,25.5143632814545,0.0,19.950788652970257,4.127994375846054,10.377012766530301,9.319866276765215,4.716959965297773,20.359512074729448,5.63350260640645
