date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD,CHIEF SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD
2024-03-01,88.37737641603933,0.0,0.0,0.0,0.0,0.0,11.622623583960676,0.0,0.0
2024-03-04,88.32574325929139,0.0,0.0,0.0,0.0,0.0,11.674256740708614,0.0,0.0
2024-03-05,81.48620968894393,0.0,0.0,0.0,0.0,0.0,10.77025675225075,7.743533558805316,0.0
2024-03-06,81.4120116395554,0.0,0.0,0.0,0.0,0.0,10.785669989982349,7.802318370462243,0.0
2024-03-08,71.56863567360837,0.0,0.0,0.0,0.0,0.0,9.48159455175248,6.879922167892579,12.069847606746567
2024-03-13,60.340870452227136,0.0,0.0,0.0,15.645897087158565,0.0,8.008188824662813,5.810806981752238,10.194236654199251
2024-03-20,60.33873332719429,0.0,0.0,0.0,15.617008918135905,0.0,8.039780977949041,5.810601177278942,10.193875599441819
2024-03-26,60.33825412207423,0.0,0.0,0.0,15.594915577939211,0.0,8.063774553839842,5.823601394891528,10.17945435125519
2024-04-03,60.33741246374761,0.0,0.0,0.0,15.595246516233995,0.0,8.063945674471245,5.823724977010681,10.179670368536463
2024-04-08,60.33058435771576,0.0,0.0,0.0,15.593481674281753,0.0,8.067984100264525,5.829431485437031,10.178518382300936
2024-04-12,39.73377750275667,34.159482257261566,0.0,0.0,10.25761516379523,0.0,5.307235277970344,3.846314898131045,6.695574900085142
2024-04-16,36.21264289833441,31.13233149021337,0.0,0.0,9.348604091047864,8.86181688659724,4.836917805895722,3.5054615149767634,6.102225312934632
2024-04-19,36.164373101657816,31.145538153496343,0.0,0.0,9.352569867476626,8.87830247908642,4.838969677430302,3.5154327795971696,6.1048139412553235
2024-04-24,36.20737984812191,31.182576491174423,0.0,0.0,9.363691962693032,8.851910368142976,4.844724190068464,3.5196133394492297,6.030103800349965
2024-04-29,36.20538084216338,31.180854904125876,0.0,0.0,9.368695984541226,8.851421655023039,4.844456713311957,3.5194190219353194,6.0297708788992
2024-04-30,36.28827315268532,31.1488415702546,0.0,0.0,9.368410781181721,8.84233391456342,4.839482917350779,3.4890775411846064,6.023580122779553
2024-05-03,32.63609342149946,28.01423987240586,0.0,10.059866987687013,8.42563940155906,7.952503233733083,4.352471182573327,3.1417767789347564,5.4174091216074425
2024-05-09,32.62488986196032,28.004241506497667,0.0,10.05641356214074,8.461271460230154,7.94977323960316,4.350977034073181,3.1368839421598884,5.415549393334884
2024-05-10,32.61580121665173,28.003585117946567,0.0,10.055493049066534,8.47003184652644,7.949045557695608,4.350578767711054,3.1404107629817504,5.415053681420317
2024-05-13,32.63584115038506,27.954005968691085,0.0,10.061671386155995,8.475236038071396,7.95392964271812,4.353251868078188,3.1476831250906367,5.418380820809513
2024-05-14,32.63459571674986,27.95255758574896,0.0,10.060142571476547,8.474912610096014,7.9536261085924504,4.353085741325884,3.152905618903695,5.418174047106593
2024-05-16,32.63459571674986,27.95255758574896,0.0,10.052510265451604,8.47414937949352,7.9536261085924504,4.353085741325884,3.161301155531132,5.418174047106593
2024-05-17,32.62973943369085,27.94839802657937,0.0,10.051014373309219,8.487769141836745,7.952442546826768,4.352437968124602,3.160830729196476,5.417367780435969
2024-05-20,32.624752021974665,27.944452922325652,0.0,10.049595605066381,8.48657103616664,7.965817182969633,4.3518235922478254,3.1603845566915916,5.416603082557607
2024-05-21,28.81425888021294,24.679453162509795,11.682207565764537,8.875411686419191,7.49500922346044,7.035099689182019,3.8433612142959426,2.791465561536064,4.783733016619076
2024-05-22,28.763491156476345,24.693430693845354,11.688823936931424,8.879764150227809,7.499254120038634,7.039084109975575,3.845537952226599,2.8041715338494653,4.786442346428794
2024-05-23,28.76185628005684,24.69376368518553,11.688981560924464,8.879883894001022,7.500366623907924,7.039179032146596,3.8455898093724237,2.8038722227185455,4.786506891686655
2024-05-24,28.764738106274496,24.692764738106273,11.6885087016982,8.879524672369476,7.500063208461507,7.038894273313387,3.8454342421305467,2.803758796510893,4.786313261135224
2024-05-29,28.66623412735193,24.69889365431121,11.686144979313948,8.877729000075835,7.498546499380683,7.138583911222709,3.8446565946797664,2.8038658903428577,4.78534534332106
2024-05-31,28.6898892286828,24.71177023259109,11.697026025440124,8.885995111690615,7.522396317406126,7.044023459836753,3.848236379614839,2.8108622350268115,4.789801009710834
2024-06-03,28.69327719042534,24.714688422043515,11.6984073161227,8.88704445040513,7.511475725108937,7.0448552818701256,3.848690814190255,2.8111941670757608,4.790366632758239
2024-06-06,28.6898892286828,24.71177023259109,11.697026025440124,8.897802622279423,7.51058880681732,7.044023459836753,3.848236379614839,2.8108622350268115,4.789801009710834
2024-06-07,28.679489622309042,24.736827018249695,11.692923542831899,8.89468190762683,7.489406476002906,7.05976383144114,3.8468866927127685,2.811899819745688,4.788121089080029
2024-06-11,28.656782809569787,24.71840442936985,11.684215315092175,8.888057651901539,7.4838287898930576,7.130328411624062,3.8440217492034447,2.8098056758883425,4.784555167457746
2024-06-14,28.656782809569787,24.720426357176915,11.684215315092175,8.888057651901539,7.4838287898930576,7.130328411624062,3.8440217492034447,2.807783748081275,4.784555167457746
