date,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,HANG SENG BANK LTD,NANYANG COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,74.61324871082904,0.0,0.0,0.0,0.0,25.38675128917096
2024-03-07,0.0,0.0,74.6576701726533,0.0,0.0,0.0,0.0,25.342329827346692
2024-03-11,45.381802012502995,0.0,23.525722558846315,23.12549761366658,0.0,0.0,0.0,7.966977814984107
2024-03-13,40.458294680122854,0.0,20.97339844694549,20.482792635321033,10.88252891239702,0.0,0.0,7.202985325213603
2024-03-14,40.45046447397328,0.0,20.972229231315534,20.481650769764297,10.8819222380457,0.0,0.0,7.213733286901197
2024-03-15,37.59537400412737,0.0,19.521553550346983,19.064909022853488,10.056557889572689,0.0,7.020909610212513,6.740695922886958
2024-03-18,37.55000533636918,0.0,19.535745877646693,19.078769365888874,10.06386908848466,0.0,7.026013868276443,6.745596463334145
2024-03-19,37.53830934160086,0.0,19.529660925606514,19.072826751908117,10.060734416221537,0.0,7.023825420612869,6.774643144050106
2024-03-21,37.50132004540139,0.0,19.510416893967303,19.05403287305579,10.149358283225416,0.0,7.016904321514556,6.7679675828355474
2024-03-22,37.49159813272741,0.0,19.50535897683141,19.049093269771028,10.172651332414468,0.0,7.015085246053403,6.766213042202283
2024-03-25,37.481881259400836,0.0,19.50030368146373,19.044156226926567,10.170014838658119,0.0,7.013267113508887,6.790376880041863
2024-04-10,37.481881259400836,0.0,19.50030368146373,19.11672514014839,10.170014838658119,0.0,7.013267113508887,6.717807966820041
2024-04-11,37.48382423110644,0.0,19.501314530893662,19.11771610577773,10.17054202807373,0.0,7.013630664619651,6.7129724395287855
2024-04-12,37.487710778894545,0.0,19.503336544186325,19.119698345284203,10.171596570891433,0.0,7.014357879926661,6.703299880816832
2024-04-16,37.48965435503971,0.0,19.504347708081664,19.120689619193296,10.172123924310531,0.0,7.014721544134633,6.698462849240166
2024-04-17,37.17050496455787,0.0,19.502831001553965,19.11920274687162,10.49534326492451,0.0,7.014176061962392,6.697941960129645
