date,PHILLIP SECURITIES (HONG KONG) LTD,KOALA SECURITIES LTD,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,RUIBANG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD
2024-03-05,0.0,0.0,0.0,59.69014084507043,40.309859154929576,0.0,0.0
2024-03-13,0.0,0.0,0.0,59.74683544303797,40.25316455696203,0.0,0.0
2024-03-18,28.499852637783675,0.0,20.886138127517437,21.062972787110716,14.058355437665782,15.492681009922391,0.0
2024-04-02,28.49705304518664,0.0,20.884086444007856,21.080550098231825,14.076620825147348,15.461689587426324,0.0
2024-04-05,28.49705304518664,0.0,20.884086444007856,21.11984282907662,14.076620825147348,15.422396856581532,0.0
2024-04-10,22.229885057471265,21.992337164750957,16.291187739463602,16.47509578544061,10.980842911877394,12.030651340996169,0.0
2024-04-29,22.221371122175412,21.983914209115284,16.284948295672155,16.484105706625815,10.999617004978935,12.026043661432402,0.0
2024-05-07,21.983934525613822,21.749014852985756,16.126098817823582,16.39133070627463,11.852076386783873,11.89754471051834,0.0
2024-05-23,21.950665859564165,21.716101694915256,16.101694915254235,16.517857142857142,11.834140435835351,11.87953995157385,0.0
2024-05-30,20.400843881856538,20.182841068917018,15.70323488045007,15.365682137834035,10.18987341772152,11.040787623066104,7.116736990154712
2024-06-11,20.416637342529384,20.198465761137307,15.715391653177562,15.307199662185939,10.197761981842495,11.0493349285664,7.115208670560912
2024-06-13,20.412327610470022,20.194202082746973,15.726146918097383,15.311004784688995,10.195609344216155,11.047002533070645,7.1137067267098235
2024-06-26,20.389373067191453,20.17149283103739,15.715490581951084,15.29378689907225,10.289569862243464,11.034579701996064,7.105707056508294
2024-07-15,20.38507483662427,20.16724053123463,15.712177640362587,15.290562855737475,10.308481484084043,11.032253531023821,7.104209120933174
2024-07-17,20.372191011235955,20.154494382022474,15.702247191011237,15.316011235955058,10.33005617977528,11.025280898876405,7.099719101123596
2024-07-18,20.34361851332398,20.126227208976157,15.680224403927067,15.287517531556801,10.462833099579242,11.009817671809257,7.0897615708274895
2024-07-23,20.339339549884315,20.12199397041296,15.683937460562294,15.298324335693753,10.460632405524786,11.007501928065624,7.088270349856271
2024-07-24,20.34361851332398,20.126227208976157,15.687237026647965,15.315568022440393,10.462833099579242,10.974754558204769,7.0897615708274895
2024-07-29,20.34789927754787,20.13046222908045,15.690537981342498,15.360875359472539,10.465034719786772,10.913937013396929,7.091253419372939
2024-07-31,20.346472155982607,20.129050357693927,15.689437508767007,15.36681161453219,10.464300743442278,10.913171552812456,7.090756066769533
2024-08-22,20.346472155982607,20.129050357693927,15.689437508767007,15.514097348856781,10.464300743442278,10.765885818487867,7.090756066769533
2024-09-04,20.345045234588678,20.127638684339715,15.688337190546322,15.520022441966477,10.463566870046987,10.765130794585875,7.090258783925941
2024-09-13,20.143035689487572,19.927787807248993,16.53242605193723,15.358977919733372,10.35967226774059,10.658241910845716,7.019858353006526
2024-09-23,20.141637158925224,19.926404221342775,16.53127820592932,15.364854544192182,10.35895299590363,10.657501909324447,7.019370964382421
2024-09-27,20.1332500520508,19.918106738843775,16.524394475674924,15.379276840863348,10.375459782080645,10.65306405718648,7.016448053300022
2024-10-02,20.134647418101054,19.919489172681843,16.525541365907827,15.37340366463076,10.376179900055526,10.653803442531927,7.01693503609106
2024-10-04,20.129059117402164,19.913960588398556,16.520954759922287,15.396891479322786,10.373300027754649,10.650846516791562,7.014987510407994
2024-10-08,19.901214241613502,19.68855045619812,16.33395074432325,16.347670988543598,10.255882554709475,10.53714756122659,6.93558345338547
2024-10-09,19.90394511149228,19.691252144082334,16.336192109777016,16.157804459691253,10.257289879931388,10.716981132075471,6.936535162950257
2024-10-10,19.90667673094078,19.693954573526383,16.338434090441226,16.146297948260482,10.258697591436219,10.71845193165443,6.937487133740479
2024-10-14,19.908042821850124,19.695306066428767,16.33955531155641,16.14054350809772,10.259401592094427,10.719187482843811,6.93796321712874
2024-10-15,19.899849087666347,19.687199890245573,16.332830292221153,16.181917958567706,10.255179036904925,10.707916037865276,6.935107696529016
2024-10-16,19.90257958287596,19.689901207464324,16.335071350164654,16.170417124039517,10.256586169045006,10.709385290889132,6.936059275521406
2024-10-17,19.986221150533932,19.77264898380985,16.40372028935584,15.749224939717536,10.361694798484326,10.761281433000343,6.965208405098175
2024-10-18,19.988975401364296,19.775373802797493,16.40598084475987,15.7376145524702,10.363122717563563,10.762764418107903,6.966168262936677
2024-10-28,20.04422027223105,19.8300283286119,16.451323153458162,15.7811096524563,10.391763974296966,10.516133489946798,6.9854211289988255
