date,BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD,CMB WING LUNG BANK LTD
2024-03-22,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-25,61.32839496088246,0.0,38.67160503911754,0.0,0.0,0.0
2024-03-27,61.33670606414564,0.0,38.66329393585436,0.0,0.0,0.0
2024-04-10,61.34501359581693,0.0,38.65498640418306,0.0,0.0,0.0
2024-04-11,61.38065129842034,0.0,38.61934870157967,0.0,0.0,0.0
2024-04-23,61.38894226176228,0.0,38.61105773823772,0.0,0.0,0.0
2024-04-25,55.53230515870743,0.0,34.733276949772346,9.734417891520229,0.0,0.0
2024-04-30,55.54093923504758,0.0,34.72653295807683,9.732527806875582,0.0,0.0
2024-05-02,55.57113211629191,0.0,34.702949596944364,9.725918286763727,0.0,0.0
2024-05-03,50.977204062860906,0.0,31.8508242279291,8.926575907950753,8.245395801259248,0.0
2024-05-08,50.98156881844026,0.0,31.847988382684072,8.925781128272156,8.244661670603508,0.0
2024-05-14,50.99937586308519,0.0,31.830181338039143,8.925781128272156,8.244661670603508,0.0
2024-05-24,51.02100091961132,0.0,31.949656419271268,8.7537345245681,8.275608136549321,0.0
2024-05-28,51.13890149431508,0.0,31.872748296930148,8.732662833626502,8.25568737512827,0.0
2024-05-29,51.10680940108735,0.0,31.91846072027017,8.72566146215183,8.249068416490655,0.0
2024-06-04,51.11571768231465,0.0,31.90955243904286,8.72566146215183,8.249068416490655,0.0
2024-06-05,51.12442562954742,0.0,31.903868266427732,8.72410712615709,8.247598977867755,0.0
2024-06-06,51.13313047497174,0.0,31.898186118539456,8.72255334382355,8.246130062665245,0.0
2024-06-11,51.15094069108982,0.0,31.880375902421388,8.72255334382355,8.246130062665245,0.0
2024-06-12,51.17289011983964,0.0,31.862958501706206,8.720223707791046,8.243927670663103,0.0
2024-06-17,51.20850103850342,0.0,31.827347583042435,8.720223707791046,8.243927670663103,0.0
2024-06-26,51.2263064978353,0.0,31.80954212371055,8.720223707791046,8.243927670663103,0.0
2024-06-27,51.27629413614814,0.0,31.745951132934348,8.727216352103753,8.250538378813758,0.0
2024-07-04,51.28520400480776,0.0,31.737041264274723,8.727216352103753,8.250538378813758,0.0
2024-07-05,51.33093919745022,0.0,31.729672511104905,8.681492235704967,8.257896055739906,0.0
2024-07-11,51.339857011765275,0.0,31.720754696789854,8.681492235704967,8.257896055739906,0.0
2024-07-17,51.34877482608032,0.0,31.711836882474802,8.681492235704967,8.257896055739906,0.0
2024-07-18,51.38977255184709,0.0,31.660258189213238,8.686915016361025,8.263054242578644,0.0
2024-08-12,51.3984463590611,0.0,31.65460886415768,8.685364959303243,8.261579817477969,0.0
2024-09-02,51.40278210198305,0.0,31.651784957594042,8.684590138195157,8.260842802227751,0.0
2024-09-03,36.37968470519007,29.182037956853264,22.445356286670908,6.146411499566563,5.846509551719196,0.0
2024-09-04,35.28761948336576,27.867983076133545,21.794096220389502,5.954671098467077,5.664124742866475,3.4315053787776377
2024-09-05,35.29949221814989,27.862870156945753,21.79009767293663,5.953578599163014,5.663085549897227,3.4308758029074986
2024-09-09,35.31172350443476,27.862870156945753,21.79009767293663,5.953578599163014,5.663085549897227,3.418644516622624
2024-09-10,35.31963474507919,27.85946258631939,21.787432789658002,5.952850488977596,5.6623929664029315,3.418226423562892
2024-09-11,35.378620331639404,27.857759113541157,21.786100592435968,5.952486500665566,5.662046738178032,3.3629867235398674
2024-09-12,35.386521941416596,27.854352792863512,21.78343668667705,5.951758657562035,5.661354408733892,3.3625755127469126
2024-09-16,35.398749488735675,27.854352792863512,21.771209139357968,5.951758657562035,5.661354408733892,3.3625755127469126
2024-09-17,35.41097703605476,27.854352792863512,21.75898159203889,5.951758657562035,5.661354408733892,3.3625755127469126
2024-09-20,35.417090809714296,27.854352792863512,21.752867818379347,5.951758657562035,5.661354408733892,3.3625755127469126
2024-09-25,35.432880759829615,27.847542649954065,21.74754943458364,5.950303505208578,5.659970257650892,3.3617533927732084
2024-09-30,35.46837993318065,27.832231997170346,21.735592574243213,5.947032012564824,5.656858390996431,3.3599050918445332
2024-10-02,35.47626333795722,27.828831915932007,21.732937279456813,5.946305502668966,5.656167329708744,3.359494634276252
2024-10-03,35.48414481684135,27.82543266532344,21.730282633351063,5.945579170257324,5.655476437245282,3.3590842769815388
2024-10-04,35.51171483671754,27.813541825010336,21.72099647691067,5.943038403566189,5.653059642221152,3.3576488155741187
2024-10-07,35.51958765781312,27.810146308471655,21.718344746928278,5.942312869029227,5.652369508701658,3.3572389090560604
2024-10-08,35.53139328589711,27.805054587864518,21.714368365708484,5.94122489931653,5.651334624311358,3.356624236901994
2024-10-09,35.53926130327304,27.801661143151097,21.71171825371884,5.9404998074753275,5.650644911887163,3.3562145804945356
2024-10-15,35.54712740039208,27.798268526636853,21.709068788511676,5.939774892598986,5.64995536779318,3.355805024067224
2024-10-16,35.554991577957125,27.794876738018644,21.706419969850245,5.939050154622729,5.649265991967793,3.355395567583462
2024-10-21,35.56285383667073,27.791485776993458,21.70377179749791,5.938325593481811,5.648576784349416,3.354986211006673
2024-10-22,35.57071417723511,27.78809564325843,21.701124271218156,5.937601209111519,5.647887744876494,3.3545769543002932
2024-10-24,35.57288384953255,27.789790606733593,21.696348350758882,5.93796337920438,5.64823224359862,3.3547815701719665
2024-11-05,35.5620381340662,27.78131785644815,21.720222128587988,5.936152970424116,5.646510170120936,3.353758740352608
2024-11-06,35.56989569862775,27.777930202767916,21.717573564872993,5.935429115977736,5.6458216347153405,3.353349783038269
2024-11-13,35.582089697838796,27.777930202767916,21.705379565661943,5.935429115977736,5.6458216347153405,3.353349783038269
2025-01-03,35.59387022227424,27.772850271053507,21.701410160986217,5.934343665248154,5.644789146399375,3.352736534038505
2025-01-07,35.60989805088121,27.794876738018644,21.718621408277823,5.871942243271059,5.649265991967793,3.355395567583462
2025-01-13,35.66177658823881,27.78301199316279,21.684957962644166,5.8694356987311656,5.646854500805256,3.3539632564178086
2025-01-22,35.669622469057366,27.779623926329123,21.682313537810714,5.868719936148327,5.6461658814268585,3.3535542492276154
2025-02-05,35.68922880178672,27.771157373345908,21.675705296574137,5.8669312932057585,5.644445067541333,3.3525321675461477
2025-02-11,35.75018393210574,27.771157373345908,21.62694119231892,5.854740267141954,5.644445067541333,3.3525321675461477
2025-02-26,35.76237495816954,27.771157373345908,21.62694119231892,5.84254924107815,5.644445067541333,3.3525321675461477
2025-04-08,35.78194705709939,27.762695979588692,21.620351835500543,5.840769116864741,5.642725302260564,3.35151070868608
