date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,24.569034705325315,19.38701564748243,7.697241156593241,8.8701277582059,3.2796600239464153,0.0,0.3077026370611355,6.908522186219271
2024-03-04,24.324886190056016,19.42034560036363,7.811410497725692,8.857881540999633,3.247420437272747,2.9991494495819837,0.3051922590484452,6.907705524265534
2024-03-05,24.396102824521684,19.36254669952526,7.789823464424971,8.857235635636224,3.2442688645512794,2.999260812575675,0.30288704507903264,0.0
2024-03-06,24.525450941694277,19.33309579440972,7.716452405195448,8.841358984835615,3.2471902870857843,0.0,0.33741008168104636,6.9075941612718434
2024-03-07,24.687001524542644,19.37745212024899,7.619243748228895,8.856006930605828,3.253686461717784,0.0,0.3370388717020749,6.90568242988014
2024-03-08,24.6445388150481,19.336636131630065,7.614046875341092,8.856949803952416,3.249811029537323,3.0102189311549115,0.34877287853095834,6.905608187884346
2024-03-11,24.700495007278256,19.311081138349522,6.722713498969698,8.854358758299195,3.2386301849707033,3.001053756774107,0.3422997189176546,6.905945988965209
2024-03-12,24.72078534472883,19.34898436105065,7.534442766248964,8.867662923945531,3.212771697835554,3.045910770633014,0.37179174296256884,6.90684802921411
2024-03-13,25.184760697445213,19.106823549007355,7.540248286154588,8.935865333381951,3.20256342341384,3.0465678122957933,0.39427964348865774,6.906116745555536
2024-03-14,25.386799152699993,19.066580586096666,7.491176995934315,8.945193840153502,3.233496350961529,3.0592854661753544,0.394197502144511,6.906276365846494
2024-03-15,25.460617969118253,19.01368153448143,7.470390324757154,8.965465617105133,3.237590797029583,3.066709665754783,0.3925752625670088,6.906684696823364
2024-03-18,25.47988005492708,18.90040399562666,7.466415998526194,8.978138725787217,3.2433853848013277,3.0663384557758118,0.0,6.906127881854905
2024-03-19,25.466178694603244,18.79814593636065,7.623261639662987,8.98407808545076,3.2399257077973136,3.0659672457968403,0.39510352176438607,6.906313486844391
2024-03-20,25.530839760840276,18.78188363922499,7.54302643648561,8.975358363044721,3.2217512672268724,3.069660785087606,0.3953827087895705,6.9094502111667
2024-03-21,25.679119586940413,18.70605452774141,7.507498998482993,8.94794027801602,3.2016205500672523,3.0594599348654707,0.39628269995938714,6.909216348879947
2024-03-22,25.696937665931042,18.67549433584571,7.685360447580668,8.944981734483617,3.201037750400267,3.0588734230986963,0.3740449875349254,6.904798950130188
2024-03-25,25.578049496121707,18.754715790555213,7.627696180889576,8.9470456619667,3.202411227322462,3.0375102888088907,0.3565183343624881,6.903280701316195
2024-03-26,25.59055556031325,18.74477494693865,7.607037436095368,8.93249051869123,3.201089719797323,3.032684559082262,0.35726345301697804,6.903243580318298
2024-03-27,25.6356872695566,18.673104378350196,7.5925177136760915,8.884099585832516,3.217055460992884,3.05570700197807,0.35770359668904445,6.903169338322503
2024-03-28,25.572277526173977,18.66886132207916,7.589451096070412,8.894081793377035,3.2259756367875676,3.0575667639727167,0.35596349423111906,6.970395465514229
2024-04-02,25.714269055230336,18.633089431169093,7.589410931150686,8.859878505914608,3.223403151633295,3.0407212551269938,0.0,6.970458571210654
2024-04-03,25.78633204844806,18.546946896325156,7.596478175214336,8.848538041057031,3.2269407827328935,3.041181555500918,0.3576896206333362,6.970224708923902
2024-04-05,25.758405921730038,18.441705407609753,7.618409301605065,8.796928717680634,3.2256972293033392,3.0421281409472956,0.36437511235461156,6.969430319568904
2024-04-08,25.766758146256898,18.556473532710886,7.620609492847227,8.787128774235788,3.2255376090123815,0.0,0.3789809703374082,6.9690591095899315
2024-04-09,0.0,18.63267249183281,7.494798089885584,8.792856544211318,3.232601734912208,3.064322785589997,0.38110429141712476,6.968650778613063
2024-04-10,25.964523974653716,18.619190954634323,7.385128556118224,8.794007295146129,3.234973766677835,3.06493156995551,0.31782412630186596,6.9665274575333465
2024-04-11,25.92282966981564,18.635936897539487,7.3758471855898025,8.789667850491952,3.225563593710909,3.065228537938687,0.35454726876774645,6.966011475662576
2024-04-12,25.976064892899934,18.584373503973787,7.355116934617345,8.796071222629209,3.230782806015248,3.0661973959838025,0.39177453294556913,6.965751628677295
2024-04-15,25.895245056278277,18.570748575784624,7.389554752544486,8.798506360091263,3.234294452416317,3.0682910202652014,0.3930071579533424,6.965376706598534
2024-04-16,25.849270700382668,18.585858009800692,7.3836418044709475,8.809616674761877,3.246061808749711,3.068799577936392,0.3942883520747644,6.965532614789703
2024-04-17,25.68740087695239,18.58006486974787,7.495891722740931,8.811042121081128,3.2495623188514116,3.0675560245068376,0.3787606386543897,6.9654583727939094
2024-04-18,25.703169876859093,18.562317461713036,7.488375025058942,8.814824750766846,3.2550562265401886,3.0676896600992674,0.38245520248469733,6.964938678823349
2024-04-19,25.767051402140282,18.499808589267882,7.483169785098213,8.820845776625763,3.2550339539414503,3.0680014764816037,0.3801833974133922,6.964370727555521
2024-04-22,25.80735366955721,18.450700293124804,7.512687972022444,8.828047250217809,3.256032508784884,3.0593522839715694,0.3787245421960345,6.964036638574448
2024-04-23,25.83598880733507,18.550019182307217,7.569085688825786,8.82450961911821,3.2579145433782686,3.056579345428653,0.37830892436727875,6.963472399406411
2024-04-24,25.872408218371955,15.515724165852184,7.6245137160736585,8.822505085231764,3.262510122917935,3.057069342600895,3.380304652447724,6.9619875594905265
2024-04-25,25.890549250044288,15.51344036327436,7.67211757612606,8.827679978776713,3.2636608738527464,3.0572178265924834,3.3807092713248035,6.960131509595668
2024-04-26,25.958246813909305,15.485466985238116,7.589290506921409,8.821109525027921,3.26478935218882,3.0620472684189015,3.3822980500348008,6.957922810220789
2024-04-29,26.003022161572844,15.472200987401818,7.537584353421997,8.822928453924881,3.267321004245405,3.0624555993957707,3.38237961600348,6.958008188515952
2024-04-30,26.065184984651395,15.448074269060566,7.541035641080486,8.83879396842612,3.2607431634180313,3.0604510655093247,3.380608944403787,6.957098724067472
2024-05-02,26.058414114634957,15.453427168926732,7.414716192717422,8.88323522710858,3.2588611288246456,3.088655599711574,3.398738787807354,6.956746074587448
2024-05-03,26.090482944718296,15.421015812259492,7.383376088655899,8.877978893806345,3.2590430217143416,0.0,3.3999499457420432,6.956382288808056
2024-05-06,0.0,15.403450208023962,7.308984977813061,8.881238117421713,3.263248830776088,3.08156177701343,3.399949893772646,6.888777527437781
2024-05-07,0.0,15.38956943820519,7.308907632501843,8.881639024199002,3.2633787542687283,3.0815135197161636,3.400020423668651,6.888261545567011
2024-05-08,26.54126920688183,15.188476083556873,7.152812492564236,8.896969996330522,3.2573503042102327,3.07752672454201,3.406639097593711,6.88763420070255
2024-05-09,27.026830419875395,14.981307072077035,7.114996103301385,8.884230069852222,3.25477781905596,3.0954895754244376,3.4065738908488052,6.8874300352141145
2024-05-10,27.199513589993117,15.003372543071256,7.062515668891535,8.876093147113169,3.256700686747032,3.1009983315123733,3.3899495043633556,6.88632754157657
2024-05-13,27.262017926252327,14.963739864214395,7.066008068055196,8.867964569174443,3.2424499356543195,3.101588555378938,3.3929699805686497,6.882834455674448
2024-05-14,27.393630424296646,14.891057822675242,7.035664599681514,8.868291233955938,3.242676373741492,3.101254466397864,3.3855233079370937,6.882092035716505
2024-05-16,27.81424845146916,14.810502488011998,6.902245251912952,8.870169556449534,3.1915087902400705,3.099539476295016,3.385252387758141,6.881505523949731
2024-05-17,28.001508287616936,14.617180191547464,6.91808340452664,8.86649504909439,3.179941887295321,3.1002559115544304,3.435795083805162,6.881022950977068
2024-05-20,27.91046957574295,14.394074258611521,6.926814150305901,8.865629174928593,3.1772969123185666,3.097204438082828,3.4330473635550343,6.885095230048447
2024-05-21,27.833228240622887,14.465772493421387,6.740391222198349,8.868916593490738,3.167657532466852,3.090232139053283,3.4186668760821872,6.885002365117312
2024-05-22,27.879233527506695,14.426235906474776,6.519032893316281,8.895364525877717,3.1740503543261203,3.0901949930808295,3.4185275341103196,6.884983792131084
2024-05-23,28.014924050282534,14.399860609322332,6.480821689525203,8.895817706741651,3.1863456712082696,0.0,2.861076023625026,6.885280959910714
2024-05-24,28.135407011935854,14.40608023065584,6.356029861930011,8.879611126977583,3.139983782988904,3.084704818352184,2.8615655889689786,6.885994162581824
2024-05-27,28.466451918442534,14.26773660508727,6.489456798294856,8.87790612684196,3.1386019528136293,3.0803067352136755,2.865354478159248,6.885377539439093
2024-05-28,28.537634745455406,14.202192068653602,6.4753455002551865,8.888708175631473,3.149314851269254,3.0815325523046453,2.858588027250652,6.885893868456199
2024-05-29,28.597339466980113,14.20377882572971,6.433904446730073,8.888425866240826,3.148107607164511,3.0890174657540497,2.8777999242036656,6.8853069620914304
2024-05-30,28.809468971871013,14.098182524857469,6.427501669750186,8.884670408425766,3.1454219533561147,3.0902284244560376,2.8776592635497753,6.884939216964141
2024-05-31,29.043094851020825,14.026298133006653,6.395558447634156,8.87811721997422,3.102224901989797,3.0998046561545816,2.898655712453017,6.887550578827631
2024-06-03,29.368370988005452,13.578719078592128,6.359280115946716,8.8995819458646,3.0450386773974465,3.1082739378740074,2.898293539221594,6.887576581008348
2024-06-04,29.529376491008435,13.585877077767162,6.407545556953662,8.90244218574353,3.0295748090650036,3.116446051813804,2.9879157383983648,6.887613726980801
2024-06-05,29.561860643919125,14.132945152284911,6.8942355389018575,8.901476390459734,3.027282902564615,3.122463699351291,2.9883949214430165,6.887242267256265
2024-06-06,29.746929341308935,14.08263418286907,6.801280090462128,8.922237274464065,3.0425758994237713,3.1353199204174897,2.282130523652253,6.887747452481635
2024-06-07,29.908431385669495,14.057093013386462,6.762157744256528,8.89075606280962,3.0399088186016012,0.0,2.282626801273428,6.886127888082656
2024-06-11,30.07688094155218,14.165306753203282,6.641884378752774,8.902902795801955,3.0389913130819965,3.135542796252211,2.274615908283274,6.882743889992131
2024-06-12,30.36559429785071,13.998331691838755,6.675329104223533,8.844464751937917,3.0544923273868934,3.111542783449926,2.245998651105004,6.875537571336129
2024-06-13,30.50290809962277,13.989078292072211,6.578704150034404,8.832589184544494,3.0512531985889373,3.1046336325735524,2.2322815721271927,6.871822974090766
2024-06-14,30.529233450300648,13.935114677463863,6.556123886016072,8.80992642675054,3.0539685691752974,3.106334918111928,0.0,6.868034084900497
2024-06-17,30.64780339437261,13.968627918680815,6.443366855739824,8.811850588123637,3.051895823912385,3.1061529028469055,2.232653031851729,6.864170903765321
2024-06-18,30.706620327155676,14.149089817142094,6.323464489350548,8.80566912684763,3.0538385582717096,3.1059671729846374,2.17255695521964,6.8605157400758845
2024-06-19,30.78418854683333,14.116954446339754,6.357912326949029,8.781735976795762,3.0580360531589688,3.1062866283477386,1.7457686947464621,6.863888594374673
2024-06-20,31.00117674492116,14.01193475125412,6.274882319494878,8.775536834036865,3.093098136557942,3.1065912253218584,1.7385274440179639,6.859850827168964
2024-06-21,30.981901699814976,14.005455735880373,6.251370898812068,8.786435462354758,3.099646971501516,3.1147076351613636,1.7383172126722655,6.856507689648137
2024-06-24,31.034043501348126,13.991541062616692,6.225641975011694,8.790692390797943,3.1085137151261955,3.11430272920323,1.7405645440057096,6.85344686151796
2024-06-25,31.093714791497625,13.984644645379674,6.169979827381532,8.782732008901133,3.1199806768226286,3.1031960834395975,1.7287338786637887,6.849732264272598
2024-06-26,31.097358811395324,13.97484314936038,6.225818945853658,8.778229917039752,3.118732572148187,3.101921976584438,1.5067866932533975,6.842507372630369
2024-06-27,31.175138763115964,13.960868652508063,6.164575697583477,8.768928565537367,3.1267078124339793,3.1031292206891807,1.5104467639257952,6.834153243425549
2024-06-28,31.29207948483611,13.866881470968837,6.109327252077726,8.769626909819495,3.1361651770206715,3.1037384146374203,1.5031067197689596,6.827206946576722
2024-07-02,31.310784710724857,13.832887037110126,6.213437116001664,8.776257465902466,3.1526171282203808,3.103931573694179,1.4929158708101982,6.819926335975812
2024-07-03,31.289715515149158,13.839927328127649,6.196962565192314,8.779797477077295,3.154002672992901,3.1033966716908465,1.493698703606672,6.812497141485087
2024-07-04,31.128163966351117,13.880710062155954,6.239544204374603,8.792509906084128,3.1681144279280318,3.107237565242551,1.4929632133520903,6.812664298361129
2024-07-05,31.131235938273026,13.94933881010946,6.205921349107539,8.795648740756459,3.1739872061729493,3.0712579763239733,1.4936355554535008,6.812701444333583
2024-07-08,31.058574701556502,13.952320617612438,6.242468060445956,8.8049055170919,3.1931470987645274,3.0735905948101707,1.4970269827385165,6.813020899696682
2024-07-09,31.105118605040886,13.91791929791526,6.243899803664417,8.803178229372808,3.1930579484306385,3.0716740112154537,1.498640730078208,6.813117479225063
2024-07-10,31.04185158475788,13.913338813193615,6.259503708598412,8.807606029289278,3.19445092239765,3.071952606008856,1.5004008214055755,6.813277206906614
2024-07-11,31.2555635080753,13.840131140649307,6.206327577462292,8.807502020566409,3.1968579814126445,3.0751583034316035,1.5012440349802727,6.813154625197517
2024-07-12,31.31229655180372,13.78579248544468,6.219102838881528,8.811510070994153,3.1848561177128794,3.0750468655142424,1.499630907978321,6.8134146470046915
2024-07-15,31.439610657791263,13.656359094005339,6.196961632828406,8.80623534290574,3.1846258126836666,3.0840213324590375,1.501128544437317,6.8129874683214755
2024-07-16,31.452032270979753,13.616942039083485,6.204077898503389,8.814489177984933,3.1927867828317273,3.0835310056226497,1.499756245918574,0.0
2024-07-17,31.509140489029953,13.529055140012067,6.246219755374007,8.813545670284613,3.19327339507087,0.0,1.500116561851374,0.0
2024-07-18,31.585408599671727,13.543464753641915,6.2433175479754,8.801892978725911,3.1842134923894316,3.084385362989083,1.4578720706588661,6.812578862624486
2024-07-19,31.670955774232418,13.388595798719649,6.201858942978302,8.806796247089789,3.1853167277713044,3.0690477909629825,1.499724437822362,0.0
2024-07-22,31.6826609493356,14.63767167318413,6.238222071491658,8.808300658974161,3.1844252244324167,3.0688843486841866,1.4999349403336593,0.0
2024-07-23,31.691761712586736,13.293372295208442,6.228094656710056,8.800046823894967,3.187694070008336,3.067041908450487,1.500533161361636,0.0
2024-07-24,31.71403815226717,14.350135799637211,6.254281441766894,8.798364111342817,3.1894436453109014,0.0,1.4783448765030258,6.812560289638259
2024-07-25,31.76638425664882,14.638797125572129,6.261943645513626,8.800258555937953,3.19040572599745,0.0,1.4774199157867498,0.0
2024-07-26,31.77929991127094,14.652090417294009,6.25397450459651,8.800648588648716,3.1927756390399917,3.067439370355741,1.456560873550212,6.812835169834415
2024-07-29,31.725453484776494,14.709516968898939,6.2228124659957755,8.802101523644462,3.196460519507391,3.0674505141474766,1.4565595400098008,6.808652533336137
2024-07-30,31.69002365625023,14.641119688643583,6.242962079592005,8.804475151284247,3.1983995392694697,0.0,1.5423773489819974,6.809023993060674
2024-07-31,31.713745074259112,14.580623780193196,6.2733326080971,8.80548180713774,3.201460367399648,3.0675953834400462,1.5419575734910909,0.0
2024-08-01,31.726358992146995,14.647422721258236,6.2344432488599235,8.807877722360999,3.2077714681195184,3.067205350729283,1.5384985033902372,6.808986847088219
2024-08-02,31.749404353457223,14.653138152878437,6.218588571465894,8.805960990182392,3.205646718495171,0.0,1.52934945037491,6.8088754091708585
2024-08-05,31.74358357957374,14.806476935184435,6.214349484233278,8.80638816886561,3.2062039080819753,0.0,1.4503186340340761,6.808689679308591
2024-08-06,31.862342968105217,14.742792390456449,6.349548558364358,8.804638593563043,3.2081354986495643,0.0,1.4497783384355436,0.0
2024-08-07,31.813076264839975,14.838318507346845,6.325460019280521,8.81010276611097,3.2138336908239493,3.0671384879788666,1.4410067702214848,6.8088011172259515
2024-08-08,31.777917601912623,14.937290347790194,6.214220335116251,8.772065290318462,3.1886115755279403,3.0642968210861645,1.4652593756364545,6.808013622609935
2024-08-09,31.819379936365358,14.894793423712683,6.168476080410066,8.76918276285606,3.182783372449967,0.0,1.4641295994572638,6.8079021846925745
2024-08-12,31.822916232942937,18.051848043233747,6.13138513228544,8.767964374959583,3.182690507518833,0.0,1.5262903792492286,0.0
2024-08-13,31.825884196141985,18.05212290114232,6.196001483732425,8.767158307357338,3.1820293092091583,3.0652589017727134,1.5208001265140412,0.0
2024-08-14,31.90591890839056,18.10979366894315,6.252827841858241,8.759833121589484,3.1811600934537436,3.065184609827806,1.4811337329666905,0.0
2024-08-15,31.937270109141416,18.12019474553301,6.0988762438716915,8.758808160200767,3.1835040043155676,0.0,1.4778486248840317,6.808292217403338
2024-08-16,31.931880228538397,18.116684607149228,6.064137055552868,8.771679239655946,3.187846368495396,0.0,1.472425676936333,0.0
2024-08-19,31.96281539439777,18.108161556634673,6.107055857583327,8.768651842900974,3.183556008677003,0.0,1.4732898259811051,0.0
2024-08-20,31.93104444415819,18.092928479943684,6.136989698036257,8.772782475037818,3.18763463645241,3.065556069552342,1.4727474947832822,6.808366509348245
2024-08-21,31.83907101636302,18.102856361419654,6.214423267278363,8.769951951936852,3.1817358560267754,3.0662989890014147,1.4632163211493248,0.0
2024-08-22,31.854434590569838,18.10156537914921,6.198503885314915,8.76459550270904,3.179146781746758,0.0,1.4650736197720056,6.808477947265605
2024-08-23,31.885213743344913,18.098139082939852,6.178126017147153,8.766850263236975,3.178920191314791,0.0,1.4652333474535564,6.808359080153753
2024-08-26,31.901342524584273,18.09459221461851,6.1889180402387005,8.768365818913084,3.18097064899423,3.0623615159213307,1.4676303770559884,6.808437086695907
2024-08-27,31.87359076856417,18.08464141779213,6.256572453049348,8.77073944655287,3.181914156694552,0.0,1.465921662323122,6.808511378640814
2024-08-28,31.846897672759,18.11214358630872,6.398612567201709,8.771738673211873,3.185989069872715,3.0623578013240853,1.4707850582001682,6.80888283836535
2024-08-29,31.9126534731964,18.09318724993159,6.23906124729915,8.770646581621735,3.1853167277713044,3.062703258867904,1.4695629557064442,0.0
2024-08-30,31.938923104915602,18.102938966633197,6.230333329317321,8.774483760576194,3.1868025666694493,3.062628966922997,1.4649410309379298,6.808139918916277
2024-09-02,31.90634980167102,18.111087069416403,6.256884007464107,8.764591788111794,3.1825270652400373,3.0616297402639945,1.467403957495495,6.807887326303592
2024-09-03,31.84313478574945,18.144920668643582,6.250161377659215,8.748708170290625,3.1629882837294323,3.0608125288700148,1.467693696080633,6.809558895064005
2024-09-04,31.814874129906734,18.151375739723488,6.233330032355253,8.746940022001834,3.159529993694,3.0606639449802002,1.4680725849996599,6.8091725769504885
2024-09-05,31.758887720224635,18.153159452174737,6.277592385636373,8.741683866899647,3.1513950257266568,0.0,1.46501910805743,6.808615387363684
2024-09-09,31.821943758813298,18.046136879685783,6.203720394520704,8.740888943089137,3.146525188737987,3.0614068644292725,1.4633735414777347,6.807872467914611
2024-09-10,31.91585992096779,18.05159708875845,6.30586976088129,8.737404650872989,3.147164099464189,3.061358574665083,1.4659310416811666,6.8075010081900755
2024-09-11,32.01518825130878,18.006309826092973,6.239573363962979,8.736981186787016,3.1468335003093517,3.0609834003433014,1.4665266216305015,6.807092402493085
2024-09-12,32.00042272725846,18.056213400770524,6.227472929710711,8.740989237214764,3.154455853856835,3.061726319792374,1.4365052466934844,6.806791520116211
2024-09-13,32.052958276099616,18.038275792687937,6.143417344244701,8.747159339252395,3.1563354400629886,0.0,0.0,6.804975082063229
2024-09-16,32.058470738411735,18.05010162533884,6.153372617160758,8.750394753453104,3.1569892091781724,3.0616520278474666,1.40092311968016,6.8050085134384375
2024-09-17,32.00314181244207,18.022098019625503,6.512884963709607,8.779019439825866,3.1797596902922423,3.0648540106729687,1.4135081491452663,6.8055805614142235
2024-09-19,0.0,17.915518472291613,6.411259767880911,8.783098067601273,3.1928276434014267,3.063524184859129,1.4146558816875412,6.803426095011912
2024-09-20,0.0,17.84464239671926,6.522451700897591,8.796002578431663,3.199952240918031,3.0629038471191534,1.4214620639282733,6.803128927232284
2024-09-23,32.141425124095164,17.796250889711,6.524426540520907,8.775119112718235,3.1920735801606184,0.0,1.415287006617917,6.802504874895063
2024-09-24,32.158033088379185,17.746941769459816,6.525349317054004,8.793383787373681,3.2229233102833508,3.0638027796525313,1.4165877322769367,6.801019035996918
2024-09-25,32.20062837499175,17.679708681127128,6.3267343935866815,8.793970693738448,3.2254306634239707,3.0636096205957726,1.416217264349865,6.800874166704348
2024-09-26,32.17623090028421,17.755941061058,6.2614762080254645,8.77085475508056,3.2138225470322137,3.060730807730617,1.4168484710013802,6.800502706979812
2024-09-27,31.886674330410983,17.931845245278748,6.262575468788284,8.776775823089666,3.2256052494945022,0.0,1.418358075892701,6.800149820241503
2024-09-30,31.615401008179425,17.975717688430816,6.444708623983806,8.772433458909838,3.229033822751972,3.06025533928321,1.4168765384981663,6.79940690079243
2024-10-02,31.340383371924545,18.42557424785221,6.324055942382343,8.732779802716442,3.1558674008100724,3.0685871809045575,1.4173637822188405,6.797872772130097
2024-10-03,31.331141453978084,18.559823911787944,6.249315601012418,8.73877144807321,3.1001855881020934,3.074541680288873,1.4259405123781856,6.79600432971568
2024-10-04,0.0,18.762638863497845,6.200396327742135,8.71640973609841,3.0561713253417966,3.0929177928616802,1.3811355195876716,6.794124743509526
2024-10-07,0.0,18.90711701640623,6.220556045042872,8.737434631387355,3.008449894530629,3.0752957435296815,1.3818397217896554,6.793656704256611
2024-10-08,0.0,18.850351733688324,6.241151688903339,8.754061168657596,2.9698663729430517,3.078824610912776,1.3853393367194424,6.793898153077558
2024-10-09,0.0,19.02046069302544,6.168874017783768,8.792629831856193,2.9883873548084274,3.0539405239660944,1.391942701950578,6.790692455654811
2024-10-10,31.36944266617502,18.928415573503436,6.253876286930746,8.838950837218276,3.0281521183200297,3.0512511555604522,1.3972657198031817,6.80000866554618
2024-10-14,31.770091695865286,18.402471291711695,6.31433498997512,8.826280346014345,3.0661858795152934,3.069597551355296,1.3973608952138026,6.801501933638815
2024-10-15,32.352555402327056,18.283011266991593,6.401494236592146,8.862590534087762,3.1235392609836854,3.0644714071566965,1.3899317007230783,6.802605169020688
2024-10-16,32.748472035126746,17.79623845695402,6.5580295449802914,8.86078895442376,3.129341461880941,3.093723860463924,1.3935735067208201,6.801342205957265
2024-10-17,33.67138860853852,16.970563390296753,6.545536147200035,8.860666372714663,3.1661122600127816,3.059512419834138,1.3993237032566408,6.8018919663495785
2024-10-18,33.78875836624051,16.912636560449414,6.533804483303897,8.861884760611142,3.1531148842512597,3.0335102391166027,1.415551775680372,6.801423927096663
2024-10-21,33.94131316051029,16.828875464538417,6.5257236630205995,8.859760010986795,3.1611904186626765,3.0261181905983316,1.4140326317033252,6.801100757136316
2024-10-22,33.991705386740875,16.91579025722532,6.395648738349398,8.85704835499768,3.1494262891866147,3.0260104672782164,1.4244804379265346,6.802073981614601
2024-10-23,34.24155291206118,16.710508835232083,6.505274730892935,8.849819748758206,3.1522122371206365,3.051566896326308,1.5015410950365815,6.798437390911391
2024-10-24,34.618788835313936,16.391376489792794,6.424862140095786,8.859611427096981,3.1573643834999534,3.0474585517729373,1.527543275754117,6.808503949446323
2024-10-25,35.02521489207594,15.887909874843464,6.2994695692610865,8.785307918648511,3.033096247253607,3.042243257240449,1.5296477622504907,6.804937936090775
2024-10-28,35.261898170782665,15.467156843096536,6.273367837337375,8.78722390790767,3.0443737644905267,2.9994102364041777,1.5807715932669373,6.801628229945157
2024-10-29,35.68642170074891,16.263744336274506,6.152139107138893,8.78578613589788,2.7332985327749153,3.0188190070111953,1.5067628121077072,6.793719852409781
2024-10-30,36.38370712950301,15.524179777708577,5.835250965342168,8.737569578990682,2.7092799469864035,3.01328054251836,1.685500253372994,6.782041158670363
2024-10-31,37.082285538980884,15.772774217079535,5.523984888763882,8.75507276121083,2.80821453001938,2.998344146994759,1.3104062003232875,6.782056017059344
2024-11-01,37.020475079140525,16.02641977692853,5.819657736160655,8.74322650570427,2.7296730858634417,3.006037077889904,1.375836293730424,6.777435058086113
2024-11-04,37.52537176945415,16.1960498169574,5.605380153974709,8.70892962933784,2.682549705208777,3.0106171762934353,1.4273584372948935,6.773371288699686
2024-11-05,37.571601834046476,16.109247766011492,5.616809928838118,8.71611440332982,2.673359791623751,3.0140383203564136,1.3617214742525656,6.773259850782326
2024-11-06,37.66431446669347,16.135438195088227,5.590718820662529,8.712997856240962,2.6673384294890186,3.0138488758969,1.350429228637568,6.772502072944272
2024-11-07,37.84992338167527,15.889145060148687,5.792127864177812,8.669377340788673,2.633465017208561,3.0059850735284686,1.3489227737247116,6.771536277660478
2024-11-08,37.97190704061572,16.04692467689289,5.635594546813789,8.647721238848211,2.5363394430340755,2.9866691678525856,1.1436374699773515,6.771309687228511
2024-11-11,37.83623509082611,15.818191620659505,6.038895171170319,8.681141470264734,2.5479661324120597,2.9984741578983463,1.1348819042482254,6.771506560882515
