date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,BOCI SECURITIES LTD,CLSA LTD
2024-03-01,45.82764375795958,15.731101012551395,11.329130459290043,5.278127312801999,8.046343806343002,6.326182691370443,2.390464111285053,2.8749460568322385,1.4362953375505876,0.7597654540156585
2024-03-04,45.644909277610545,15.80330592582716,11.504488396649123,5.309691667967463,8.042074529002429,6.251307054447951,2.377213248659781,2.8715256924765815,1.4370438215574115,0.7584403858015547
2024-03-05,45.52950835484615,15.864088383444255,11.672232977589033,5.232611264003026,8.038552777650358,6.240495391216176,2.3884332010691125,2.8363598430314076,1.4398381366740924,0.7578796704763926
2024-03-06,45.45404314559261,15.933122983278283,11.663499863529472,5.244735063883296,8.037475237364891,6.2399268858281225,2.3939933279882095,2.8458100565766338,1.4299158421654576,0.7574775937930271
2024-03-07,45.455907622276406,15.966851075801976,11.66668867335765,5.252796350564077,8.039681759919107,6.187189220838228,2.3942621710167438,2.8513243714743246,1.4281461838761262,0.7571525708753593
2024-03-08,45.32410457489004,15.959845510734324,11.687759811719392,5.263975949306135,8.030004798248289,6.136326301974737,2.569831252885436,2.8459187358963964,1.4258901786233087,0.7563428857219374
2024-03-11,45.23690048735929,16.03344331713205,11.704050577808168,5.2670340119789065,8.023181657585758,6.13398608956539,2.5779921092004643,2.845570119199708,1.4217705582494629,0.7560710719207939
2024-03-12,45.25834706034352,16.161602708914476,11.797083138994212,5.2894828252516595,8.0258655966286,6.041391387665741,2.4135833666126754,2.8372894082731484,1.4187371799418458,0.75661732737412
2024-03-13,45.1816573236017,16.202061937048853,11.808463026865974,5.253019001246723,8.020352116224707,6.011211256208501,2.3803404142138325,2.9663445193539517,1.4206908746483453,0.7558595305874142
2024-03-14,45.11589171718298,16.22786463315585,11.160262166316892,5.221469245210046,7.993752249188939,5.891202151985195,2.4068204041568166,3.8075001355572082,1.4204291250673593,0.7548081721787101
