date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,DBS BANK (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,DBS VICKERS (HONG KONG) LTD,DBS BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES (INTERNATIONAL)
2024-03-04,94.31347531668708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686524683312926,0.0
2024-03-05,87.91640916356359,0.0,0.0,0.0,0.0,0.0,0.0,6.7850059411653785,5.298584895271031,0.0
2024-03-06,69.05528463608952,21.453474620857175,0.0,0.0,0.0,0.0,0.0,5.329386413553813,4.161854329499488,0.0
2024-03-07,69.054637355296,21.453474620857175,0.0,0.0,0.0,0.0,0.0,5.329386413553813,4.162501610293021,0.0
2024-03-08,69.03674804235365,21.473665018140952,0.0,0.0,0.0,0.0,0.0,5.327731115302272,4.161855824203134,0.0
2024-03-11,69.04837266775495,21.466354186781494,0.0,0.0,0.0,0.0,0.0,5.32985215152937,4.155420993934179,0.0
2024-03-12,69.0530894077448,21.468021833090205,0.0,0.0,0.0,0.0,0.0,5.330266209183927,4.148622549981066,0.0
2024-03-13,69.05532468596024,21.46871676219394,0.0,0.0,0.0,0.0,0.0,5.330438752194559,4.145519799651249,0.0
2024-03-14,69.05903205567243,21.478775529877034,0.0,0.0,0.0,0.0,0.0,5.330525027888912,4.131667386561619,0.0
2024-03-15,69.04797193967248,21.490907575119614,0.0,0.0,0.0,0.0,0.0,5.329921156671155,4.131199328536747,0.0
2024-03-20,69.08113983440875,21.490351107629323,0.0,0.0,0.0,0.0,0.0,5.3297831481743465,4.098725909787583,0.0
2024-03-25,69.08238757938209,21.48993377592266,0.0,0.0,0.0,0.0,0.0,5.329679646491836,4.097998998203417,0.0
2024-03-26,69.09222697646553,21.47713307406356,0.0,0.0,0.0,0.0,0.0,5.330438752194559,4.100201197276364,0.0
2024-03-27,69.10172878463635,21.47053047612246,0.0,0.0,0.0,0.0,0.0,5.328800044467181,4.098940694774011,0.0
2024-03-28,59.50629015413752,18.488448482287883,0.0,0.0,13.887793082839927,0.0,0.0,4.588673074664414,3.528795206070259,0.0
2024-04-02,59.507305681935684,18.48798481685811,0.0,0.0,13.88744479566188,0.0,0.0,4.588557996913282,3.5287067086310406,0.0
2024-04-03,59.50764417988269,18.487830266882856,0.0,0.0,13.887328703817866,0.0,0.0,4.588519638945559,3.5286772104710256,0.0
2024-04-05,59.51328497926901,18.485254814318747,0.0,0.0,13.885394125459962,0.0,0.0,4.587880433884771,3.528185647067509,0.0
2024-04-09,59.4970470089842,18.479951642956706,0.0,0.0,13.881410592356607,0.0,0.0,4.586564232600351,3.5550265231021463,0.0
2024-04-10,59.50268688048082,18.477378384840105,0.0,0.0,13.879477662381099,0.0,0.0,4.585925572182462,3.5545315001155036,0.0
2024-04-12,59.50517263647346,18.474529741512114,0.0,0.0,13.880057484849337,0.0,0.0,4.586117151631567,3.554122985533524,0.0
2024-04-15,59.52685709092442,18.44529457057284,0.0,0.0,13.884465719286037,0.0,0.0,4.588130862613302,3.5552517566033988,0.0
2024-04-19,59.527420857666336,18.445037638620533,0.0,0.0,13.884272316959478,0.0,0.0,4.588066952686818,3.5552022340668366,0.0
2024-04-23,59.528435598223986,18.444575179143623,0.0,0.0,13.883924206348983,0.0,0.0,4.587951919305779,3.555113096977627,0.0
2024-04-24,59.481210128754526,18.42994261382847,0.0,0.0,13.872909725082438,0.0,0.0,4.584312176700163,3.5522927325024884,0.07933262313191732
2024-04-26,59.5202911627883,18.35015120206797,0.0,0.0,13.880985301570387,0.0,0.0,4.586980756281607,3.58221277374931,0.07937880354242868
2024-04-29,59.601922878385615,18.331056240849957,0.0,0.0,13.866540904187364,0.0,0.0,4.582207595631078,3.5489925405602896,0.06927984038570273
2024-04-30,59.59900025408202,18.332382412645675,0.0,0.0,13.867544087812444,0.0,0.0,4.582539098322227,3.5492492946582894,0.06928485247933905
2024-05-02,59.598438162465186,18.33263746768232,0.0,0.0,13.867737024381514,0.0,0.0,4.582602854338841,3.5492986747054944,0.06928581642664226
2024-05-03,59.59798847791039,18.332841516821585,0.0,0.0,13.86789137750219,0.0,0.0,4.582653860429462,3.5493381797325725,0.0692865876037972
2024-05-06,59.59855058203979,18.33258645610723,0.0,0.0,13.867698436638214,0.0,0.0,4.582590102993595,3.5492887985861317,0.06928562363503583
2024-05-07,59.60303028505878,18.3296418420176,0.0,0.0,13.86673381284303,0.0,0.0,4.58227134242369,3.549041913463359,0.06928080419354538
2024-05-08,59.604266635975556,18.329080862576426,0.0,0.0,13.866309420885333,0.0,0.0,4.582131101821112,3.5489332948898777,0.06927868385168844
2024-05-09,59.603817062580134,18.3292848511275,0.0,0.0,13.86646374222794,0.0,0.0,4.582182097410651,3.548972791783699,0.06927945487007418
2024-05-10,59.60314268372391,18.329590842467635,0.0,0.0,13.866695230682504,0.0,0.0,4.582258592923274,3.5490320387728467,0.06928061142983152
2024-05-13,59.60179385846022,18.33020285579847,0.0,0.0,13.867158230779383,0.0,0.0,4.582411591610932,3.5491505386857995,0.06928292466519656
2024-05-14,59.60033252944286,18.330865916361937,0.0,0.0,13.867659849109659,0.0,0.0,4.58257735171931,3.54927892252173,0.0692854308445023
2024-05-16,59.7012392902268,18.245071600475033,0.0,0.0,13.869705284082896,0.0,0.0,4.583253267056488,3.5439582182183114,0.05677233994046532
2024-05-17,55.88393627559455,17.0799926985897,0.0,0.0,12.98402495595353,0.0,6.390668409036078,4.290579617954145,3.3176510247128728,0.05314701815912597
2024-05-20,47.238974298588445,14.439034231559376,15.467105978374086,0.0,10.97622958820726,0.0,5.402442148535737,3.626661836931838,2.8046233324668832,0.044928585336375476
2024-05-21,47.240413366611875,14.434640948058213,15.468298326739202,0.0,10.97707573805733,0.0,5.40285861901654,3.626941413752359,2.8048395389149356,0.04493204884954644
2024-05-22,47.24167944797517,14.43413456560529,15.467991705316154,0.0,10.97685814420747,0.0,5.4027515204745225,3.626869518453076,2.8047839397874377,0.04493115818087251
2024-05-23,47.25115743280475,14.434675037828137,15.457117420152061,0.0,10.977269162055066,0.0,5.4029538212851795,3.627005323077988,2.8048889622121385,0.04493284058467903
2024-05-27,47.251041248463835,14.434706831572303,15.45715146592278,0.0,10.977293340534072,0.0,5.402965721804662,3.627013311902054,2.8048951402467557,0.04493293955353246
2024-05-28,47.24906603635786,14.435247346652691,15.457730266972547,0.0,10.977704390973935,0.0,5.4031680386570615,3.6271491272957945,2.805000170999365,0.044934622090747674
2024-05-29,47.24778787910898,14.435597113275747,15.458104808397835,0.0,10.97797038119229,0.0,5.403298957635677,3.6272370132648466,2.805068136266182,0.04493571085844591
2024-05-30,47.24755548022721,14.435660709028264,15.458172908788839,0.0,10.978018744435044,0.0,5.403322761767961,3.6272529929895234,2.805080493941281,0.04493590882187787
2024-06-03,47.24828401023093,14.43434135635936,15.458411264882658,0.0,10.978188019140486,0.0,5.4034060778826625,3.627308923134684,2.805123746661595,0.04493660170762589
2024-06-04,47.25005339092251,14.434881901808291,15.458990160285685,0.0,10.978599136587743,0.0,5.403608427715746,3.6274447606683724,2.8014839374925335,0.044938284519119936
2024-06-05,47.28335599950283,14.403909515900825,15.458138858518334,0.0,10.9779945627604,0.0,5.403310859675601,3.6272450031095853,2.801109390692479,0.04493580983994386
2024-06-06,47.242710612254285,14.474396464562966,15.447411499228794,0.0,10.968813231774611,0.0,5.398791857125712,3.624211394671386,2.7987667121370907,0.04489822824515472
2024-06-07,47.2353548324344,14.473154163573582,15.457969491888997,0.0,10.967871806163977,0.0,5.398328492419487,3.62390033773631,2.798526501039926,0.04489437474331738
2024-06-11,47.22683238306688,14.476043610479122,15.4677222375319,0.0,10.965892925461818,0.0,5.3973544978044545,3.6232464947144702,2.7980215762755543,0.04488627466580141
